perturbation,n_guides,max_centroid_rmse,centroid_simultaneous_covered,family_rms_simultaneous_covered,worst_member_simultaneous_covered,mean_family_lower_tightness,mean_worst_member_lower_tightness
AGGF1,2,0.15340944362024286,True,True,True,0.42587758333702092,0.42108799088188087
BUD13,2,0.12642150054593701,True,True,True,0.53518109959676274,0.47985205869703396
CPEB2,2,0.14225069147606523,True,True,True,0.48274958972762344,0.4584008392590187
DDX42,2,0.30916001846747293,False,False,False,0.40073844322331331,0.37198321508957466
DDX6,2,0.20020195016192646,False,False,True,0.43447079372404962,0.424726732396563
EIF4G2,2,0.14039587608793411,True,True,True,0.47674546395209977,0.46997796894645805
FXR2,2,0.12672675496956556,True,True,True,0.56528024716493475,0.4680587227666515
HNRNPC,2,0.19909748231563712,False,False,True,0.47636840574152306,0.45977722686741157
HNRNPM,2,0.13394597744453826,True,True,True,0.51403636173328127,0.44378907497308151
ILF3,2,0.14531703463994639,True,True,True,0.50854306230380719,0.45525080273672242
KHSRP,2,0.147055367410861,True,True,True,0.45050213832926161,0.45120181095341461
MSI1,2,0.088542446424709417,True,True,True,0.6349643483767573,0.48810329089638105
MTPAP,2,0.1144161715123424,True,True,True,0.54089390302476836,0.48187511428183988
PCBP1,2,0.13796764223970892,True,True,True,0.47092506484659752,0.45145029719757324
SERBP1,2,0.096998363269457016,True,True,True,0.64525187527026073,0.49736020682010462
SLTM,2,0.26987798388550055,False,False,True,0.51218041107324586,0.40953447635292234
SRSF7,2,0.15899125449929075,True,True,True,0.55090121075029086,0.46243321708001311
TBRG4,2,0.13067033448174181,True,True,True,0.55706203817882949,0.48994046211351849
U2AF2,2,0.1292929183299257,True,True,True,0.5396910408102833,0.48925641482974036
XRN2,2,0.10109642548263512,True,True,True,0.62957075099095405,0.50790061006964027
