perturbation,n_target_cells,n_guides,min_guide_cells,max_guide_cells,is_single_human_gene_symbol,in_expression_var,in_scgpt_vocab,eligible_e182_target,selection_used_expression_matrix_or_truth_effect
AGGF1,32,2,14,18,True,True,True,True,False
AKAP8L,58,2,28,30,True,True,True,True,False
ANKHD1,42,2,16,26,True,True,True,True,False
BUD13,48,2,17,31,True,True,True,True,False
CNOT4,33,2,14,19,True,True,True,True,False
CPEB2,36,2,12,24,True,True,True,True,False
CSTF2T,36,2,15,21,True,True,True,True,False
DAZAP1,104,2,34,70,True,True,True,True,False
DDX3X,46,2,23,23,True,True,True,True,False
DDX42,42,2,7,35,True,True,True,True,False
DDX55,53,2,16,37,True,True,True,True,False
DDX6,40,2,17,23,True,True,True,True,False
DGCR8,47,2,21,26,True,True,True,True,False
DROSHA,36,2,16,20,True,True,True,True,False
EIF4G2,34,2,13,21,True,True,True,True,False
ELAVL1,14,2,2,12,True,True,True,False,False
EWSR1,25,2,5,20,True,True,True,True,False
FAM120A,74,2,28,46,True,True,True,True,False
FASTKD2,49,2,19,30,True,True,True,True,False
FMR1,45,2,3,42,True,True,True,False,False
FTO,79,2,30,49,True,True,True,True,False
FXR1,42,2,19,23,True,True,True,True,False
FXR2,58,2,18,40,True,True,True,True,False
GPKOW,62,2,26,36,True,True,True,True,False
GTF2F1,68,2,26,42,True,True,True,True,False
HNRNPA1,27,2,4,23,True,True,True,False,False
HNRNPC,36,2,5,31,True,True,True,True,False
HNRNPCL1,17,1,17,17,True,True,True,False,False
HNRNPH2,18,2,7,11,True,True,True,False,False
HNRNPK,26,2,9,17,True,True,True,True,False
HNRNPM,44,2,21,23,True,True,True,True,False
IGF2BP1,65,2,18,47,True,True,True,True,False
IGF2BP2,24,1,24,24,True,True,True,False,False
IGF2BP3,24,2,11,13,True,True,True,True,False
ILF3,42,2,16,26,True,True,True,True,False
KHDRBS1,41,2,12,29,True,True,True,True,False
KHDRBS2,22,2,8,14,True,True,True,True,False
KHSRP,26,2,11,15,True,True,True,True,False
LARP4,30,2,10,20,True,True,True,True,False
LIN28B,21,2,8,13,True,True,True,True,False
LSM11,43,1,43,43,True,True,True,False,False
METAP2,48,2,12,36,True,True,True,True,False
MSI1,97,2,44,53,True,True,True,True,False
MTPAP,41,2,18,23,True,True,True,True,False
NCBP2,37,2,12,25,True,True,True,True,False
NONO,32,2,5,27,True,True,True,True,False
PABPC1,10,2,4,6,True,True,True,False,False
PABPC3,54,2,10,44,True,True,True,True,False
PABPC4,36,2,14,22,True,True,True,True,False
PABPN1,23,1,23,23,True,True,True,False,False
PCBP1,31,2,15,16,True,True,True,True,False
PPIL4,59,2,19,40,True,True,True,True,False
PTBP1,28,2,6,22,True,True,True,True,False
PUM2,39,2,13,26,True,True,True,True,False
QKI,82,2,24,58,True,True,True,True,False
RALY,28,2,13,15,True,True,True,True,False
RBFOX1,41,1,41,41,True,True,True,False,False
RBFOX2,36,2,17,19,True,True,True,True,False
RBM15,118,2,43,75,True,True,True,True,False
RBM22,10,2,4,6,True,True,True,False,False
RBM27,66,2,31,35,True,True,True,True,False
RBM4,42,2,15,27,True,True,True,True,False
RBM42,40,2,19,21,True,True,True,True,False
RBM45,22,2,10,12,True,True,True,True,False
RBMS1,91,2,30,61,True,True,True,True,False
SAFB2,18,2,6,12,True,True,True,False,False
SART3,55,2,23,32,True,True,True,True,False
SERBP1,92,2,33,59,True,True,True,True,False
SF3B1,21,2,6,15,True,True,True,True,False
SF3B4,43,2,16,27,True,True,True,True,False
SLTM,107,2,8,99,True,True,True,True,False
SMNDC1,42,2,18,24,True,True,True,True,False
SND1,46,2,23,23,True,True,True,True,False
SRSF1,68,2,29,39,True,True,True,True,False
SRSF10,64,2,4,60,True,True,True,False,False
SRSF7,59,2,14,45,True,True,True,True,False
SRSF9,41,2,16,25,True,True,True,True,False
TAF15,44,2,9,35,True,True,True,True,False
TARDBP,53,2,15,38,True,True,True,True,False
TBRG4,53,2,19,34,True,True,True,True,False
TIA1,36,2,13,23,True,True,True,True,False
TNRC6A,32,2,4,28,True,True,True,False,False
TRA2A,50,2,11,39,True,True,True,True,False
U2AF1,39,2,1,38,True,True,True,False,False
U2AF2,46,2,17,29,True,True,True,True,False
UCHL5,56,2,27,29,True,True,True,True,False
UPF1,80,2,26,54,True,True,True,True,False
XRCC6,18,2,8,10,True,True,True,False,False
XRN2,87,2,28,59,True,True,True,True,False
YBX1,27,2,3,24,True,True,True,False,False
YBX3,5,1,5,5,True,True,True,False,False
ZC3H10,36,2,14,22,True,True,True,True,False
ZNF622,80,2,34,46,True,True,True,True,False
ZRANB2,38,2,15,23,True,True,True,True,False
