query_index,task_id
0,E176::H02::CE0010866::Stim8hr::ENSG00000011454
1,E176::H02::CE0010866::Stim48hr::ENSG00000020577
2,E176::H02::CE0010866::Rest::ENSG00000047932
3,E176::H02::CE0006864::Rest::ENSG00000049860
4,E176::H02::CE0010866::Stim8hr::ENSG00000061656
5,E176::H02::CE0010866::Stim8hr::ENSG00000063854
6,E176::H02::CE0010866::Stim8hr::ENSG00000067221
7,E176::H02::CE0010866::Rest::ENSG00000071073
8,E176::H02::CE0010866::Stim8hr::ENSG00000075151
9,E176::H02::CE0010866::Stim8hr::ENSG00000075975
10,E176::H02::CE0006864::Stim8hr::ENSG00000089916
11,E176::H02::CE0006864::Stim8hr::ENSG00000100311
12,E176::H02::CE0006864::Rest::ENSG00000101457
13,E176::H02::CE0010866::Stim8hr::ENSG00000102226
14,E176::H02::CE0010866::Rest::ENSG00000102755
15,E176::H02::CE0006864::Stim48hr::ENSG00000104064
16,E176::H02::CE0010866::Rest::ENSG00000105991
17,E176::H02::CE0010866::Rest::ENSG00000107262
18,E176::H02::CE0006864::Rest::ENSG00000107798
19,E176::H02::CE0010866::Stim48hr::ENSG00000107833
20,E176::H02::CE0010866::Stim8hr::ENSG00000108819
21,E176::H02::CE0010866::Rest::ENSG00000108861
22,E176::H02::CE0006864::Stim8hr::ENSG00000109775
23,E176::H02::CE0010866::Stim8hr::ENSG00000110917
24,E176::H02::CE0010866::Rest::ENSG00000112297
25,E176::H02::CE0006864::Stim48hr::ENSG00000112659
26,E176::H02::CE0006864::Stim8hr::ENSG00000113522
27,E176::H02::CE0010866::Rest::ENSG00000113594
28,E176::H02::CE0010866::Rest::ENSG00000114098
29,E176::H02::CE0006864::Stim48hr::ENSG00000115468
30,E176::H02::CE0010866::Rest::ENSG00000117481
31,E176::H02::CE0006864::Stim8hr::ENSG00000118922
32,E176::H02::CE0006864::Stim8hr::ENSG00000120742
33,E176::H02::CE0006864::Rest::ENSG00000123600
34,E176::H02::CE0006864::Rest::ENSG00000126775
35,E176::H02::CE0010866::Stim48hr::ENSG00000128050
36,E176::H02::CE0006864::Rest::ENSG00000128487
37,E176::H02::CE0010866::Stim48hr::ENSG00000131050
38,E176::H02::CE0010866::Rest::ENSG00000131686
39,E176::H02::CE0006864::Stim8hr::ENSG00000132463
40,E176::H02::CE0006864::Stim8hr::ENSG00000132535
41,E176::H02::CE0010866::Stim8hr::ENSG00000134321
42,E176::H02::CE0010866::Rest::ENSG00000134470
43,E176::H02::CE0006864::Stim48hr::ENSG00000136634
44,E176::H02::CE0010866::Stim48hr::ENSG00000137747
45,E176::H02::CE0010866::Rest::ENSG00000141469
46,E176::H02::CE0010866::Rest::ENSG00000141646
47,E176::H02::CE0006864::Rest::ENSG00000142444
48,E176::H02::CE0006864::Stim48hr::ENSG00000143674
49,E176::H02::CE0006864::Stim48hr::ENSG00000144455
50,E176::H02::CE0006864::Rest::ENSG00000144579
51,E176::H02::CE0006864::Stim48hr::ENSG00000144711
52,E176::H02::CE0006864::Rest::ENSG00000144791
53,E176::H02::CE0006864::Rest::ENSG00000147140
54,E176::H02::CE0010866::Rest::ENSG00000148143
55,E176::H02::CE0010866::Rest::ENSG00000148343
56,E176::H02::CE0010866::Stim48hr::ENSG00000149564
57,E176::H02::CE0010866::Stim8hr::ENSG00000152433
58,E176::H02::CE0010866::Rest::ENSG00000153015
59,E176::H02::CE0006864::Stim48hr::ENSG00000153113
60,E176::H02::CE0010866::Rest::ENSG00000154813
61,E176::H02::CE0006864::Stim8hr::ENSG00000157014
62,E176::H02::CE0010866::Rest::ENSG00000157315
63,E176::H02::CE0010866::Stim8hr::ENSG00000157613
64,E176::H02::CE0006864::Stim48hr::ENSG00000157985
65,E176::H02::CE0010866::Stim8hr::ENSG00000159189
66,E176::H02::CE0010866::Stim48hr::ENSG00000161265
67,E176::H02::CE0006864::Stim8hr::ENSG00000163155
68,E176::H02::CE0010866::Stim8hr::ENSG00000163291
69,E176::H02::CE0006864::Stim48hr::ENSG00000163739
70,E176::H02::CE0006864::Stim8hr::ENSG00000164256
71,E176::H02::CE0010866::Stim48hr::ENSG00000164406
72,E176::H02::CE0006864::Rest::ENSG00000164674
73,E176::H02::CE0010866::Rest::ENSG00000165389
74,E176::H02::CE0010866::Rest::ENSG00000165682
75,E176::H02::CE0006864::Stim8hr::ENSG00000165948
76,E176::H02::CE0006864::Stim8hr::ENSG00000166136
77,E176::H02::CE0006864::Rest::ENSG00000167995
78,E176::H02::CE0006864::Stim8hr::ENSG00000168389
79,E176::H02::CE0010866::Stim48hr::ENSG00000169718
80,E176::H02::CE0006864::Rest::ENSG00000170604
81,E176::H02::CE0006864::Stim48hr::ENSG00000170627
82,E176::H02::CE0010866::Stim8hr::ENSG00000170791
83,E176::H02::CE0006864::Stim48hr::ENSG00000171055
84,E176::H02::CE0010866::Stim48hr::ENSG00000171246
85,E176::H02::CE0010866::Stim8hr::ENSG00000172322
86,E176::H02::CE0010866::Rest::ENSG00000172361
87,E176::H02::CE0006864::Stim48hr::ENSG00000174373
88,E176::H02::CE0006864::Stim8hr::ENSG00000174963
89,E176::H02::CE0006864::Rest::ENSG00000175470
90,E176::H02::CE0010866::Stim48hr::ENSG00000175606
91,E176::H02::CE0010866::Stim8hr::ENSG00000175707
92,E176::H02::CE0006864::Stim8hr::ENSG00000175745
93,E176::H02::CE0006864::Stim48hr::ENSG00000175879
94,E176::H02::CE0010866::Stim48hr::ENSG00000176390
95,E176::H02::CE0010866::Rest::ENSG00000177963
96,E176::H02::CE0010866::Stim8hr::ENSG00000178307
97,E176::H02::CE0010866::Stim48hr::ENSG00000180318
98,E176::H02::CE0010866::Rest::ENSG00000180739
99,E176::H02::CE0010866::Stim48hr::ENSG00000184221
100,E176::H02::CE0006864::Stim8hr::ENSG00000185973
101,E176::H02::CE0006864::Stim48hr::ENSG00000187260
102,E176::H02::CE0010866::Rest::ENSG00000188215
103,E176::H02::CE0010866::Rest::ENSG00000188687
104,E176::H02::CE0010866::Stim48hr::ENSG00000188706
105,E176::H02::CE0006864::Stim8hr::ENSG00000197122
106,E176::H02::CE0010866::Stim8hr::ENSG00000197535
107,E176::H02::CE0006864::Stim48hr::ENSG00000197629
108,E176::H02::CE0006864::Rest::ENSG00000197935
109,E176::H02::CE0010866::Rest::ENSG00000198265
110,E176::H02::CE0010866::Rest::ENSG00000198799
111,E176::H02::CE0006864::Rest::ENSG00000204186
112,E176::H02::CE0010866::Rest::ENSG00000205531
113,E176::H02::CE0010866::Rest::ENSG00000214872
114,E176::H02::CE0006864::Rest::ENSG00000214954
115,E176::H02::CE0010866::Rest::ENSG00000235608
116,E176::H02::CE0006864::Stim48hr::ENSG00000248905
117,E176::H02::CE0010866::Stim48hr::ENSG00000249961
118,E176::H02::CE0010866::Rest::ENSG00000256771
119,E176::H02::CE0006864::Stim48hr::ENSG00000272325
120,E176::H02::CE0008162::Rest::ENSG00000011454
121,E176::H02::CE0008162::Stim48hr::ENSG00000011454
122,E176::H02::CE0008162::Stim8hr::ENSG00000011454
123,E176::H02::CE0008162::Rest::ENSG00000020577
124,E176::H02::CE0008162::Stim48hr::ENSG00000020577
125,E176::H02::CE0008162::Stim8hr::ENSG00000020577
126,E176::H02::CE0008162::Rest::ENSG00000047932
127,E176::H02::CE0008162::Stim48hr::ENSG00000047932
128,E176::H02::CE0008162::Stim8hr::ENSG00000047932
129,E176::H02::CE0008162::Rest::ENSG00000049860
130,E176::H02::CE0008162::Stim48hr::ENSG00000049860
131,E176::H02::CE0008162::Stim8hr::ENSG00000049860
132,E176::H02::CE0008162::Rest::ENSG00000061656
133,E176::H02::CE0008162::Stim48hr::ENSG00000061656
134,E176::H02::CE0008162::Stim8hr::ENSG00000061656
135,E176::H02::CE0008162::Rest::ENSG00000063854
