query_index,task_id
0,REPL::33::C7orf26
1,REPL::47::C7orf26
2,REPL::25::COPB1
3,REPL::40::COPB1
4,REPL::1::COPZ1
5,REPL::11::COPZ1
6,REPL::14::COPZ1
7,REPL::18::COPZ1
8,REPL::2::COPZ1
9,REPL::26::COPZ1
10,REPL::27::COPZ1
11,REPL::28::COPZ1
12,REPL::30::COPZ1
13,REPL::31::COPZ1
14,REPL::33::COPZ1
15,REPL::37::COPZ1
16,REPL::38::COPZ1
17,REPL::41::COPZ1
18,REPL::43::COPZ1
19,REPL::5::COPZ1
20,REPL::8::COPZ1
21,REPL::9::COPZ1
22,REPL::45::DAD1
23,REPL::42::DARS
24,REPL::12::DERL2
25,REPL::29::DERL2
26,REPL::30::DERL2
27,REPL::32::DERL2
28,REPL::45::DERL2
29,REPL::8::DERL2
30,REPL::9::DERL2
31,REPL::1::DHDDS
32,REPL::10::DHDDS
33,REPL::27::DHDDS
34,REPL::1::DNAJC19
35,REPL::10::DNAJC19
36,REPL::11::DNAJC19
37,REPL::13::DNAJC19
38,REPL::14::DNAJC19
39,REPL::15::DNAJC19
40,REPL::16::DNAJC19
41,REPL::17::DNAJC19
42,REPL::18::DNAJC19
43,REPL::19::DNAJC19
44,REPL::2::DNAJC19
45,REPL::20::DNAJC19
46,REPL::21::DNAJC19
47,REPL::22::DNAJC19
48,REPL::23::DNAJC19
49,REPL::24::DNAJC19
50,REPL::25::DNAJC19
51,REPL::26::DNAJC19
52,REPL::27::DNAJC19
53,REPL::28::DNAJC19
54,REPL::29::DNAJC19
55,REPL::3::DNAJC19
56,REPL::30::DNAJC19
57,REPL::31::DNAJC19
58,REPL::32::DNAJC19
59,REPL::33::DNAJC19
60,REPL::34::DNAJC19
61,REPL::35::DNAJC19
62,REPL::36::DNAJC19
63,REPL::37::DNAJC19
64,REPL::39::DNAJC19
65,REPL::4::DNAJC19
66,REPL::40::DNAJC19
67,REPL::41::DNAJC19
68,REPL::42::DNAJC19
69,REPL::43::DNAJC19
70,REPL::44::DNAJC19
71,REPL::45::DNAJC19
72,REPL::46::DNAJC19
73,REPL::47::DNAJC19
74,REPL::48::DNAJC19
75,REPL::5::DNAJC19
76,REPL::6::DNAJC19
77,REPL::7::DNAJC19
78,REPL::8::DNAJC19
79,REPL::9::DNAJC19
80,REPL::1::EIF2B2
81,REPL::10::EIF2B2
82,REPL::11::EIF2B2
83,REPL::13::EIF2B2
84,REPL::14::EIF2B2
85,REPL::15::EIF2B2
86,REPL::18::EIF2B2
87,REPL::19::EIF2B2
88,REPL::2::EIF2B2
89,REPL::20::EIF2B2
90,REPL::21::EIF2B2
91,REPL::22::EIF2B2
92,REPL::23::EIF2B2
93,REPL::25::EIF2B2
94,REPL::26::EIF2B2
95,REPL::27::EIF2B2
96,REPL::28::EIF2B2
97,REPL::29::EIF2B2
98,REPL::3::EIF2B2
99,REPL::30::EIF2B2
100,REPL::31::EIF2B2
101,REPL::32::EIF2B2
102,REPL::33::EIF2B2
103,REPL::34::EIF2B2
104,REPL::37::EIF2B2
105,REPL::38::EIF2B2
106,REPL::39::EIF2B2
107,REPL::41::EIF2B2
108,REPL::43::EIF2B2
109,REPL::44::EIF2B2
110,REPL::45::EIF2B2
111,REPL::46::EIF2B2
112,REPL::47::EIF2B2
113,REPL::5::EIF2B2
114,REPL::7::EIF2B2
115,REPL::8::EIF2B2
116,REPL::9::EIF2B2
117,REPL::26::EIF2B3
118,REPL::28::EIF2B3
119,REPL::29::EIF2B3
120,REPL::31::EIF2B3
121,REPL::1::EIF2B4
122,REPL::10::EIF2B4
123,REPL::11::EIF2B4
124,REPL::13::EIF2B4
125,REPL::15::EIF2B4
126,REPL::16::EIF2B4
127,REPL::17::EIF2B4
128,REPL::18::EIF2B4
129,REPL::2::EIF2B4
130,REPL::20::EIF2B4
131,REPL::24::EIF2B4
132,REPL::25::EIF2B4
133,REPL::26::EIF2B4
134,REPL::27::EIF2B4
135,REPL::28::EIF2B4
136,REPL::3::EIF2B4
137,REPL::30::EIF2B4
138,REPL::31::EIF2B4
139,REPL::32::EIF2B4
140,REPL::33::EIF2B4
141,REPL::34::EIF2B4
142,REPL::35::EIF2B4
143,REPL::36::EIF2B4
144,REPL::37::EIF2B4
145,REPL::38::EIF2B4
146,REPL::39::EIF2B4
147,REPL::40::EIF2B4
148,REPL::41::EIF2B4
149,REPL::42::EIF2B4
150,REPL::43::EIF2B4
151,REPL::44::EIF2B4
152,REPL::45::EIF2B4
153,REPL::46::EIF2B4
154,REPL::47::EIF2B4
155,REPL::5::EIF2B4
156,REPL::6::EIF2B4
157,REPL::7::EIF2B4
158,REPL::8::EIF2B4
159,REPL::9::EIF2B4
160,REPL::10::EIF2S1
161,REPL::12::EIF2S1
162,REPL::14::EIF2S1
163,REPL::15::EIF2S1
164,REPL::16::EIF2S1
165,REPL::17::EIF2S1
166,REPL::2::EIF2S1
167,REPL::24::EIF2S1
168,REPL::25::EIF2S1
169,REPL::27::EIF2S1
170,REPL::28::EIF2S1
171,REPL::32::EIF2S1
172,REPL::33::EIF2S1
