experiment,stratum,outcome,predictor,budget,n_tasks,n_selected,high_error_capture,random_expected_capture,selected_mean_error,overall_mean_error,error_lift,oracle_mean_error,oracle_normalized_utility,selected_mean_bound_to_error_ratio
E189,support_1::double_unseen,family_rms_error,diversity_lower_bound,0.1,480,48,0.0,0.1,0.09774540439373536,0.11853637161382592,0.8246026351487754,0.26620531044386775,-0.14079445132344134,0.3951713119283758
E189,support_1::double_unseen,family_rms_error,predicted_magnitude,0.1,480,48,0.08333333333333333,0.1,0.11086992793578665,0.11853637161382592,0.9353241239489309,0.26620531044386775,-0.051916426966830805,
E189,support_1::double_unseen,family_rms_error,diversity_lower_bound,0.2,480,96,0.0625,0.2,0.09246803158550716,0.11853637161382592,0.7800815085411457,0.21474047798921306,-0.2709690990382515,0.40526145399407176
E189,support_1::double_unseen,family_rms_error,predicted_magnitude,0.2,480,96,0.17708333333333334,0.2,0.11330716338184905,0.11853637161382592,0.9558852007971624,0.21474047798921306,-0.054355353726509,
E189,support_1::double_unseen,family_rms_error,diversity_lower_bound,0.3,480,144,0.14583333333333334,0.3,0.09430147835137836,0.11853637161382592,0.7955488856922222,0.18695808671620037,-0.3541988566961036,0.3932910596251302
E189,support_1::double_unseen,family_rms_error,predicted_magnitude,0.3,480,144,0.2916666666666667,0.3,0.11353106161950394,0.11853637161382592,0.957774057648495,0.18695808671620037,-0.07315382239151566,
E189,support_1::double_unseen,family_worst_error,diameter_half_lower_bound,0.1,480,48,0.020833333333333332,0.1,0.11860549212152362,0.12818416528255813,0.925274130857582,0.27331012527263315,-0.0660024792372749,0.3749606315952239
E189,support_1::double_unseen,family_worst_error,predicted_magnitude,0.1,480,48,0.0625,0.1,0.12162774939750852,0.12818416528255813,0.9488515927798319,0.27331012527263315,-0.045177416125261105,
E189,support_1::double_unseen,family_worst_error,diameter_half_lower_bound,0.2,480,96,0.13541666666666666,0.2,0.1157038470341659,0.12818416528255813,0.9026375978586615,0.2225767930509562,-0.13221708668831594,0.37677602466938875
E189,support_1::double_unseen,family_worst_error,predicted_magnitude,0.2,480,96,0.16666666666666666,0.2,0.12281806685519185,0.12818416528255813,0.9581375873101197,0.2225767930509562,-0.05684870263949585,
E189,support_1::double_unseen,family_worst_error,diameter_half_lower_bound,0.3,480,144,0.2152777777777778,0.3,0.11290054981760263,0.12818416528255813,0.8807683037037717,0.19514923202174211,-0.2282326623294835,0.373342241232682
E189,support_1::double_unseen,family_worst_error,predicted_magnitude,0.3,480,144,0.3055555555555556,0.3,0.12294056335860246,0.12818416528255813,0.959093216292378,0.19514923202174211,-0.07830354211963224,
E189,support_1::random_missing_pair,family_rms_error,diversity_lower_bound,0.1,480,48,0.2916666666666667,0.1,0.16897018632725302,0.11910630886332824,1.4186501784816659,0.27243756239669426,0.32520361188512714,0.30341985313466996
E189,support_1::random_missing_pair,family_rms_error,predicted_magnitude,0.1,480,48,0.20833333333333334,0.1,0.15399483106734976,0.11910630886332824,1.29291917898367,0.27243756239669426,0.2275369267520501,
