batch,gene,n_target_cells,task_id
11,COPZ1,7,RPE1::11::COPZ1
15,COPZ1,5,RPE1::15::COPZ1
17,COPZ1,6,RPE1::17::COPZ1
35,COPZ1,5,RPE1::35::COPZ1
38,COPZ1,5,RPE1::38::COPZ1
43,COPZ1,5,RPE1::43::COPZ1
13,DERL2,5,RPE1::13::DERL2
21,DERL2,6,RPE1::21::DERL2
22,DERL2,5,RPE1::22::DERL2
25,DERL2,5,RPE1::25::DERL2
26,DERL2,5,RPE1::26::DERL2
34,DERL2,6,RPE1::34::DERL2
12,DNAJC19,5,RPE1::12::DNAJC19
14,DNAJC19,5,RPE1::14::DNAJC19
16,DNAJC19,5,RPE1::16::DNAJC19
22,DNAJC19,6,RPE1::22::DNAJC19
34,DNAJC19,6,RPE1::34::DNAJC19
55,DNAJC19,6,RPE1::55::DNAJC19
10,EIF2B2,6,RPE1::10::EIF2B2
11,EIF2B2,5,RPE1::11::EIF2B2
13,EIF2B2,7,RPE1::13::EIF2B2
14,EIF2B2,5,RPE1::14::EIF2B2
15,EIF2B2,5,RPE1::15::EIF2B2
2,EIF2B2,7,RPE1::2::EIF2B2
23,EIF2B2,6,RPE1::23::EIF2B2
33,EIF2B2,5,RPE1::33::EIF2B2
53,EIF2B2,6,RPE1::53::EIF2B2
30,GBF1,5,RPE1::30::GBF1
14,GMPPB,6,RPE1::14::GMPPB
44,GMPPB,5,RPE1::44::GMPPB
12,GNPNAT1,8,RPE1::12::GNPNAT1
14,GNPNAT1,7,RPE1::14::GNPNAT1
15,GNPNAT1,5,RPE1::15::GNPNAT1
16,GNPNAT1,5,RPE1::16::GNPNAT1
18,GNPNAT1,7,RPE1::18::GNPNAT1
20,GNPNAT1,5,RPE1::20::GNPNAT1
25,GNPNAT1,10,RPE1::25::GNPNAT1
29,GNPNAT1,6,RPE1::29::GNPNAT1
3,GNPNAT1,8,RPE1::3::GNPNAT1
31,GNPNAT1,5,RPE1::31::GNPNAT1
35,GNPNAT1,5,RPE1::35::GNPNAT1
49,GNPNAT1,6,RPE1::49::GNPNAT1
52,GNPNAT1,6,RPE1::52::GNPNAT1
53,GNPNAT1,5,RPE1::53::GNPNAT1
8,GNPNAT1,5,RPE1::8::GNPNAT1
10,HSD17B12,6,RPE1::10::HSD17B12
11,HSD17B12,14,RPE1::11::HSD17B12
12,HSD17B12,8,RPE1::12::HSD17B12
13,HSD17B12,6,RPE1::13::HSD17B12
14,HSD17B12,7,RPE1::14::HSD17B12
17,HSD17B12,8,RPE1::17::HSD17B12
18,HSD17B12,9,RPE1::18::HSD17B12
2,HSD17B12,8,RPE1::2::HSD17B12
20,HSD17B12,8,RPE1::20::HSD17B12
21,HSD17B12,7,RPE1::21::HSD17B12
22,HSD17B12,7,RPE1::22::HSD17B12
24,HSD17B12,6,RPE1::24::HSD17B12
25,HSD17B12,7,RPE1::25::HSD17B12
28,HSD17B12,6,RPE1::28::HSD17B12
29,HSD17B12,5,RPE1::29::HSD17B12
30,HSD17B12,6,RPE1::30::HSD17B12
31,HSD17B12,8,RPE1::31::HSD17B12
32,HSD17B12,8,RPE1::32::HSD17B12
33,HSD17B12,7,RPE1::33::HSD17B12
34,HSD17B12,8,RPE1::34::HSD17B12
35,HSD17B12,6,RPE1::35::HSD17B12
36,HSD17B12,7,RPE1::36::HSD17B12
37,HSD17B12,8,RPE1::37::HSD17B12
38,HSD17B12,6,RPE1::38::HSD17B12
39,HSD17B12,5,RPE1::39::HSD17B12
4,HSD17B12,5,RPE1::4::HSD17B12
42,HSD17B12,10,RPE1::42::HSD17B12
43,HSD17B12,5,RPE1::43::HSD17B12
44,HSD17B12,5,RPE1::44::HSD17B12
48,HSD17B12,9,RPE1::48::HSD17B12
5,HSD17B12,6,RPE1::5::HSD17B12
50,HSD17B12,7,RPE1::50::HSD17B12
51,HSD17B12,8,RPE1::51::HSD17B12
54,HSD17B12,9,RPE1::54::HSD17B12
55,HSD17B12,8,RPE1::55::HSD17B12
6,HSD17B12,6,RPE1::6::HSD17B12
7,HSD17B12,5,RPE1::7::HSD17B12
8,HSD17B12,6,RPE1::8::HSD17B12
9,HSD17B12,10,RPE1::9::HSD17B12
43,HSPA5,5,RPE1::43::HSPA5
20,HSPA9,5,RPE1::20::HSPA9
31,HSPA9,5,RPE1::31::HSPA9
25,IARS2,5,RPE1::25::IARS2
11,MANF,5,RPE1::11::MANF
13,MANF,5,RPE1::13::MANF
16,MANF,5,RPE1::16::MANF
18,MANF,6,RPE1::18::MANF
20,MANF,5,RPE1::20::MANF
22,MANF,5,RPE1::22::MANF
25,MANF,6,RPE1::25::MANF
28,MANF,6,RPE1::28::MANF
33,MANF,5,RPE1::33::MANF
35,MANF,5,RPE1::35::MANF
38,MANF,6,RPE1::38::MANF
48,MANF,7,RPE1::48::MANF
52,MANF,5,RPE1::52::MANF
55,MANF,5,RPE1::55::MANF
6,MANF,5,RPE1::6::MANF
10,MRPL39,5,RPE1::10::MRPL39
12,MRPL39,8,RPE1::12::MRPL39
13,MRPL39,7,RPE1::13::MRPL39
15,MRPL39,6,RPE1::15::MRPL39
16,MRPL39,5,RPE1::16::MRPL39
17,MRPL39,5,RPE1::17::MRPL39
19,MRPL39,6,RPE1::19::MRPL39
2,MRPL39,8,RPE1::2::MRPL39
20,MRPL39,7,RPE1::20::MRPL39
25,MRPL39,7,RPE1::25::MRPL39
26,MRPL39,5,RPE1::26::MRPL39
29,MRPL39,7,RPE1::29::MRPL39
3,MRPL39,6,RPE1::3::MRPL39
30,MRPL39,8,RPE1::30::MRPL39
31,MRPL39,6,RPE1::31::MRPL39
34,MRPL39,8,RPE1::34::MRPL39
35,MRPL39,9,RPE1::35::MRPL39
36,MRPL39,9,RPE1::36::MRPL39
38,MRPL39,5,RPE1::38::MRPL39
40,MRPL39,8,RPE1::40::MRPL39
42,MRPL39,8,RPE1::42::MRPL39
44,MRPL39,5,RPE1::44::MRPL39
5,MRPL39,5,RPE1::5::MRPL39
51,MRPL39,6,RPE1::51::MRPL39
52,MRPL39,7,RPE1::52::MRPL39
54,MRPL39,9,RPE1::54::MRPL39
55,MRPL39,5,RPE1::55::MRPL39
56,MRPL39,5,RPE1::56::MRPL39
6,MRPL39,7,RPE1::6::MRPL39
7,MRPL39,6,RPE1::7::MRPL39
8,MRPL39,6,RPE1::8::MRPL39
9,MRPL39,10,RPE1::9::MRPL39
10,SEC61A1,5,RPE1::10::SEC61A1
40,SEC61A1,6,RPE1::40::SEC61A1
54,SEC61A1,5,RPE1::54::SEC61A1
12,SPCS3,7,RPE1::12::SPCS3
16,SPCS3,5,RPE1::16::SPCS3
17,SPCS3,6,RPE1::17::SPCS3
30,SPCS3,6,RPE1::30::SPCS3
38,SPCS3,5,RPE1::38::SPCS3
44,SPCS3,6,RPE1::44::SPCS3
46,SPCS3,5,RPE1::46::SPCS3
38,SRP68,6,RPE1::38::SRP68
12,SRP72,6,RPE1::12::SRP72
17,SRP72,5,RPE1::17::SRP72
28,SRP72,5,RPE1::28::SRP72
31,SRP72,9,RPE1::31::SRP72
