gene,selection_rule,selection_sha256
COPZ1,E190-frozen gene; RPE1 metadata >=5 cells in >=1 batch,530bc6f31699c2e423318ec3df3210ce9d7cb4f258be5719065b04eae60fc09b
DERL2,E190-frozen gene; RPE1 metadata >=5 cells in >=1 batch,4d185614fd2a53f73f889dc152ad2c79fd2765e0432d340ba6d30b213ba2e187
DNAJC19,E190-frozen gene; RPE1 metadata >=5 cells in >=1 batch,cc0df9b76419b135cc52f64c3538e7e24c290af87687912f976f6546e9de05b0
EIF2B2,E190-frozen gene; RPE1 metadata >=5 cells in >=1 batch,1b391ffea7e0ce8e7f56257e45f2b766c69e09e2350f6e9613715058e3332e64
GBF1,E190-frozen gene; RPE1 metadata >=5 cells in >=1 batch,9e8d9b91f05c3a60616b098e2bc073c847e5b0cb8fa05696388ffd7d0bfaa8b7
GMPPB,E190-frozen gene; RPE1 metadata >=5 cells in >=1 batch,a1fca8979f107796fb2b63f9bc6140645526facbbc76ad3c18986fc27f5187ad
GNPNAT1,E190-frozen gene; RPE1 metadata >=5 cells in >=1 batch,1da1fe0e3ebeb95548eda31fe143a9f5a6678c5d1e8bb17644cad294cf905236
HSD17B12,E190-frozen gene; RPE1 metadata >=5 cells in >=1 batch,ba947c46e0dd5162a7e10f70c8388c1212ac7895761ffedda4c6c3e0fe93f4bf
HSPA5,E190-frozen gene; RPE1 metadata >=5 cells in >=1 batch,c18942442e0fcd402c88e161809e2241bdbd691a061803ec2ea6c361e20f3379
HSPA9,E190-frozen gene; RPE1 metadata >=5 cells in >=1 batch,8f31559ba7ecc2996b371bea6b8025e117f06299ee1daebdcb1677dde43e9ddf
IARS2,E190-frozen gene; RPE1 metadata >=5 cells in >=1 batch,89c2c60319456d5e60374d490dbd797e8732aa5df4e39fc38ef6a867422f2af6
MANF,E190-frozen gene; RPE1 metadata >=5 cells in >=1 batch,900d3c25572b6008bdad64d8fac4379a2e82ebe860fd70ca2b62da6a48de16e5
MRPL39,E190-frozen gene; RPE1 metadata >=5 cells in >=1 batch,778aa26b928f157524a75c9d87c51530aa0a5d4f5ba825d71d50e1692b1dd6de
SEC61A1,E190-frozen gene; RPE1 metadata >=5 cells in >=1 batch,d99c5c49110fe38c3dba8acfb12445b9782721a0e29fe65ec64729da79e47f91
SPCS3,E190-frozen gene; RPE1 metadata >=5 cells in >=1 batch,7c943864f30aade7fe7803e842da131056c3238ed8a5a30e6ab15b9291053cd5
SRP68,E190-frozen gene; RPE1 metadata >=5 cells in >=1 batch,84faad84024bc863a050ea2b439fcf64f1437d28f026154e715176d92ad4096c
SRP72,E190-frozen gene; RPE1 metadata >=5 cells in >=1 batch,07fa34f520bb9952a4bb03ab7294e247d1f9e51bc15bcbfe41f418b86cc4712a
SRPRB,E190-frozen gene; RPE1 metadata >=5 cells in >=1 batch,91c70950351e2491460b912a710a6b106c4849e0dc04f221e2095e48155afb3c
TMED2,E190-frozen gene; RPE1 metadata >=5 cells in >=1 batch,93a717e82423ccae08d4ad0c5bebf6ac130049d9c2ebefd31015868ec13c547e
TTI1,E190-frozen gene; RPE1 metadata >=5 cells in >=1 batch,a2305a030d28676dc36d1cb6d92fbcbbbcac8d28af00335da9e00e759463d50f
UFL1,E190-frozen gene; RPE1 metadata >=5 cells in >=1 batch,ed1bf8bbda7358574b27be135e811d7c230aa42bccfd4d187b117212ff98e239
