dataset,namespace,path,bytes,sha256
E190_K562,pretruth_release,PRETRUTH_STATUS.json,796,6130be9bfc48081d823aa07760bc32b8dab8bd56263bd6880fac622b2a029b8c
E190_K562,pretruth_release,arrays/PRETRUTH_PREDICTIONS.npz,4031802,2ea7b10acf281334155797c570f4c9c58d8c1190a2c51f2035987bb01170c7c0
E190_K562,pretruth_release,tables/GRAPH_AUDIT.csv,39603,3714fe47df31998e279712e71399e793410b95e3b760bc7e3a29413baafbb678
E190_K562,pretruth_release,tables/INPUT_HASHES.csv,4219,a3fbf5ed9818f07bd80f902ce4c4f648cb9cf9c0b8188ffe4c850eea029dbf79
E190_K562,pretruth_release,tables/MODEL_AUDIT.csv,651,ed6a993cfc0d9e88402bd6baebbbafa4ae3a747cb22ffe929a6eae1d7671359d
E190_K562,pretruth_release,tables/QUERY_ORDER.csv,13813,9498cae5fc1a5de576480e95ac7b725363b27fb78bf9feeab67feecc3858e1e3
E190_K562,pretruth_release,tables/TRAINING_HISTORY.csv,6381,16ee0e311f603f1d610936ad310d1a9399f32a93bd0dcf2864ff75c1ba430ea4
E190_K562,evaluation_truth,TARGET_TRUTH_BUILD_STATUS.json,483,8a3f43e4d8642d2aef2b929243d2c7de52dc6ef15b8ab2bb77b11cd27c187a4e
E190_K562,evaluation_truth,arrays/TARGET_TRUE_EFFECTS.npz,1462394,fee77eea3033b2315327c1b4f741fb5dd67c56f47d3d7d98ea4306c358b65644
E190_K562,evaluation_truth,tables/TARGET_INPUT_SCALE_AUDIT.csv,270,501ad37cff8645ce4f84ed9b00fb59a6958926c47ed985c0ce46e0afe86a099d
E190_K562,evaluation_truth,tables/TARGET_TRUTH_INDEX.csv,18958,78da405b82f39acf4d453a9b666eb9237264c42707379cef348b365c83cbdaa5
E190_K562,model_asset,model_assets/SOURCE_GENE_EFFECTS.npz,95790,3d6b2ef0f080b959795c75d94c8c78286c321efdc8d30e0c44972a66a8c9c7f6
E192_RPE1,pretruth_release,PRETRUTH_STATUS.json,796,7381855ef4a168378bbc79fbd580372375053c5f5e16d69585a75038f4795629
E192_RPE1,pretruth_release,arrays/PRETRUTH_PREDICTIONS.npz,1012480,3997165fa1f112e1a030ac9c2d0772f53996370bfaa95384b6668f18ab40adbf
E192_RPE1,pretruth_release,tables/GRAPH_AUDIT.csv,14088,945d91c5903379787117b0a1461c68899a1be7a70ba91c676c2f6f1f94302768
E192_RPE1,pretruth_release,tables/INPUT_HASHES.csv,4095,252df450c632344188b345620a6f53c9d5f704514b92d9142c959c18686e9a30
E192_RPE1,pretruth_release,tables/MODEL_AUDIT.csv,653,b691ab3f54c69927651c234643282219a3493a32a1e7617d2e97516a80633cdf
E192_RPE1,pretruth_release,tables/QUERY_ORDER.csv,3573,a648a0c659b12637b88c3546133f5438593c4a2f22f2921e4589800d4a593b0f
E192_RPE1,pretruth_release,tables/TRAINING_HISTORY.csv,7533,f31e6ff19f055a01af9917c9036097765badf2cb37c8e8331c6875de71111485
E192_RPE1,evaluation_truth,TARGET_TRUTH_BUILD_STATUS.json,483,8c61433d4e1093ec700ba0a1de4d2f7f44b34e45a11b4832031538080412ba8f
E192_RPE1,evaluation_truth,arrays/TARGET_TRUE_EFFECTS.npz,371015,85d76299f178800759198cd4beb141fabbe146e97e70899ac652a88535b0b32e
E192_RPE1,evaluation_truth,tables/TARGET_INPUT_SCALE_AUDIT.csv,273,03fb3fed384d333a93337e2385a7324eaebb7520e70bf6d0371142ba121a24d1
E192_RPE1,evaluation_truth,tables/TARGET_TRUTH_INDEX.csv,5090,ffa3f1f3ca25c6f76b71091e0ee3f493f7479657c40428334ac8d467af7c2066
E192_RPE1,model_asset,model_assets/SOURCE_GENE_EFFECTS.npz,43032,1232e6a1870d37cc233ad4f103b39f319e0aec64effe2f97cb712c147e1df8f0
