dataset,geometry,check,target_family_id,value,threshold,pass
E190_K562,absolute_rmse,duplicate_all_flat,B1_duplicate_all_flat,5.551115123125783e-17,1e-10,True
E190_K562,absolute_rmse,duplicate_all_governed,B1_duplicate_all_governed,5.551115123125783e-17,1e-10,True
E190_K562,absolute_rmse,overweight_scgpt_governed,B3_overweight_scgpt_governed,5.551115123125783e-17,1e-10,True
E190_K562,absolute_rmse,overweight_gears_governed,B3_overweight_gears_governed,1.1102230246251565e-16,1e-10,True
E190_K562,absolute_rmse,duplicate_one_governed,B2_duplicate_one_governed_scGPT_seed3407,5.551115123125783e-17,1e-10,True
E190_K562,absolute_rmse,duplicate_one_governed,B2_duplicate_one_governed_GEARS_seed3407,5.551115123125783e-17,1e-10,True
E190_K562,absolute_rmse,duplicate_one_governed,B2_duplicate_one_governed_scGPT_seed3408,5.551115123125783e-17,1e-10,True
E190_K562,absolute_rmse,duplicate_one_governed,B2_duplicate_one_governed_GEARS_seed3408,5.551115123125783e-17,1e-10,True
E190_K562,absolute_rmse,duplicate_one_governed,B2_duplicate_one_governed_scGPT_seed3409,5.551115123125783e-17,1e-10,True
E190_K562,absolute_rmse,duplicate_one_governed,B2_duplicate_one_governed_GEARS_seed3409,5.551115123125783e-17,1e-10,True
E190_K562,absolute_rmse,a0_family_error_architecture_decomposition,A0_A1_A2_A4,4.163336342344337e-17,1e-10,True
E190_K562,absolute_rmse,a0_diversity_within_between_decomposition,A0_A1_A2_A4,8.673617379884035e-18,1e-10,True
E190_K562,absolute_rmse,a4_centroid_error_equals_a0,A4_architecture_centroids,5.551115123125783e-17,1e-10,True
E190_K562,absolute_rmse,symmetric_attack_centroid_error_unchanged,C4_symmetric_attack_lambda1,5.551115123125783e-17,1e-10,True
E190_K562,absolute_rmse,symmetric_attack_centroid_error_unchanged,C4_symmetric_attack_lambda2,5.551115123125783e-17,1e-10,True
E190_K562,absolute_rmse,symmetric_attack_centroid_error_unchanged,C4_symmetric_attack_lambda4,5.551115123125783e-17,1e-10,True
E190_K562,absolute_rmse,symmetric_attack_diversity_strictly_increases,C4_lambda1_to_4,0.058058267105069505,0.0,True
