panel,panel_label,task_id,n_seeds,native_logvar_mean,seed_disagreement,predicted_magnitude,family_rms_error,centroid_rmse,truth_max_abs_diff_across_seeds,family_squared_identity_residual,gene_order_hash
P1,Norman_P1,BCL2L11+ctrl,3,0.17976457377274832,0.021489384477116916,0.03692884988735027,0.04056840205801894,0.034409324322568755,0.0,1.6263032587282567e-19,sha256:9059bd6e8ff28482b90f1dd4dd423df7e1990b35f9a8ad5b4b6aee9ef0eb7ed0
P1,Norman_P1,CKS1B+ctrl,3,0.13435290008783338,0.012671085014952484,0.03193964429521643,0.055079634515093845,0.05360232964023265,0.0,1.6263032587282567e-19,sha256:9059bd6e8ff28482b90f1dd4dd423df7e1990b35f9a8ad5b4b6aee9ef0eb7ed0
P1,Norman_P1,CLDN6+ctrl,3,0.20227326452732083,0.028764345371920862,0.07370284809671654,0.07247381717237379,0.06652117415424594,0.0,2.168404344971009e-19,sha256:9059bd6e8ff28482b90f1dd4dd423df7e1990b35f9a8ad5b4b6aee9ef0eb7ed0
P1,Norman_P1,FEV+ctrl,3,0.2582310636838277,0.016954109600710837,0.0796052177701677,0.0819212875334211,0.08014771062719471,0.0,1.0842021724855044e-18,sha256:9059bd6e8ff28482b90f1dd4dd423df7e1990b35f9a8ad5b4b6aee9ef0eb7ed0
P1,Norman_P1,FOSB+ctrl,3,0.08045476240416363,0.020287255591548432,0.0752346133248505,0.06044458220674494,0.05693834190342334,0.0,7.589415207398531e-19,sha256:9059bd6e8ff28482b90f1dd4dd423df7e1990b35f9a8ad5b4b6aee9ef0eb7ed0
P1,Norman_P1,FOXA1+ctrl,3,0.12420459145990508,0.01765731477655696,0.0695039757140333,0.060382442346696506,0.05774303922234878,0.0,1.2468324983583301e-18,sha256:9059bd6e8ff28482b90f1dd4dd423df7e1990b35f9a8ad5b4b6aee9ef0eb7ed0
P1,Norman_P1,FOXA3+ctrl,3,0.1452962458133697,0.020310427832806743,0.06248502268515057,0.04800117380543513,0.0434925189883035,0.0,3.7947076036992655e-19,sha256:9059bd6e8ff28482b90f1dd4dd423df7e1990b35f9a8ad5b4b6aee9ef0eb7ed0
P1,Norman_P1,IER5L+ctrl,3,0.20202532845238844,0.02301987247453039,0.08866076128951317,0.06932883737592031,0.0653955133258633,0.0,7.589415207398531e-19,sha256:9059bd6e8ff28482b90f1dd4dd423df7e1990b35f9a8ad5b4b6aee9ef0eb7ed0
P1,Norman_P1,IGDCC3+ctrl,3,0.09994258234898241,0.020952164163713625,0.039085540271544365,0.04376108105954863,0.03841925340707678,0.0,4.87890977618477e-19,sha256:9059bd6e8ff28482b90f1dd4dd423df7e1990b35f9a8ad5b4b6aee9ef0eb7ed0
P1,Norman_P1,IKZF3+ctrl,3,0.151138295729955,0.020938612140495323,0.09915634084374127,0.06599245424686048,0.06258257376581661,0.0,1.0299920638612292e-18,sha256:9059bd6e8ff28482b90f1dd4dd423df7e1990b35f9a8ad5b4b6aee9ef0eb7ed0
