panel,task_id,check,value,threshold,pass
P1,BCL2L11+ctrl,truth_equal_across_seeds,0.0,1e-07,True
P1,BCL2L11+ctrl,hilbert_family_identity,1.6263032587282567e-19,1e-10,True
P1,CKS1B+ctrl,truth_equal_across_seeds,0.0,1e-07,True
P1,CKS1B+ctrl,hilbert_family_identity,1.6263032587282567e-19,1e-10,True
P1,CLDN6+ctrl,truth_equal_across_seeds,0.0,1e-07,True
P1,CLDN6+ctrl,hilbert_family_identity,2.168404344971009e-19,1e-10,True
P1,FEV+ctrl,truth_equal_across_seeds,0.0,1e-07,True
P1,FEV+ctrl,hilbert_family_identity,1.0842021724855044e-18,1e-10,True
P1,FOSB+ctrl,truth_equal_across_seeds,0.0,1e-07,True
P1,FOSB+ctrl,hilbert_family_identity,7.589415207398531e-19,1e-10,True
P1,FOXA1+ctrl,truth_equal_across_seeds,0.0,1e-07,True
P1,FOXA1+ctrl,hilbert_family_identity,1.2468324983583301e-18,1e-10,True
P1,FOXA3+ctrl,truth_equal_across_seeds,0.0,1e-07,True
P1,FOXA3+ctrl,hilbert_family_identity,3.7947076036992655e-19,1e-10,True
P1,IER5L+ctrl,truth_equal_across_seeds,0.0,1e-07,True
P1,IER5L+ctrl,hilbert_family_identity,7.589415207398531e-19,1e-10,True
P1,IGDCC3+ctrl,truth_equal_across_seeds,0.0,1e-07,True
P1,IGDCC3+ctrl,hilbert_family_identity,4.87890977618477e-19,1e-10,True
P1,IKZF3+ctrl,truth_equal_across_seeds,0.0,1e-07,True
P1,IKZF3+ctrl,hilbert_family_identity,1.0299920638612292e-18,1e-10,True
P1,JUN+ctrl,truth_equal_across_seeds,0.0,1e-07,True
P1,JUN+ctrl,hilbert_family_identity,7.589415207398531e-19,1e-10,True
P1,MAPK1+ctrl,truth_equal_across_seeds,0.0,1e-07,True
P1,MAPK1+ctrl,hilbert_family_identity,4.336808689942018e-19,1e-10,True
P1,MEIS1+ctrl,truth_equal_across_seeds,0.0,1e-07,True
P1,MEIS1+ctrl,hilbert_family_identity,1.5178830414797062e-18,1e-10,True
P1,MIDN+ctrl,truth_equal_across_seeds,0.0,1e-07,True
P1,MIDN+ctrl,hilbert_family_identity,4.87890977618477e-19,1e-10,True
P1,OSR2+ctrl,truth_equal_across_seeds,0.0,1e-07,True
P1,OSR2+ctrl,hilbert_family_identity,2.710505431213761e-19,1e-10,True
P1,POU3F2+ctrl,truth_equal_across_seeds,0.0,1e-07,True
P1,POU3F2+ctrl,hilbert_family_identity,3.2526065174565133e-19,1e-10,True
P1,PRDM1+ctrl,truth_equal_across_seeds,0.0,1e-07,True
P1,PRDM1+ctrl,hilbert_family_identity,9.75781955236954e-19,1e-10,True
P1,PTPN12+ctrl,truth_equal_across_seeds,0.0,1e-07,True
P1,PTPN12+ctrl,hilbert_family_identity,6.776263578034403e-19,1e-10,True
P1,PTPN13+ctrl,truth_equal_across_seeds,0.0,1e-07,True
P1,PTPN13+ctrl,hilbert_family_identity,4.87890977618477e-19,1e-10,True
P1,S1PR2+ctrl,truth_equal_across_seeds,0.0,1e-07,True
P1,S1PR2+ctrl,hilbert_family_identity,2.168404344971009e-19,1e-10,True
P1,SNAI1+ctrl,truth_equal_across_seeds,0.0,1e-07,True
P1,SNAI1+ctrl,hilbert_family_identity,5.421010862427522e-20,1e-10,True
P1,SPI1+ctrl,truth_equal_across_seeds,0.0,1e-07,True
P1,SPI1+ctrl,hilbert_family_identity,8.673617379884035e-19,1e-10,True
P1,STIL+ctrl,truth_equal_across_seeds,0.0,1e-07,True
P1,STIL+ctrl,hilbert_family_identity,4.336808689942018e-19,1e-10,True
P1,TSC22D1+ctrl,truth_equal_across_seeds,0.0,1e-07,True
P1,TSC22D1+ctrl,hilbert_family_identity,4.336808689942018e-19,1e-10,True
P2,ARRDC3+ctrl,truth_equal_across_seeds,0.0,1e-07,True
P2,ARRDC3+ctrl,hilbert_family_identity,1.6263032587282567e-19,1e-10,True
P2,ATL1+ctrl,truth_equal_across_seeds,0.0,1e-07,True
P2,ATL1+ctrl,hilbert_family_identity,1.3010426069826053e-18,1e-10,True
P2,BPGM+ctrl,truth_equal_across_seeds,0.0,1e-07,True
P2,BPGM+ctrl,hilbert_family_identity,3.2526065174565133e-19,1e-10,True
P2,CBFA2T3+ctrl,truth_equal_across_seeds,0.0,1e-07,True
P2,CBFA2T3+ctrl,hilbert_family_identity,3.2526065174565133e-19,1e-10,True
P2,CDKN1C+ctrl,truth_equal_across_seeds,0.0,1e-07,True
P2,CDKN1C+ctrl,hilbert_family_identity,3.7947076036992655e-19,1e-10,True
