panel,system,arm,score_name,outcome_name,budget,n_selected,high_error_recall,selected_mean_error,overall_mean_error,error_lift,remaining_mean_error,remaining_error_reduction,oracle_mean_error,oracle_normalized_utility,utility_ci95_lower,utility_ci95_upper,utility_bootstrap_valid
P1,GEARS-UQ,same_prediction_family_rms,native_logvar_mean,family_rms_error,0.1,3,0.6666666666666666,0.07564217392840726,0.05918342550427768,1.2780972592223472,0.05683217572940201,0.039728179888907,0.08674664397938898,0.5971272345786215,,,0
P1,GEARS-UQ,same_prediction_family_rms,native_logvar_mean,family_rms_error,0.2,5,0.6,0.0735080536937626,0.05918342550427768,1.2420378352119812,0.05541378650704481,0.06369416716104762,0.08202516598003742,0.6271250741460179,-0.10885919738439838,1.0,5000
P1,GEARS-UQ,same_prediction_family_rms,native_logvar_mean,family_rms_error,0.3,8,0.625,0.06423236977302538,0.05918342550427768,1.0853101054176522,0.05665895336990383,0.042655052708826184,0.07669838137927318,0.28826474384418027,,,0
P1,GEARS-UQ,same_prediction_family_rms,predicted_magnitude,family_rms_error,0.1,3,0.6666666666666666,0.08143703288386878,0.05918342550427768,1.3760108035311784,0.05600433873576466,0.053715829075882786,0.08674664397938898,0.8073660701011888,,,0
P1,GEARS-UQ,same_prediction_family_rms,predicted_magnitude,family_rms_error,0.2,5,0.4,0.07635597310774883,0.05918342550427768,1.2901580545085203,0.054664334029679996,0.07635738276540027,0.08202516598003742,0.7518055649785143,0.4968961804250639,1.0,5000
P1,GEARS-UQ,same_prediction_family_rms,predicted_magnitude,family_rms_error,0.3,8,0.875,0.0745774440564105,0.05918342550427768,1.260106920492802,0.05148641622821126,0.13005346024640108,0.07669838137927318,0.8789070701633594,,,0
P1,GEARS-UQ,same_prediction_family_rms,seed_disagreement,family_rms_error,0.1,3,0.6666666666666666,0.08359748719237321,0.05918342550427768,1.4125151844468842,0.055695702405978306,0.05893074063526936,0.08674664397938898,0.88574785670043,,,0
P1,GEARS-UQ,same_prediction_family_rms,seed_disagreement,family_rms_error,0.2,5,0.6,0.07296311272774904,0.05918342550427768,1.2328301734152813,0.055557192024416786,0.061271098267179476,0.08202516598003742,0.6032678305794922,-0.07821512046816065,1.0,5000
P1,GEARS-UQ,same_prediction_family_rms,seed_disagreement,family_rms_error,0.3,8,0.625,0.06590126166880482,0.05918342550427768,1.1135087418020706,0.05582450742201409,0.05675437090103563,0.07669838137927318,0.3835485634375808,,,0
P1,GEARS-scGPT pair,posthoc_pair,risk_gears_predicted_magnitude,task_mean_rmse,0.1,3,0.3333333333333333,0.12147600604578816,0.10795401921490706,1.1252569096474538,0.10602230681049545,0.017893844235350828,0.17058831179716813,0.21588791496482426,,,0
P1,GEARS-scGPT pair,posthoc_pair,risk_gears_predicted_magnitude,task_mean_rmse,0.2,5,0.4,0.12968658307951447,0.10795401921490706,1.2013131518646267,0.102234923461063,0.05297714522753341,0.15504703701907765,0.4614816564735581,-0.04162638845401141,0.8923761556521315,5000
P1,GEARS-scGPT pair,posthoc_pair,risk_gears_predicted_magnitude,task_mean_rmse,0.3,8,0.625,0.12757289235441543,0.10795401921490706,1.1817336054941368,0.09814458264515286,0.09086680274706854,0.1422224575904204,0.5725056077701843,,,0
P1,GEARS-scGPT pair,posthoc_pair,risk_gears_scgpt_disagreement,task_mean_rmse,0.1,3,0.6666666666666666,0.13564386667393338,0.10795401921490706,1.2564966794233328,0.10399832672076044,0.036642382774761874,0.17058831179716813,0.4420876538624543,,,0
