panel,seed,condition,task_gene,audit_stage,actual_split_verified,exact_single_condition_in_train_or_val,n_train_or_val_double_conditions_containing_gene,double_condition_examples
P1,11,BCL2L11+ctrl,BCL2L11,actual_child_set2conditions,True,False,2,BAK1+BCL2L11;BCL2L11+TGFBR2
P1,11,CKS1B+ctrl,CKS1B,actual_child_set2conditions,True,False,0,
P1,11,CLDN6+ctrl,CLDN6,actual_child_set2conditions,True,False,1,CLDN6+KLF1
P1,11,FEV+ctrl,FEV,actual_child_set2conditions,True,False,4,AHR+FEV;CBFA2T3+FEV;FEV+ISL2;FEV+MAP7D1
P1,11,FOSB+ctrl,FOSB,actual_child_set2conditions,True,False,6,CEBPB+FOSB;CEBPE+FOSB;FOSB+IKZF3;FOSB+OSR2;FOSB+PTPN12;FOSB+UBASH3B
P1,11,FOXA1+ctrl,FOXA1,actual_child_set2conditions,True,False,5,FOXA1+FOXA3;FOXA1+FOXF1;FOXA1+FOXL2;FOXA1+HOXB9;FOXA1+KLF1
P1,11,FOXA3+ctrl,FOXA3,actual_child_set2conditions,True,False,4,FOXA1+FOXA3;FOXA3+FOXF1;FOXA3+FOXL2;FOXA3+HOXB9
P1,11,IER5L+ctrl,IER5L,actual_child_set2conditions,True,False,1,IER5L+LYL1
P1,11,IGDCC3+ctrl,IGDCC3,actual_child_set2conditions,True,False,6,DUSP9+IGDCC3;ETS2+IGDCC3;IGDCC3+MAPK1;IGDCC3+PRTG;IGDCC3+TGFBR2;IGDCC3+ZBTB25
P1,11,IKZF3+ctrl,IKZF3,actual_child_set2conditions,True,False,5,ETS2+IKZF3;FOSB+IKZF3;IKZF3+MAP2K3;IKZF3+MAP2K6;IKZF3+MAPK1
P1,11,JUN+ctrl,JUN,actual_child_set2conditions,True,False,2,CEBPA+JUN;CEBPB+JUN
P1,11,MAPK1+ctrl,MAPK1,actual_child_set2conditions,True,False,8,CEBPB+MAPK1;CNN1+MAPK1;DUSP9+MAPK1;ETS2+MAPK1;IGDCC3+MAPK1;IKZF3+MAPK1;MAPK1+PRTG;MAPK1+TGFBR2
P1,11,MEIS1+ctrl,MEIS1,actual_child_set2conditions,True,False,1,FOXL2+MEIS1
P1,11,MIDN+ctrl,MIDN,actual_child_set2conditions,True,False,0,
P1,11,OSR2+ctrl,OSR2,actual_child_set2conditions,True,False,4,CEBPB+OSR2;FOSB+OSR2;OSR2+PTPN12;OSR2+UBASH3B
P1,11,POU3F2+ctrl,POU3F2,actual_child_set2conditions,True,False,2,CBFA2T3+POU3F2;FOXL2+POU3F2
P1,11,PRDM1+ctrl,PRDM1,actual_child_set2conditions,True,False,1,CBFA2T3+PRDM1
P1,11,PTPN12+ctrl,PTPN12,actual_child_set2conditions,True,False,12,CBL+PTPN12;CEBPB+PTPN12;CEBPE+PTPN12;FOSB+PTPN12;OSR2+PTPN12;PTPN12+PTPN9;PTPN12+SAMD1;PTPN12+SNAI1;PTPN12+UBASH3A;PTPN12+UBASH3B
P1,11,PTPN13+ctrl,PTPN13,actual_child_set2conditions,True,False,0,
P1,11,S1PR2+ctrl,S1PR2,actual_child_set2conditions,True,False,1,S1PR2+SGK1
P1,11,SNAI1+ctrl,SNAI1,actual_child_set2conditions,True,False,5,DLX2+SNAI1;DUSP9+SNAI1;PTPN12+SNAI1;SNAI1+UBASH3B;SNAI1+ZBTB10
P1,11,SPI1+ctrl,SPI1,actual_child_set2conditions,True,False,2,CEBPE+SPI1;MAP2K6+SPI1
P1,11,STIL+ctrl,STIL,actual_child_set2conditions,True,False,1,PLK4+STIL
P1,11,TSC22D1+ctrl,TSC22D1,actual_child_set2conditions,True,False,0,
P1,22,BCL2L11+ctrl,BCL2L11,actual_child_set2conditions,True,False,2,BAK1+BCL2L11;BCL2L11+TGFBR2
P1,22,CKS1B+ctrl,CKS1B,actual_child_set2conditions,True,False,0,
P1,22,CLDN6+ctrl,CLDN6,actual_child_set2conditions,True,False,1,CLDN6+KLF1
P1,22,FEV+ctrl,FEV,actual_child_set2conditions,True,False,4,AHR+FEV;CBFA2T3+FEV;FEV+ISL2;FEV+MAP7D1
P1,22,FOSB+ctrl,FOSB,actual_child_set2conditions,True,False,6,CEBPB+FOSB;CEBPE+FOSB;FOSB+IKZF3;FOSB+OSR2;FOSB+PTPN12;FOSB+UBASH3B
P1,22,FOXA1+ctrl,FOXA1,actual_child_set2conditions,True,False,5,FOXA1+FOXA3;FOXA1+FOXF1;FOXA1+FOXL2;FOXA1+HOXB9;FOXA1+KLF1
P1,22,FOXA3+ctrl,FOXA3,actual_child_set2conditions,True,False,4,FOXA1+FOXA3;FOXA3+FOXF1;FOXA3+FOXL2;FOXA3+HOXB9
