manifest_id,evidence_role,reference_set,score_name,n_tasks,n_finite,n_nan,n_infinite,n_unique_rounded_12dp,minimum,maximum,standard_deviation,estimability
E81_r1_p25,formal_manifest,all_explicit_train_conditions,native_cosine_distance,91,91,0,0,91,0.0017517126458935772,0.1606201674259078,0.03726817345055889,ESTIMABLE
E81_r1_p25,formal_manifest,all_explicit_train_conditions,native_euclidean_distance,91,91,0,0,68,0.35799155742759736,2.568781042100139,0.6203213517226054,ESTIMABLE
E81_r1_p25,formal_manifest,all_explicit_train_conditions,predicted_magnitude_cpa,91,91,0,0,91,0.2475572377443313,0.4391655325889587,0.06764512438883694,ESTIMABLE
E81_r1_p25,formal_manifest,all_explicit_train_conditions,cpa_ridge_disagreement_rmse,91,91,0,0,91,0.2452094852924347,0.5777804851531982,0.09015636287317295,ESTIMABLE
E81_r1_p25,formal_manifest,official_gt30_train_conditions,native_cosine_distance,91,91,0,0,91,0.0017517126458935772,0.1606201674259078,0.03726817345055889,ESTIMABLE
E81_r1_p25,formal_manifest,official_gt30_train_conditions,native_euclidean_distance,91,91,0,0,68,0.35799155742759736,2.568781042100139,0.6203213517226054,ESTIMABLE
E81_r1_p25,formal_manifest,official_gt30_train_conditions,predicted_magnitude_cpa,91,91,0,0,91,0.2475572377443313,0.4391655325889587,0.06764512438883694,ESTIMABLE
E81_r1_p25,formal_manifest,official_gt30_train_conditions,cpa_ridge_disagreement_rmse,91,91,0,0,91,0.2452094852924347,0.5777804851531982,0.09015636287317295,ESTIMABLE
E81_r1_p25,formal_manifest,perturbed_train_only,native_cosine_distance,91,91,0,0,91,0.002008750100164547,0.9475431821256456,0.38377703395459917,ESTIMABLE
E81_r1_p25,formal_manifest,perturbed_train_only,native_euclidean_distance,91,91,0,0,88,0.35799155742759736,7.657540428621592,2.807785136165727,ESTIMABLE
E81_r1_p25,formal_manifest,perturbed_train_only,predicted_magnitude_cpa,91,91,0,0,91,0.2475572377443313,0.4391655325889587,0.06764512438883694,ESTIMABLE
E81_r1_p25,formal_manifest,perturbed_train_only,cpa_ridge_disagreement_rmse,91,91,0,0,91,0.2452094852924347,0.5777804851531982,0.09015636287317295,ESTIMABLE
E81_r1_p50,formal_manifest,all_explicit_train_conditions,native_cosine_distance,77,77,0,0,77,0.002167080673693089,0.112923584115045,0.030284657153192313,ESTIMABLE
E81_r1_p50,formal_manifest,all_explicit_train_conditions,native_euclidean_distance,77,77,0,0,62,0.3937409857189216,2.7767181179976466,0.6651106457084418,ESTIMABLE
E81_r1_p50,formal_manifest,all_explicit_train_conditions,predicted_magnitude_cpa,77,77,0,0,77,0.1723772138357162,0.3241785168647766,0.057677032242544404,ESTIMABLE
E81_r1_p50,formal_manifest,all_explicit_train_conditions,cpa_ridge_disagreement_rmse,77,77,0,0,77,0.1564236283302307,0.4591495096683502,0.07657615239517082,ESTIMABLE
E81_r1_p50,formal_manifest,official_gt30_train_conditions,native_cosine_distance,77,77,0,0,77,0.002167080673693089,0.112923584115045,0.030284657153192313,ESTIMABLE
E81_r1_p50,formal_manifest,official_gt30_train_conditions,native_euclidean_distance,77,77,0,0,62,0.3937409857189216,2.7767181179976466,0.6651106457084418,ESTIMABLE
E81_r1_p50,formal_manifest,official_gt30_train_conditions,predicted_magnitude_cpa,77,77,0,0,77,0.1723772138357162,0.3241785168647766,0.057677032242544404,ESTIMABLE
E81_r1_p50,formal_manifest,official_gt30_train_conditions,cpa_ridge_disagreement_rmse,77,77,0,0,77,0.1564236283302307,0.4591495096683502,0.07657615239517082,ESTIMABLE
E81_r1_p50,formal_manifest,perturbed_train_only,native_cosine_distance,77,77,0,0,77,0.002167080673693089,0.6931232805257939,0.3043413013968184,ESTIMABLE
E81_r1_p50,formal_manifest,perturbed_train_only,native_euclidean_distance,77,77,0,0,65,0.3945384514617965,7.179398109015441,2.692375703112773,ESTIMABLE
E81_r1_p50,formal_manifest,perturbed_train_only,predicted_magnitude_cpa,77,77,0,0,77,0.1723772138357162,0.3241785168647766,0.057677032242544404,ESTIMABLE
E81_r1_p50,formal_manifest,perturbed_train_only,cpa_ridge_disagreement_rmse,77,77,0,0,77,0.1564236283302307,0.4591495096683502,0.07657615239517082,ESTIMABLE
E81_r1_p75,development_adapter,all_explicit_train_conditions,native_cosine_distance,59,59,0,0,59,0.001515947157183728,0.08775733768216964,0.021944957254162095,ESTIMABLE
