phase,check,observed,expected,passed,detail
formal,git_head,dfed0154f5ba45df6613f6f22e734f8be336e870,dfed0154f5ba45df6613f6f22e734f8be336e870,True,
formal,git_branch,exp/task-risk-audit-20260611,non-empty,True,
formal,protocol_order,pearson;pearson_ctrl;pearson_pert;mse;wmse_exp2;rank;transpose_rank;energy_distance_pca_k=50;unbiased_mmd_median_pca_k=50;de_auprc;de_auroc;de_overlap_k=50,pearson;pearson_ctrl;pearson_pert;mse;wmse_exp2;rank;transpose_rank;energy_distance_pca_k=50;unbiased_mmd_median_pca_k=50;de_auprc;de_auroc;de_overlap_k=50,True,
formal,total_rows,1800,1800,True,
formal,no_model_predictions,calibration controls only,calibration controls only,True,
formal,no_sinkhorn,pearson;pearson_ctrl;pearson_pert;mse;wmse_exp2;rank;transpose_rank;energy_distance_pca_k=50;unbiased_mmd_median_pca_k=50;de_auprc;de_auroc;de_overlap_k=50,no sinkhorn,True,
formal,all_protocol_counts,True,True,True,
formal,raw_controls_no_infinity,True,True,True,
formal,drf_na_masks,True,True,True,
formal,independent_drf_max_delta,0.0,<=1e-12,True,
formal,official_aggregate_max_delta,0.0,<=1e-12,True,
formal,summary_protocol_count,12,12,True,
formal,selection_axis_count,5,5,True,
formal,selection_only_primary,mse;pearson_pert;rank;energy_distance_pca_k=50;de_auprc,selected entries are PRIMARY_ELIGIBLE or empty,True,
