predictor,baseline,n_tasks,predictor_mean_rmse,baseline_mean_rmse,task_win_rate,mean_delta,ci95_lower,ci95_upper,bootstrap_valid
gat,general_baseline,263,0.03666955589764384,0.04416950574332982,0.7642585551330798,-0.007499949845685969,-0.008976765932089079,-0.006045602674803393,5000
gat,batch_matched_control,263,0.03666955589764384,0.04664589603955336,0.7718631178707225,-0.009976340141909512,-0.011846376250198208,-0.008104949376942137,5000
exphormer,general_baseline,263,0.03555508750098968,0.04416950574332982,0.8859315589353612,-0.008614418242340136,-0.009758829478787335,-0.007524463541336602,5000
exphormer,batch_matched_control,263,0.03555508750098968,0.04664589603955336,0.8745247148288974,-0.011090808538563679,-0.012631667986475508,-0.009620688305126163,5000
exphormer_mg,general_baseline,263,0.03527845475638897,0.04416950574332982,0.9011406844106464,-0.008891050986940843,-0.010058822160876758,-0.007768513063725967,5000
exphormer_mg,batch_matched_control,263,0.03527845475638897,0.04664589603955336,0.870722433460076,-0.01136744128316439,-0.012998419067564453,-0.009873644609831582,5000
family_centroid,general_baseline,263,0.034858223320045956,0.04416950574332982,0.9011406844106464,-0.00931128242328386,-0.01047897577460558,-0.008165190001506232,5000
family_centroid,batch_matched_control,263,0.034858223320045956,0.04664589603955336,0.8517110266159695,-0.011787672719507404,-0.013375720269120856,-0.01023365408560117,5000
family_member_rms,general_baseline,263,0.03603629830043158,0.04416950574332982,0.8631178707224335,-0.008133207442898239,-0.009270049569363918,-0.007002552167909841,5000
family_member_rms,batch_matched_control,263,0.03603629830043158,0.04664589603955336,0.8250950570342205,-0.010609597739121783,-0.012158275832080628,-0.009021826992034077,5000
general_baseline,general_baseline,263,0.04416950574332982,0.04416950574332982,0.0,0.0,0.0,0.0,5000
general_baseline,batch_matched_control,263,0.04416950574332982,0.04664589603955336,0.6387832699619772,-0.002476390296223544,-0.003257208484989564,-0.0016917546411670606,5000
batch_matched_control,general_baseline,263,0.04664589603955336,0.04416950574332982,0.3612167300380228,0.002476390296223544,0.0017094982952693735,0.003258332385821866,5000
batch_matched_control,batch_matched_control,263,0.04664589603955336,0.04664589603955336,0.0,0.0,0.0,0.0,5000
