endpoint,baseline,n_tasks,task_win_rate,mean_delta,ci95_lower,ci95_upper,bootstrap_valid
mse,general_baseline,263,0.9011406844106464,-0.0007763099100277281,-0.0008911951478536575,-0.000660817589964254,5000
mse,batch_matched_control,263,0.8517110266159695,-0.0011437357609040374,-0.0013273787787777573,-0.0009757324577502495,5000
pearson_pert,general_baseline,263,0.9277566539923955,-0.551403658726148,-0.5916365181440818,-0.5103432171790009,5000
pearson_pert,batch_matched_control,263,0.8212927756653993,-0.45636313142825496,-0.513920601756138,-0.3996134079111493,5000
rank,general_baseline,263,0.8174904942965779,-0.29234028966998515,-0.33510942443328595,-0.2510663077235654,5000
rank,batch_matched_control,263,0.8326996197718631,-0.2993208138623632,-0.33749346936406116,-0.259933097262938,5000
energy_distance_pca_k=50,general_baseline,263,0.8288973384030418,-0.4902447040921558,-0.5676898865011986,-0.4125433044894523,5000
energy_distance_pca_k=50,batch_matched_control,263,0.6768060836501901,-0.5531715450764638,-0.6663545204209049,-0.4407811432657846,5000
de_auprc,general_baseline,263,0.9961977186311787,-0.21639481523731233,-0.23609739033026916,-0.19730061316229383,5000
de_auprc,batch_matched_control,263,0.7680608365019012,-0.13027230284623414,-0.15025541627755337,-0.10925769923389289,5000
