stage,predictor,endpoint,seconds
primary_ge30,ALL,prepare,10.191297637298703
primary_ge30,gat,mse,0.48156341444700956
primary_ge30,gat,pearson_pert,0.4113863129168749
primary_ge30,gat,rank,1.235789685510099
primary_ge30,gat,energy_distance_pca_k=50,0.7878844486549497
primary_ge30,gat,de_auprc,2.5546269696205854
primary_ge30,exphormer,mse,0.3821142381057143
primary_ge30,exphormer,pearson_pert,0.4044916024431586
primary_ge30,exphormer,rank,1.2179521536454558
primary_ge30,exphormer,energy_distance_pca_k=50,0.7679823525249958
primary_ge30,exphormer,de_auprc,1.4911675946787
primary_ge30,exphormer_mg,mse,0.41892517264932394
primary_ge30,exphormer_mg,pearson_pert,0.428109978325665
primary_ge30,exphormer_mg,rank,1.2435261132195592
primary_ge30,exphormer_mg,energy_distance_pca_k=50,0.775995540432632
primary_ge30,exphormer_mg,de_auprc,1.5534623125568032
primary_ge30,family_centroid,mse,0.42121466249227524
primary_ge30,family_centroid,pearson_pert,0.4323667483404279
primary_ge30,family_centroid,rank,1.2437471458688378
primary_ge30,family_centroid,energy_distance_pca_k=50,0.8361882977187634
primary_ge30,family_centroid,de_auprc,1.382724056020379
primary_ge30,general_baseline,mse,0.4087795466184616
primary_ge30,general_baseline,pearson_pert,0.3786688484251499
primary_ge30,general_baseline,rank,1.2322524832561612
primary_ge30,general_baseline,energy_distance_pca_k=50,0.7716265581548214
primary_ge30,general_baseline,de_auprc,1.4436429282650352
primary_ge30,batch_matched_control,mse,0.42885102704167366
primary_ge30,batch_matched_control,pearson_pert,0.4023893168196082
primary_ge30,batch_matched_control,rank,1.2294871713966131
primary_ge30,batch_matched_control,energy_distance_pca_k=50,0.7426927555352449
primary_ge30,batch_matched_control,de_auprc,1.514306966215372
sensitivity_10_29,ALL,prepare,10.110103202983737
sensitivity_10_29,gat,mse,0.47756364196538925
sensitivity_10_29,gat,pearson_pert,0.4699940290302038
sensitivity_10_29,gat,rank,1.2430528942495584
sensitivity_10_29,gat,energy_distance_pca_k=50,0.8271775459870696
sensitivity_10_29,gat,de_auprc,2.8445721650496125
sensitivity_10_29,exphormer,mse,0.45653654355555773
sensitivity_10_29,exphormer,pearson_pert,0.46715276036411524
sensitivity_10_29,exphormer,rank,1.236119370907545
sensitivity_10_29,exphormer,energy_distance_pca_k=50,0.8072925563901663
sensitivity_10_29,exphormer,de_auprc,1.6512141544371843
sensitivity_10_29,exphormer_mg,mse,0.48104933835566044
sensitivity_10_29,exphormer_mg,pearson_pert,0.43829992413520813
sensitivity_10_29,exphormer_mg,rank,1.2507578544318676
sensitivity_10_29,exphormer_mg,energy_distance_pca_k=50,0.8165112333372235
sensitivity_10_29,exphormer_mg,de_auprc,1.5180078316479921
sensitivity_10_29,family_centroid,mse,0.47724321112036705
sensitivity_10_29,family_centroid,pearson_pert,0.48086075112223625
sensitivity_10_29,family_centroid,rank,1.25682691950351
sensitivity_10_29,family_centroid,energy_distance_pca_k=50,0.8806154169142246
sensitivity_10_29,family_centroid,de_auprc,1.4428786877542734
sensitivity_10_29,general_baseline,mse,0.4727555178105831
sensitivity_10_29,general_baseline,pearson_pert,0.4248039312660694
sensitivity_10_29,general_baseline,rank,1.2423346787691116
sensitivity_10_29,general_baseline,energy_distance_pca_k=50,0.8149691009894013
sensitivity_10_29,general_baseline,de_auprc,1.5136636421084404
sensitivity_10_29,batch_matched_control,mse,0.47446946520358324
sensitivity_10_29,batch_matched_control,pearson_pert,0.44500817358493805
sensitivity_10_29,batch_matched_control,rank,1.2423391686752439
sensitivity_10_29,batch_matched_control,energy_distance_pca_k=50,0.8156730998307467
sensitivity_10_29,batch_matched_control,de_auprc,1.5887170201167464
