dataset_name,fold_id,calibration_method,inner_fold,n_train_rows,n_holdout_rows,n_train_tasks,n_holdout_tasks,task_overlap
CuiHacohen2023,0,isotonic,0,1336,668,668,334,0
CuiHacohen2023,0,isotonic,1,1336,668,668,334,0
CuiHacohen2023,0,isotonic,2,1336,668,668,334,0
CuiHacohen2023,0,natural_spline_df4,0,1336,668,668,334,0
CuiHacohen2023,0,natural_spline_df4,1,1336,668,668,334,0
CuiHacohen2023,0,natural_spline_df4,2,1336,668,668,334,0
CuiHacohen2023,1,isotonic,0,1336,668,668,334,0
CuiHacohen2023,1,isotonic,1,1336,668,668,334,0
CuiHacohen2023,1,isotonic,2,1336,668,668,334,0
CuiHacohen2023,1,natural_spline_df4,0,1336,668,668,334,0
CuiHacohen2023,1,natural_spline_df4,1,1336,668,668,334,0
CuiHacohen2023,1,natural_spline_df4,2,1336,668,668,334,0
CuiHacohen2023,2,isotonic,0,1336,670,668,335,0
CuiHacohen2023,2,isotonic,1,1338,668,669,334,0
CuiHacohen2023,2,isotonic,2,1338,668,669,334,0
CuiHacohen2023,2,natural_spline_df4,0,1336,670,668,335,0
CuiHacohen2023,2,natural_spline_df4,1,1338,668,669,334,0
CuiHacohen2023,2,natural_spline_df4,2,1338,668,669,334,0
CuiHacohen2023,3,isotonic,0,1336,670,668,335,0
CuiHacohen2023,3,isotonic,1,1338,668,669,334,0
CuiHacohen2023,3,isotonic,2,1338,668,669,334,0
CuiHacohen2023,3,natural_spline_df4,0,1336,670,668,335,0
CuiHacohen2023,3,natural_spline_df4,1,1338,668,669,334,0
CuiHacohen2023,3,natural_spline_df4,2,1338,668,669,334,0
CuiHacohen2023,4,isotonic,0,1336,668,668,334,0
CuiHacohen2023,4,isotonic,1,1336,668,668,334,0
CuiHacohen2023,4,isotonic,2,1336,668,668,334,0
CuiHacohen2023,4,natural_spline_df4,0,1336,668,668,334,0
CuiHacohen2023,4,natural_spline_df4,1,1336,668,668,334,0
CuiHacohen2023,4,natural_spline_df4,2,1336,668,668,334,0
Frangieh,0,isotonic,0,676,338,338,169,0
Frangieh,0,isotonic,1,676,338,338,169,0
Frangieh,0,isotonic,2,676,338,338,169,0
Frangieh,0,natural_spline_df4,0,676,338,338,169,0
Frangieh,0,natural_spline_df4,1,676,338,338,169,0
Frangieh,0,natural_spline_df4,2,676,338,338,169,0
Frangieh,1,isotonic,0,674,338,337,169,0
Frangieh,1,isotonic,1,674,338,337,169,0
Frangieh,1,isotonic,2,676,336,338,168,0
Frangieh,1,natural_spline_df4,0,674,338,337,169,0
Frangieh,1,natural_spline_df4,1,674,338,337,169,0
Frangieh,1,natural_spline_df4,2,676,336,338,168,0
Frangieh,2,isotonic,0,674,338,337,169,0
Frangieh,2,isotonic,1,674,338,337,169,0
Frangieh,2,isotonic,2,676,336,338,168,0
Frangieh,2,natural_spline_df4,0,674,338,337,169,0
Frangieh,2,natural_spline_df4,1,674,338,337,169,0
Frangieh,2,natural_spline_df4,2,676,336,338,168,0
Frangieh,3,isotonic,0,674,338,337,169,0
Frangieh,3,isotonic,1,674,338,337,169,0
Frangieh,3,isotonic,2,676,336,338,168,0
Frangieh,3,natural_spline_df4,0,674,338,337,169,0
Frangieh,3,natural_spline_df4,1,674,338,337,169,0
Frangieh,3,natural_spline_df4,2,676,336,338,168,0
Frangieh,4,isotonic,0,676,338,338,169,0
Frangieh,4,isotonic,1,676,338,338,169,0
Frangieh,4,isotonic,2,676,338,338,169,0
Frangieh,4,natural_spline_df4,0,676,338,338,169,0
Frangieh,4,natural_spline_df4,1,676,338,338,169,0
Frangieh,4,natural_spline_df4,2,676,338,338,169,0
LaraAstiasoHuntly2023_exvivo,0,isotonic,0,344,174,172,87,0
LaraAstiasoHuntly2023_exvivo,0,isotonic,1,346,172,173,86,0
LaraAstiasoHuntly2023_exvivo,0,isotonic,2,346,172,173,86,0
LaraAstiasoHuntly2023_exvivo,0,natural_spline_df4,0,344,174,172,87,0
LaraAstiasoHuntly2023_exvivo,0,natural_spline_df4,1,346,172,173,86,0
LaraAstiasoHuntly2023_exvivo,0,natural_spline_df4,2,346,172,173,86,0
LaraAstiasoHuntly2023_exvivo,1,isotonic,0,344,174,172,87,0
LaraAstiasoHuntly2023_exvivo,1,isotonic,1,346,172,173,86,0
LaraAstiasoHuntly2023_exvivo,1,isotonic,2,346,172,173,86,0
LaraAstiasoHuntly2023_exvivo,1,natural_spline_df4,0,344,174,172,87,0
LaraAstiasoHuntly2023_exvivo,1,natural_spline_df4,1,346,172,173,86,0
LaraAstiasoHuntly2023_exvivo,1,natural_spline_df4,2,346,172,173,86,0
LaraAstiasoHuntly2023_exvivo,2,isotonic,0,342,172,171,86,0
LaraAstiasoHuntly2023_exvivo,2,isotonic,1,342,172,171,86,0
LaraAstiasoHuntly2023_exvivo,2,isotonic,2,344,170,172,85,0
LaraAstiasoHuntly2023_exvivo,2,natural_spline_df4,0,342,172,171,86,0
LaraAstiasoHuntly2023_exvivo,2,natural_spline_df4,1,342,172,171,86,0
LaraAstiasoHuntly2023_exvivo,2,natural_spline_df4,2,344,170,172,85,0
LaraAstiasoHuntly2023_exvivo,3,isotonic,0,344,172,172,86,0
LaraAstiasoHuntly2023_exvivo,3,isotonic,1,344,172,172,86,0
