check,observed,expected,passed
n_tasks,580,580,True
task_keys_unique,580,580,True
primary_tasks_ge30,566,566,True
sensitivity_tasks_10_29,14,14,True
imputed_single_context_tasks,75,75,True
target_prediction_counts_match_prepare,580,580,True
train_cell_counts_match_prepare,580,580,True
train_context_counts_match_prepare,580,580,True
training_context_task_rows,1428,1428,True
guarded_reference_accesses,6,6,True
target_K562_perturbation_rows_opened,0,0,True
risk_values_finite,True,True,True
transfer_risk_identity_max_abs_residual,0.0,<1e-12,True
z_model_baseline_gap_mean_abs,1.3782078926381254e-16,<1e-12,True
z_model_baseline_gap_std_abs_delta,0.0,<1e-12,True
z_training_delta_dispersion_mean_abs,3.675221047035001e-16,<1e-12,True
z_training_delta_dispersion_std_abs_delta,0.0,<1e-12,True
z_negative_log_train_cells_mean_abs,5.727219464962876e-16,<1e-12,True
z_negative_log_train_cells_std_abs_delta,0.0,<1e-12,True
z_support_context_deficit_mean_abs,6.1253684117250015e-18,<1e-12,True
z_support_context_deficit_std_abs_delta,2.220446049250313e-16,<1e-12,True
