task_id,training_context,n_perturbed_cells,n_matched_batches,n_available_control_cells
AARS+ctrl,RPE1,56,35,11485
ABCE1+ctrl,RPE1,48,34,11485
ABCF1+ctrl,RPE1,82,45,11485
ABT1+ctrl,RPE1,24,17,11485
ACTB+ctrl,RPE1,232,54,11485
ACTR6+ctrl,RPE1,103,46,11485
AHCTF1+ctrl,RPE1,71,38,11485
AKIRIN2+ctrl,RPE1,29,22,11485
ALDOA+ctrl,RPE1,70,39,11485
ALG13+ctrl,RPE1,43,32,11485
ANAPC2+ctrl,RPE1,30,18,11485
ARGLU1+ctrl,RPE1,91,48,11485
ARL2+ctrl,RPE1,193,54,11485
ATP6V0B+ctrl,RPE1,101,47,11485
ATP6V1A+ctrl,RPE1,76,41,11485
ATR+ctrl,RPE1,158,52,11485
ATRIP+ctrl,RPE1,74,41,11485
BCAS2+ctrl,RPE1,33,26,11485
BDP1+ctrl,RPE1,42,32,11485
BGLAP+ctrl,RPE1,59,36,11485
BNIP1+ctrl,RPE1,57,36,11485
BRIX1+ctrl,RPE1,38,24,11485
CCDC59+ctrl,RPE1,44,32,11485
CCDC84+ctrl,RPE1,42,28,11485
CCNH+ctrl,RPE1,69,43,11485
CCNK+ctrl,RPE1,273,55,11485
CCT4+ctrl,RPE1,55,37,11485
CCT7+ctrl,RPE1,54,36,11485
CD3EAP+ctrl,RPE1,38,25,11485
CDC123+ctrl,RPE1,31,23,11485
CDC5L+ctrl,RPE1,66,44,11485
CDC6+ctrl,RPE1,78,40,11485
CDC73+ctrl,RPE1,56,38,11485
CENPE+ctrl,RPE1,34,27,11485
CENPK+ctrl,RPE1,70,40,11485
CEP192+ctrl,RPE1,53,31,11485
CHCHD4+ctrl,RPE1,136,51,11485
CHD4+ctrl,RPE1,109,44,11485
CHEK1+ctrl,RPE1,49,30,11485
CINP+ctrl,RPE1,40,27,11485
CKAP5+ctrl,RPE1,83,46,11485
CLNS1A+ctrl,RPE1,68,39,11485
CLP1+ctrl,RPE1,27,22,11485
CMTR1+ctrl,RPE1,80,41,11485
CNOT2+ctrl,RPE1,62,40,11485
CNOT3+ctrl,RPE1,54,37,11485
COPB1+ctrl,RPE1,15,13,11485
COPS2+ctrl,RPE1,41,27,11485
COPS4+ctrl,RPE1,42,33,11485
COX11+ctrl,RPE1,114,49,11485
CPSF1+ctrl,RPE1,50,35,11485
CPSF3+ctrl,RPE1,173,55,11485
CPSF4+ctrl,RPE1,32,22,11485
CPSF6+ctrl,RPE1,25,18,11485
CSE1L+ctrl,RPE1,252,56,11485
CSNK2B+ctrl,RPE1,68,36,11485
CSTF3+ctrl,RPE1,58,36,11485
CTR9+ctrl,RPE1,38,26,11485
CUL2+ctrl,RPE1,29,24,11485
CUL7+ctrl,RPE1,36,27,11485
CWC15+ctrl,RPE1,57,36,11485
CWF19L2+ctrl,RPE1,58,35,11485
CXXC1+ctrl,RPE1,92,43,11485
DAD1+ctrl,RPE1,36,25,11485
DARS+ctrl,RPE1,30,25,11485
DDB1+ctrl,RPE1,74,40,11485
DDX10+ctrl,RPE1,32,26,11485
DDX23+ctrl,RPE1,168,50,11485
DDX41+ctrl,RPE1,30,28,11485
DDX46+ctrl,RPE1,95,43,11485
DDX47+ctrl,RPE1,93,45,11485
DDX5+ctrl,RPE1,196,55,11485
DDX52+ctrl,RPE1,34,21,11485
DDX55+ctrl,RPE1,76,38,11485
DDX59+ctrl,RPE1,46,34,11485
DENR+ctrl,RPE1,77,37,11485
DHX16+ctrl,RPE1,71,40,11485
DHX33+ctrl,RPE1,44,29,11485
DHX36+ctrl,RPE1,71,42,11485
DHX37+ctrl,RPE1,40,25,11485
DKC1+ctrl,RPE1,23,20,11485
DLD+ctrl,RPE1,71,37,11485
DMAP1+ctrl,RPE1,43,30,11485
DNAJC17+ctrl,RPE1,73,41,11485
DNAJC8+ctrl,RPE1,138,50,11485
DNMT1+ctrl,RPE1,102,44,11485
DR1+ctrl,RPE1,37,28,11485
DSN1+ctrl,RPE1,38,28,11485
DTL+ctrl,RPE1,47,34,11485
DUT+ctrl,RPE1,46,32,11485
DYNC1H1+ctrl,RPE1,29,24,11485
DYNC1I2+ctrl,RPE1,52,33,11485
EBNA1BP2+ctrl,RPE1,32,25,11485
ECD+ctrl,RPE1,48,35,11485
EEF2+ctrl,RPE1,70,39,11485
EIF1AX+ctrl,RPE1,52,32,11485
EIF2B1+ctrl,RPE1,100,44,11485
EIF2B5+ctrl,RPE1,114,48,11485
EIF2S1+ctrl,RPE1,75,42,11485
EIF2S2+ctrl,RPE1,30,26,11485
EIF2S3+ctrl,RPE1,62,38,11485
EIF3B+ctrl,RPE1,109,45,11485
EIF3CL+ctrl,RPE1,337,56,11485
EIF3D+ctrl,RPE1,49,33,11485
EIF3E+ctrl,RPE1,46,33,11485
EIF3I+ctrl,RPE1,72,40,11485
EIF3J+ctrl,RPE1,64,41,11485
EIF3M+ctrl,RPE1,63,36,11485
EIF4E+ctrl,RPE1,65,38,11485
EIF4G2+ctrl,RPE1,150,50,11485
EIF6+ctrl,RPE1,57,32,11485
ERCC2+ctrl,RPE1,94,41,11485
ETF1+ctrl,RPE1,84,44,11485
EXOC7+ctrl,RPE1,32,21,11485
EXOSC2+ctrl,RPE1,42,30,11485
EXOSC3+ctrl,RPE1,54,34,11485
EXOSC7+ctrl,RPE1,43,27,11485
FAM136A+ctrl,RPE1,504,56,11485
FAM32A+ctrl,RPE1,44,33,11485
FARSA+ctrl,RPE1,57,35,11485
FTSJ3+ctrl,RPE1,41,29,11485
GARS+ctrl,RPE1,99,43,11485
GBF1+ctrl,RPE1,93,47,11485
GFER+ctrl,RPE1,67,39,11485
GFM1+ctrl,RPE1,1669,56,11485
GINS2+ctrl,RPE1,57,32,11485
GLE1+ctrl,RPE1,81,42,11485
GNL3+ctrl,RPE1,34,26,11485
GPN2+ctrl,RPE1,37,25,11485
GPN3+ctrl,RPE1,34,28,11485
GRB2+ctrl,RPE1,112,48,11485
GRSF1+ctrl,RPE1,122,49,11485
GTF2E1+ctrl,RPE1,46,33,11485
GTF2F2+ctrl,RPE1,55,34,11485
HAUS5+ctrl,RPE1,90,46,11485
HBS1L+ctrl,RPE1,45,30,11485
