check,observed,expected,passed,detail
freeze_exists,True,True,True,
adapter_exists,True,True,True,
txpert_commit,08d82eea86746b044cf7531f4ec8c5f60e1cb73f,08d82eea86746b044cf7531f4ec8c5f60e1cb73f,True,
txpert_clean,CLEAN,CLEAN,True,
scperteval_commit,8709eb07a0e7d4ecf1c60c977f2018690a749975,8709eb07a0e7d4ecf1c60c977f2018690a749975,True,
scperteval_clean,CLEAN,CLEAN,True,
input_exists:K562_cross_cell_lines.zip,True,True,True,
input_bytes:K562_cross_cell_lines.zip,1750726245,1750726245,True,
input_sha:K562_cross_cell_lines.zip,c6aef01cb1adb40be9060850a0e660a7a369b35b33bdc3a4b44fb753449183f1,c6aef01cb1adb40be9060850a0e660a7a369b35b33bdc3a4b44fb753449183f1,True,
input_exists:de_adata_test.h5ad,True,True,True,
input_bytes:de_adata_test.h5ad,7767053064,7767053064,True,
input_sha:de_adata_test.h5ad,1b557390148eba358304e43e0b239538d9ae0691b26ec843f41cf544960307a8,1b557390148eba358304e43e0b239538d9ae0691b26ec843f41cf544960307a8,True,
input_exists:train_test_split.pkl,True,True,True,
input_bytes:train_test_split.pkl,31629,31629,True,
input_sha:train_test_split.pkl,c922dc62ee4263951ec6a45e6e8cfc51e4104d5e1b0704eefd46848acddba402,c922dc62ee4263951ec6a45e6e8cfc51e4104d5e1b0704eefd46848acddba402,True,
input_exists:subgroup.pkl,True,True,True,
input_bytes:subgroup.pkl,14436,14436,True,
input_sha:subgroup.pkl,3d0a2f92fdad7809e5e13f4931c0a7eca49e360fd83a25a3b8ca90ec6ebe9e8b,3d0a2f92fdad7809e5e13f4931c0a7eca49e360fd83a25a3b8ca90ec6ebe9e8b,True,
input_exists:K562_unseen_cell_gat.ckpt,True,True,True,
input_bytes:K562_unseen_cell_gat.ckpt,49748832,49748832,True,
input_sha:K562_unseen_cell_gat.ckpt,22994e5097255f75fc4196bddea8e8227dd4c110694a7794f066e041fbf42763,22994e5097255f75fc4196bddea8e8227dd4c110694a7794f066e041fbf42763,True,
archive_integrity,PASS,PASS,True,
archive_member:K562_cross_cell_lines/de_adata_test.h5ad,True,True,True,
archive_member:K562_cross_cell_lines/splits/train_test_split.pkl,True,True,True,
archive_member:K562_cross_cell_lines/splits/subgroup.pkl,True,True,True,
dataset_shape,"(632488, 3352)","(632488, 3352)",True,
target_K562_controls,10691,10691,True,
category:strict_context_only_train_seen,"(580, 80153, 566, 14)","(580, 80153, 566, 14)",True,
category:validation_only,"(202, 28023, 199, 3)","(202, 28023, 199, 3)",True,
category:neither_train_nor_validation,"(33, 3838, 32, 1)","(33, 3838, 32, 1)",True,
category:unseen_context_and_perturbation,"(272, 38458, 266, 6)","(272, 38458, 266, 6)",True,
official_unseen_cell_partition,815,815,True,
subgroups_disjoint,0,0,True,
strict_actual_train_support,580,580,True,
strict_support_context_distribution,"{1: 75, 2: 162, 3: 343}","{1: 75, 2: 162, 3: 343}",True,
static:truth_only_saved,True,True,True,
static:sample_excludes_truth,True,True,True,
static:forward_excludes_truth,True,True,True,
