scope,stratum,predictor,outcome,n_tasks,spearman,inference
pooled,sensitivity_10_29,safeconf_e201_risk,family_rms_error,200,0.3692867321683043,descriptive_point_only
pooled,sensitivity_10_29,safeconf_e201_risk,family_centroid_rmse,200,0.36596864921623046,descriptive_point_only
pooled,sensitivity_10_29,safeconf_e201_risk,worst_seed_error,200,0.37702092552313815,descriptive_point_only
pooled,sensitivity_10_29,predicted_magnitude,family_rms_error,200,0.653710342758569,descriptive_point_only
pooled,sensitivity_10_29,predicted_magnitude,family_centroid_rmse,200,0.6521008025200632,descriptive_point_only
pooled,sensitivity_10_29,predicted_magnitude,worst_seed_error,200,0.6557623940598515,descriptive_point_only
pooled,sensitivity_10_29,family_disagreement,family_rms_error,200,0.11160579014475365,descriptive_point_only
pooled,sensitivity_10_29,family_disagreement,family_centroid_rmse,200,0.10506262656566416,descriptive_point_only
pooled,sensitivity_10_29,family_disagreement,worst_seed_error,200,0.12321608040201006,descriptive_point_only
pooled,sensitivity_10_29,family_radius,family_rms_error,200,0.10571514287857199,descriptive_point_only
pooled,sensitivity_10_29,family_radius,family_centroid_rmse,200,0.09946448661216531,descriptive_point_only
pooled,sensitivity_10_29,family_radius,worst_seed_error,200,0.11815045376134405,descriptive_point_only
pooled,sensitivity_10_29,model_source_gap,family_rms_error,200,0.3161989049726243,descriptive_point_only
pooled,sensitivity_10_29,model_source_gap,family_centroid_rmse,200,0.3155193879846997,descriptive_point_only
pooled,sensitivity_10_29,model_source_gap,worst_seed_error,200,0.3187594689867247,descriptive_point_only
pooled,sensitivity_10_29,source_delta_dispersion,family_rms_error,200,0.4564364713582838,descriptive_point_only
pooled,sensitivity_10_29,source_delta_dispersion,family_centroid_rmse,200,0.4548928928282093,descriptive_point_only
pooled,sensitivity_10_29,source_delta_dispersion,worst_seed_error,200,0.45759603035123575,descriptive_point_only
pooled,sensitivity_10_29,negative_log_source_cells,family_rms_error,200,0.03752646215281779,descriptive_point_only
pooled,sensitivity_10_29,negative_log_source_cells,family_centroid_rmse,200,0.034393569213911075,descriptive_point_only
pooled,sensitivity_10_29,negative_log_source_cells,worst_seed_error,200,0.04637386581749188,descriptive_point_only
pooled,sensitivity_10_29,support_context_deficit,family_rms_error,200,0.04293892447831733,descriptive_point_only
pooled,sensitivity_10_29,support_context_deficit,family_centroid_rmse,200,0.042363234016862684,descriptive_point_only
