task_id,target,condition,n_source_contexts,n_source_cells,weight_sum,target_perturbed_expression_rows_opened
K562::AAMP+ctrl,K562,AAMP+ctrl,1,39,39,0
K562::AARS+ctrl,K562,AARS+ctrl,3,161,161,0
K562::ABCE1+ctrl,K562,ABCE1+ctrl,3,112,112,0
K562::ABCF1+ctrl,K562,ABCF1+ctrl,3,239,239,0
K562::ABT1+ctrl,K562,ABT1+ctrl,3,275,275,0
K562::ACTB+ctrl,K562,ACTB+ctrl,3,400,400,0
K562::ACTR6+ctrl,K562,ACTR6+ctrl,3,254,254,0
K562::AHCTF1+ctrl,K562,AHCTF1+ctrl,3,144,144,0
K562::AKIRIN2+ctrl,K562,AKIRIN2+ctrl,3,167,167,0
K562::ALDOA+ctrl,K562,ALDOA+ctrl,2,145,145,0
K562::ALG13+ctrl,K562,ALG13+ctrl,3,171,171,0
K562::ANAPC2+ctrl,K562,ANAPC2+ctrl,1,30,30,0
K562::AP2S1+ctrl,K562,AP2S1+ctrl,1,23,23,0
K562::ARGLU1+ctrl,K562,ARGLU1+ctrl,3,181,181,0
K562::ARL2+ctrl,K562,ARL2+ctrl,3,306,306,0
K562::ATF4+ctrl,K562,ATF4+ctrl,1,41,41,0
K562::ATP6V0B+ctrl,K562,ATP6V0B+ctrl,3,179,179,0
K562::ATP6V1A+ctrl,K562,ATP6V1A+ctrl,3,145,145,0
K562::ATR+ctrl,K562,ATR+ctrl,3,373,373,0
K562::ATRIP+ctrl,K562,ATRIP+ctrl,3,166,166,0
K562::BCAS2+ctrl,K562,BCAS2+ctrl,1,33,33,0
K562::BDP1+ctrl,K562,BDP1+ctrl,3,116,116,0
K562::BGLAP+ctrl,K562,BGLAP+ctrl,1,59,59,0
K562::BNIP1+ctrl,K562,BNIP1+ctrl,2,166,166,0
K562::BRD8+ctrl,K562,BRD8+ctrl,1,53,53,0
K562::BRIX1+ctrl,K562,BRIX1+ctrl,3,253,253,0
K562::BUB3+ctrl,K562,BUB3+ctrl,2,35,35,0
K562::BYSL+ctrl,K562,BYSL+ctrl,2,141,141,0
K562::CCDC59+ctrl,K562,CCDC59+ctrl,3,331,331,0
K562::CCDC84+ctrl,K562,CCDC84+ctrl,2,97,97,0
K562::CCNH+ctrl,K562,CCNH+ctrl,3,377,377,0
K562::CCNK+ctrl,K562,CCNK+ctrl,1,273,273,0
K562::CCT4+ctrl,K562,CCT4+ctrl,3,182,182,0
K562::CCT7+ctrl,K562,CCT7+ctrl,3,192,192,0
K562::CD3EAP+ctrl,K562,CD3EAP+ctrl,3,298,298,0
K562::CDC5L+ctrl,K562,CDC5L+ctrl,3,112,112,0
K562::CDC6+ctrl,K562,CDC6+ctrl,2,144,144,0
K562::CDC73+ctrl,K562,CDC73+ctrl,3,132,132,0
K562::CDC123+ctrl,K562,CDC123+ctrl,3,114,114,0
K562::CENPE+ctrl,K562,CENPE+ctrl,1,34,34,0
K562::CENPK+ctrl,K562,CENPK+ctrl,2,97,97,0
K562::CEP192+ctrl,K562,CEP192+ctrl,3,106,106,0
K562::CHCHD4+ctrl,K562,CHCHD4+ctrl,3,354,354,0
K562::CHD4+ctrl,K562,CHD4+ctrl,3,203,203,0
K562::CHEK1+ctrl,K562,CHEK1+ctrl,3,127,127,0
K562::CHMP1A+ctrl,K562,CHMP1A+ctrl,1,40,40,0
K562::CHMP2A+ctrl,K562,CHMP2A+ctrl,1,21,21,0
K562::CINP+ctrl,K562,CINP+ctrl,2,101,101,0
K562::CKAP5+ctrl,K562,CKAP5+ctrl,1,83,83,0
K562::CLNS1A+ctrl,K562,CLNS1A+ctrl,2,124,124,0
K562::CLP1+ctrl,K562,CLP1+ctrl,2,52,52,0
K562::CMTR1+ctrl,K562,CMTR1+ctrl,3,222,222,0
K562::CNOT2+ctrl,K562,CNOT2+ctrl,3,241,241,0
K562::CNOT3+ctrl,K562,CNOT3+ctrl,2,208,208,0
K562::COPB1+ctrl,K562,COPB1+ctrl,2,34,34,0
K562::COPS2+ctrl,K562,COPS2+ctrl,3,166,166,0
K562::COPS4+ctrl,K562,COPS4+ctrl,3,173,173,0
K562::COX7C+ctrl,K562,COX7C+ctrl,2,146,146,0
K562::COX11+ctrl,K562,COX11+ctrl,3,445,445,0
K562::COX17+ctrl,K562,COX17+ctrl,1,71,71,0
K562::CPSF1+ctrl,K562,CPSF1+ctrl,3,229,229,0
K562::CPSF3+ctrl,K562,CPSF3+ctrl,3,699,699,0
K562::CPSF4+ctrl,K562,CPSF4+ctrl,3,203,203,0
K562::CPSF6+ctrl,K562,CPSF6+ctrl,3,106,106,0
K562::CSE1L+ctrl,K562,CSE1L+ctrl,3,507,507,0
K562::CSNK1A1+ctrl,K562,CSNK1A1+ctrl,2,109,109,0
K562::CSNK2B+ctrl,K562,CSNK2B+ctrl,3,295,295,0
K562::CSTF3+ctrl,K562,CSTF3+ctrl,3,174,174,0
K562::CTR9+ctrl,K562,CTR9+ctrl,1,38,38,0
K562::CUL2+ctrl,K562,CUL2+ctrl,3,201,201,0
K562::CUL7+ctrl,K562,CUL7+ctrl,2,89,89,0
K562::CWC15+ctrl,K562,CWC15+ctrl,3,127,127,0
K562::CWC22+ctrl,K562,CWC22+ctrl,1,31,31,0
K562::CWF19L2+ctrl,K562,CWF19L2+ctrl,3,183,183,0
K562::CXXC1+ctrl,K562,CXXC1+ctrl,2,241,241,0
K562::CYCS+ctrl,K562,CYCS+ctrl,1,71,71,0
K562::DAD1+ctrl,K562,DAD1+ctrl,2,108,108,0
K562::DAP3+ctrl,K562,DAP3+ctrl,2,147,147,0
K562::DARS+ctrl,K562,DARS+ctrl,3,101,101,0
K562::DDB1+ctrl,K562,DDB1+ctrl,3,218,218,0
K562::DDX5+ctrl,K562,DDX5+ctrl,3,437,437,0
K562::DDX10+ctrl,K562,DDX10+ctrl,3,245,245,0
K562::DDX18+ctrl,K562,DDX18+ctrl,2,140,140,0
K562::DDX23+ctrl,K562,DDX23+ctrl,3,367,367,0
K562::DDX41+ctrl,K562,DDX41+ctrl,2,61,61,0
K562::DDX46+ctrl,K562,DDX46+ctrl,3,297,297,0
K562::DDX47+ctrl,K562,DDX47+ctrl,1,93,93,0
K562::DDX52+ctrl,K562,DDX52+ctrl,3,339,339,0
K562::DDX55+ctrl,K562,DDX55+ctrl,3,595,595,0
K562::DDX59+ctrl,K562,DDX59+ctrl,2,90,90,0
K562::DENR+ctrl,K562,DENR+ctrl,3,176,176,0
K562::DHX16+ctrl,K562,DHX16+ctrl,3,220,220,0
K562::DHX33+ctrl,K562,DHX33+ctrl,3,187,187,0
K562::DHX36+ctrl,K562,DHX36+ctrl,3,216,216,0
K562::DHX37+ctrl,K562,DHX37+ctrl,3,290,290,0
K562::DIS3+ctrl,K562,DIS3+ctrl,1,49,49,0
K562::DKC1+ctrl,K562,DKC1+ctrl,3,153,153,0
K562::DLD+ctrl,K562,DLD+ctrl,3,216,216,0
K562::DMAP1+ctrl,K562,DMAP1+ctrl,3,100,100,0
