target,condition,source_context,n_source_perturbed_cells,n_source_batches,n_source_control_cells
K562,AARS+ctrl,RPE1,56,35,11485
K562,ABCE1+ctrl,RPE1,48,34,11485
K562,ABCF1+ctrl,RPE1,82,45,11485
K562,ABT1+ctrl,RPE1,24,17,11485
K562,ACTB+ctrl,RPE1,232,54,11485
K562,ACTR6+ctrl,RPE1,103,46,11485
K562,AHCTF1+ctrl,RPE1,71,38,11485
K562,AKIRIN2+ctrl,RPE1,29,22,11485
K562,ALDOA+ctrl,RPE1,70,39,11485
K562,ALG13+ctrl,RPE1,43,32,11485
K562,ANAPC2+ctrl,RPE1,30,18,11485
K562,ARGLU1+ctrl,RPE1,91,48,11485
K562,ARL2+ctrl,RPE1,193,54,11485
K562,ATP6V0B+ctrl,RPE1,101,47,11485
K562,ATP6V1A+ctrl,RPE1,76,41,11485
K562,ATR+ctrl,RPE1,158,52,11485
K562,ATRIP+ctrl,RPE1,74,41,11485
K562,BCAS2+ctrl,RPE1,33,26,11485
K562,BDP1+ctrl,RPE1,42,32,11485
K562,BGLAP+ctrl,RPE1,59,36,11485
K562,BNIP1+ctrl,RPE1,57,36,11485
K562,BRIX1+ctrl,RPE1,38,24,11485
K562,CCDC59+ctrl,RPE1,44,32,11485
K562,CCDC84+ctrl,RPE1,42,28,11485
K562,CCNH+ctrl,RPE1,69,43,11485
K562,CCNK+ctrl,RPE1,273,55,11485
K562,CCT4+ctrl,RPE1,55,37,11485
K562,CCT7+ctrl,RPE1,54,36,11485
K562,CD3EAP+ctrl,RPE1,38,25,11485
K562,CDC123+ctrl,RPE1,31,23,11485
K562,CDC5L+ctrl,RPE1,66,44,11485
K562,CDC6+ctrl,RPE1,78,40,11485
K562,CDC73+ctrl,RPE1,56,38,11485
K562,CENPE+ctrl,RPE1,34,27,11485
K562,CENPK+ctrl,RPE1,70,40,11485
K562,CEP192+ctrl,RPE1,53,31,11485
K562,CHCHD4+ctrl,RPE1,136,51,11485
K562,CHD4+ctrl,RPE1,109,44,11485
K562,CHEK1+ctrl,RPE1,49,30,11485
K562,CINP+ctrl,RPE1,40,27,11485
K562,CKAP5+ctrl,RPE1,83,46,11485
K562,CLNS1A+ctrl,RPE1,68,39,11485
K562,CLP1+ctrl,RPE1,27,22,11485
K562,CMTR1+ctrl,RPE1,80,41,11485
K562,CNOT2+ctrl,RPE1,62,40,11485
