scope,predictor,outcome,n_tasks,spearman
pooled,context_holdout_router,registered_family_rms_error,1808,0.6972508592375304
pooled,architecture_aware_router,registered_family_rms_error,1808,0.6840447663413431
pooled,historical_nonnegative_router,registered_family_rms_error,1808,0.67890391367622
pooled,certificate_priority_q80,registered_family_rms_error,1808,0.6153635545301007
pooled,registered_predicted_magnitude,registered_family_rms_error,1808,0.6102963133085172
pooled,registered_family_disagreement,registered_family_rms_error,1808,0.36342094445715917
K562,context_holdout_router,registered_family_rms_error,566,0.9088681768778085
K562,architecture_aware_router,registered_family_rms_error,566,0.8850358218896881
K562,historical_nonnegative_router,registered_family_rms_error,566,0.8761436531348031
K562,certificate_priority_q80,registered_family_rms_error,566,0.8080620036528599
K562,registered_predicted_magnitude,registered_family_rms_error,566,0.8934239086463984
K562,registered_family_disagreement,registered_family_rms_error,566,0.5804928201063162
RPE1,context_holdout_router,registered_family_rms_error,416,0.5808120507997139
RPE1,architecture_aware_router,registered_family_rms_error,416,0.5605820910048426
RPE1,historical_nonnegative_router,registered_family_rms_error,416,0.5571387375734261
RPE1,certificate_priority_q80,registered_family_rms_error,416,0.5312697941739287
RPE1,registered_predicted_magnitude,registered_family_rms_error,416,0.577669504803942
RPE1,registered_family_disagreement,registered_family_rms_error,416,0.2757242584060647
hepg2,context_holdout_router,registered_family_rms_error,405,0.7776381263345314
hepg2,architecture_aware_router,registered_family_rms_error,405,0.7685051919738315
hepg2,historical_nonnegative_router,registered_family_rms_error,405,0.7651321125544412
hepg2,certificate_priority_q80,registered_family_rms_error,405,0.7045342957941115
hepg2,registered_predicted_magnitude,registered_family_rms_error,405,0.7737720405866533
hepg2,registered_family_disagreement,registered_family_rms_error,405,0.3643651064613852
jurkat,context_holdout_router,registered_family_rms_error,421,0.7188296293277456
jurkat,architecture_aware_router,registered_family_rms_error,421,0.719891398829309
jurkat,historical_nonnegative_router,registered_family_rms_error,421,0.7154539036404609
jurkat,certificate_priority_q80,registered_family_rms_error,421,0.6487464961556213
jurkat,registered_predicted_magnitude,registered_family_rms_error,421,0.6980798209119409
jurkat,registered_family_disagreement,registered_family_rms_error,421,0.42025821101706795
