dataset,fold_id,train_fraction,setting,score,budget,n_tasks,spearman,review_utility
Cui_direct41,Cui_direct_context_holdout_1_Macrophage,0.25,context_and_perturbation_unseen,magnitude,0.050000000000000003,9,-0.033333333333333333,1
Cui_direct41,Cui_direct_context_holdout_1_Macrophage,0.25,context_and_perturbation_unseen,magnitude,0.10000000000000001,9,-0.033333333333333333,1
Cui_direct41,Cui_direct_context_holdout_1_Macrophage,0.25,context_and_perturbation_unseen,magnitude,0.20000000000000001,9,-0.033333333333333333,0.51159825484110832
Cui_direct41,Cui_direct_context_holdout_1_Macrophage,0.25,context_and_perturbation_unseen,magnitude,0.29999999999999999,9,-0.033333333333333333,0.4361295723053556
Cui_direct41,Cui_direct_context_holdout_1_Macrophage,0.25,context_and_perturbation_unseen,safeconf,0.050000000000000003,9,-0.25,-0.0096058724546619675
Cui_direct41,Cui_direct_context_holdout_1_Macrophage,0.25,context_and_perturbation_unseen,safeconf,0.10000000000000001,9,-0.25,-0.0096058724546619675
Cui_direct41,Cui_direct_context_holdout_1_Macrophage,0.25,context_and_perturbation_unseen,safeconf,0.20000000000000001,9,-0.25,-0.23776462655221031
Cui_direct41,Cui_direct_context_holdout_1_Macrophage,0.25,context_and_perturbation_unseen,safeconf,0.29999999999999999,9,-0.25,0.45231079693272941
Cui_direct41,Cui_direct_context_holdout_1_Macrophage,0.25,context_and_perturbation_unseen,disagreement,0.050000000000000003,9,-0.26666666666666666,-0.30292765312791448
Cui_direct41,Cui_direct_context_holdout_1_Macrophage,0.25,context_and_perturbation_unseen,disagreement,0.10000000000000001,9,-0.26666666666666666,-0.30292765312791448
Cui_direct41,Cui_direct_context_holdout_1_Macrophage,0.25,context_and_perturbation_unseen,disagreement,0.20000000000000001,9,-0.26666666666666666,-0.23776462655221031
Cui_direct41,Cui_direct_context_holdout_1_Macrophage,0.25,context_and_perturbation_unseen,disagreement,0.29999999999999999,9,-0.26666666666666666,-0.070465971193834021
Cui_direct41,Cui_direct_context_holdout_1_Macrophage,0.25,context_and_perturbation_unseen,safeconf_m,0.050000000000000003,9,-0.042197473628486103,1
Cui_direct41,Cui_direct_context_holdout_1_Macrophage,0.25,context_and_perturbation_unseen,safeconf_m,0.10000000000000001,9,-0.042197473628486103,1
Cui_direct41,Cui_direct_context_holdout_1_Macrophage,0.25,context_and_perturbation_unseen,safeconf_m,0.20000000000000001,9,-0.042197473628486103,0.63252781506513978
Cui_direct41,Cui_direct_context_holdout_1_Macrophage,0.25,context_and_perturbation_unseen,safeconf_m,0.29999999999999999,9,-0.042197473628486103,0.4361295723053556
Cui_direct41,Cui_direct_context_holdout_1_Macrophage,0.25,context_unseen_row,magnitude,0.050000000000000003,32,0.79618768328445744,0.83929235793506363
Cui_direct41,Cui_direct_context_holdout_1_Macrophage,0.25,context_unseen_row,magnitude,0.10000000000000001,32,0.79618768328445744,0.70928193876792645
Cui_direct41,Cui_direct_context_holdout_1_Macrophage,0.25,context_unseen_row,magnitude,0.20000000000000001,32,0.79618768328445744,0.96861895163326861
Cui_direct41,Cui_direct_context_holdout_1_Macrophage,0.25,context_unseen_row,magnitude,0.29999999999999999,32,0.79618768328445744,0.88907701691787422
Cui_direct41,Cui_direct_context_holdout_1_Macrophage,0.25,context_unseen_row,safeconf,0.050000000000000003,32,0.84604105571847499,0.83929235793506363
Cui_direct41,Cui_direct_context_holdout_1_Macrophage,0.25,context_unseen_row,safeconf,0.10000000000000001,32,0.84604105571847499,0.70928193876792645
Cui_direct41,Cui_direct_context_holdout_1_Macrophage,0.25,context_unseen_row,safeconf,0.20000000000000001,32,0.84604105571847499,0.96861895163326861
Cui_direct41,Cui_direct_context_holdout_1_Macrophage,0.25,context_unseen_row,safeconf,0.29999999999999999,32,0.84604105571847499,0.89612906658350866
Cui_direct41,Cui_direct_context_holdout_1_Macrophage,0.25,context_unseen_row,disagreement,0.050000000000000003,32,0.73826979472140764,0.83929235793506363
Cui_direct41,Cui_direct_context_holdout_1_Macrophage,0.25,context_unseen_row,disagreement,0.10000000000000001,32,0.73826979472140764,0.68041371913491455
Cui_direct41,Cui_direct_context_holdout_1_Macrophage,0.25,context_unseen_row,disagreement,0.20000000000000001,32,0.73826979472140764,0.94770459058747769
Cui_direct41,Cui_direct_context_holdout_1_Macrophage,0.25,context_unseen_row,disagreement,0.29999999999999999,32,0.73826979472140764,0.82446307234572336
Cui_direct41,Cui_direct_context_holdout_1_Macrophage,0.25,context_unseen_row,safeconf_m,0.050000000000000003,32,0.81594868465427384,0.83929235793506363
Cui_direct41,Cui_direct_context_holdout_1_Macrophage,0.25,context_unseen_row,safeconf_m,0.10000000000000001,32,0.81594868465427384,0.70928193876792645
Cui_direct41,Cui_direct_context_holdout_1_Macrophage,0.25,context_unseen_row,safeconf_m,0.20000000000000001,32,0.81594868465427384,0.96861895163326861
Cui_direct41,Cui_direct_context_holdout_1_Macrophage,0.25,context_unseen_row,safeconf_m,0.29999999999999999,32,0.81594868465427384,0.88907701691787422
Cui_direct41,Cui_direct_context_holdout_1_Macrophage,0.25,perturbation_unseen_column,magnitude,0.050000000000000003,45,0.12635046113306983,0.11492961324903293
