analysis,study,batch,n_tasks,n_clusters,partial_spearman,magnitude_matched_spearman,matched_bins_evaluable,safeconf_spearman,magnitude_spearman
E201_TxPert_whole_context,K562,K562,566,566,0.34748928518226929,0.36370945158201395,5,0.48032119623476455,0.89925796211170994
E201_TxPert_whole_context,RPE1,RPE1,416,416,0.14068289271689965,0.18043179893173844,5,0.28675865609643891,0.58253228742307361
E201_TxPert_whole_context,hepg2,hepg2,405,405,0.32589531956066875,0.35994128274616077,5,0.56329823458536332,0.77713920817369098
E201_TxPert_whole_context,jurkat,jurkat,421,421,0.31686427032850878,0.30290950787712118,5,0.44532973527581271,0.7094741700532472
E153_genetic_8study,Frangieh,Frangieh|frangieh_context_holdout_1_Co-culture,279,189,0.01666749046870801,-0.010322776638566122,5,0.072181701643293669,0.11016863928212271
E153_genetic_8study,Frangieh,Frangieh|frangieh_context_holdout_2_Control,279,189,0.39732886039625881,0.40536948431685282,5,0.44200897346638818,0.21103835825348938
E153_genetic_8study,Frangieh,Frangieh|frangieh_context_holdout_3_IFNγ,279,189,0.2479832117914843,0.26931906489848217,5,0.24482850562956407,0.12323763109328206
E153_genetic_8study,Lara_exvivo,Lara_exvivo|Lara_exvivo_context_holdout_1_EBMP,69,31,0.38963871770454156,0.24483516483516482,5,0.44241870661308008,0.24965290464011697
E153_genetic_8study,Lara_exvivo,Lara_exvivo|Lara_exvivo_context_holdout_2_GMP,69,31,0.12524108799084027,0.058681318681318692,5,0.052831567409572538,-0.0046401169163317506
E153_genetic_8study,Lara_exvivo,Lara_exvivo|Lara_exvivo_context_holdout_3_GMP_(late),69,31,0.46930798983433608,0.40791208791208788,5,0.47025940811107053,0.2491779320423822
E153_genetic_8study,Lara_exvivo,Lara_exvivo|Lara_exvivo_context_holdout_4_HSC,69,31,0.57415962341104121,0.16241758241758245,5,0.5102667153818049,0.0082206795761782976
E153_genetic_8study,Lara_exvivo,Lara_exvivo|Lara_exvivo_context_holdout_5_MkP,69,31,0.41018628841861343,0.39824175824175823,5,0.45984654731457808,0.23511143587869934
E153_genetic_8study,Liang,Liang|Liang_context_holdout_1_DM2_1,68,18,0.45244795335935922,0.070109890109890105,5,0.45837309615604838,-0.0873382448371951
E153_genetic_8study,Liang,Liang|Liang_context_holdout_2_DM2_2,68,18,0.09168612444827276,0.030549450549450553,5,0.17440928350574492,0.15036072832767108
E153_genetic_8study,Liang,Liang|Liang_context_holdout_3_DM2_3,68,18,0.24773145894170426,0.36505494505494507,5,0.28564339428178792,0.14688704813528267
