dataset,replicate,formula,delta_spearman_vs_magnitude
Frangieh,0,one_sided_025,0.006494919341392041
Frangieh,0,setting_adaptive_lodo,0.018212757777610084
Frangieh,1,one_sided_025,0.010248103175589163
Frangieh,1,setting_adaptive_lodo,0.030185137420326386
Frangieh,2,one_sided_025,0.01724884253865505
Frangieh,2,setting_adaptive_lodo,0.032134692761303235
Frangieh,3,one_sided_025,0.012454653866323523
Frangieh,3,setting_adaptive_lodo,0.03358329994499165
Frangieh,4,one_sided_025,0.02018506526854924
Frangieh,4,setting_adaptive_lodo,0.032660917628826
Frangieh,5,one_sided_025,0.023116213815492948
Frangieh,5,setting_adaptive_lodo,0.04976462094650602
Frangieh,6,one_sided_025,0.016443931320699323
Frangieh,6,setting_adaptive_lodo,0.027752724393153266
Frangieh,7,one_sided_025,0.019146307797503148
Frangieh,7,setting_adaptive_lodo,0.04042134936850775
Frangieh,8,one_sided_025,0.013985485920375684
Frangieh,8,setting_adaptive_lodo,0.03198493698493193
Frangieh,9,one_sided_025,0.017978625437129664
Frangieh,9,setting_adaptive_lodo,0.031646146970168515
Frangieh,10,one_sided_025,0.012986776824413376
Frangieh,10,setting_adaptive_lodo,0.027086292451892174
Frangieh,11,one_sided_025,-0.0003786484701790993
Frangieh,11,setting_adaptive_lodo,0.00892529653639848
Frangieh,12,one_sided_025,0.01621414377375993
Frangieh,12,setting_adaptive_lodo,0.03150477166072754
Frangieh,13,one_sided_025,0.010779352656349328
Frangieh,13,setting_adaptive_lodo,0.016810237254045235
Frangieh,14,one_sided_025,0.01688268037058141
Frangieh,14,setting_adaptive_lodo,0.028474734455516293
Frangieh,15,one_sided_025,0.0023961343344376385
Frangieh,15,setting_adaptive_lodo,0.009718067098414801
Frangieh,16,one_sided_025,0.015395365929822116
Frangieh,16,setting_adaptive_lodo,0.02867430612971822
Frangieh,17,one_sided_025,0.016904618678931005
Frangieh,17,setting_adaptive_lodo,0.03469494318873809
Frangieh,18,one_sided_025,0.020192824023850364
Frangieh,18,setting_adaptive_lodo,0.04417035278577397
Frangieh,19,one_sided_025,0.018922510849447627
Frangieh,19,setting_adaptive_lodo,0.03478841793085746
Frangieh,20,one_sided_025,0.011427767468086714
Frangieh,20,setting_adaptive_lodo,0.023467809080852386
Frangieh,21,one_sided_025,0.013018768867802982
Frangieh,21,setting_adaptive_lodo,0.01588703886462539
Frangieh,22,one_sided_025,0.017643191561369412
Frangieh,22,setting_adaptive_lodo,0.0330161699983547
Frangieh,23,one_sided_025,0.018231864419490484
Frangieh,23,setting_adaptive_lodo,0.036298694788051866
Frangieh,24,one_sided_025,0.014956255357052556
Frangieh,24,setting_adaptive_lodo,0.024592669059517847
Frangieh,25,one_sided_025,0.01914603852618474
Frangieh,25,setting_adaptive_lodo,0.035391610315631206
Frangieh,26,one_sided_025,0.01424203295429724
Frangieh,26,setting_adaptive_lodo,0.023542553089304363
Frangieh,27,one_sided_025,0.024395598233067
Frangieh,27,setting_adaptive_lodo,0.04283793718114148
Frangieh,28,one_sided_025,0.016101808913693116
Frangieh,28,setting_adaptive_lodo,0.030742966181959153
Frangieh,29,one_sided_025,0.011538809676781059
Frangieh,29,setting_adaptive_lodo,0.019049365756664854
Frangieh,30,one_sided_025,0.01667856004016055
Frangieh,30,setting_adaptive_lodo,0.03416401774502009
Frangieh,31,one_sided_025,0.023221693327265397
Frangieh,31,setting_adaptive_lodo,0.03818205281360426
Frangieh,32,one_sided_025,0.01981163034427147
Frangieh,32,setting_adaptive_lodo,0.026670679579011453
Frangieh,33,one_sided_025,0.013591500255018846
Frangieh,33,setting_adaptive_lodo,0.03289628752277127
Frangieh,34,one_sided_025,0.020933795508668224
Frangieh,34,setting_adaptive_lodo,0.04101743220247994
Frangieh,35,one_sided_025,0.01364094163699367
Frangieh,35,setting_adaptive_lodo,0.021986549412927964
Frangieh,36,one_sided_025,0.007253576189124478
Frangieh,36,setting_adaptive_lodo,0.021251647317754724
Frangieh,37,one_sided_025,0.01746204507403229
Frangieh,37,setting_adaptive_lodo,0.03684820080102727
Frangieh,38,one_sided_025,0.008042275032487334
Frangieh,38,setting_adaptive_lodo,0.01974894047947258
Frangieh,39,one_sided_025,0.008788256110456777
Frangieh,39,setting_adaptive_lodo,0.02970776649476839
Frangieh,40,one_sided_025,0.019092374923978875
Frangieh,40,setting_adaptive_lodo,0.03781055094984005
Frangieh,41,one_sided_025,0.0017568830920269563
Frangieh,41,setting_adaptive_lodo,0.020138306692688318
Frangieh,42,one_sided_025,0.015931901092652287
Frangieh,42,setting_adaptive_lodo,0.028864630646692244
Frangieh,43,one_sided_025,0.014722666102609638
Frangieh,43,setting_adaptive_lodo,0.027590849086061187
Frangieh,44,one_sided_025,0.017212326055845578
Frangieh,44,setting_adaptive_lodo,0.03765302927535574
Frangieh,45,one_sided_025,0.016233636469871415
Frangieh,45,setting_adaptive_lodo,0.029694249829498337
Frangieh,46,one_sided_025,0.015174702919704602
Frangieh,46,setting_adaptive_lodo,0.040591141735634884
Frangieh,47,one_sided_025,0.013044202780914338
Frangieh,47,setting_adaptive_lodo,0.02225565880646499
Frangieh,48,one_sided_025,0.0037858919492940457
Frangieh,48,setting_adaptive_lodo,0.019134789184962586
Frangieh,49,one_sided_025,0.015340372996714507
Frangieh,49,setting_adaptive_lodo,0.03357281975719861
Frangieh,50,one_sided_025,0.016540844569896962
Frangieh,50,setting_adaptive_lodo,0.03530938812267054
Frangieh,51,one_sided_025,0.010800502180580374
Frangieh,51,setting_adaptive_lodo,0.021312131381006377
Frangieh,52,one_sided_025,0.017756079019530108
Frangieh,52,setting_adaptive_lodo,0.02622869658033114
Frangieh,53,one_sided_025,0.017088568599673115
Frangieh,53,setting_adaptive_lodo,0.03371748124761448
Frangieh,54,one_sided_025,0.015026039092300297
Frangieh,54,setting_adaptive_lodo,0.03508457239810796
Frangieh,55,one_sided_025,0.009864889882633454
Frangieh,55,setting_adaptive_lodo,0.021953281446294284
Frangieh,56,one_sided_025,0.01097164030316733
Frangieh,56,setting_adaptive_lodo,0.018231797323341237
Frangieh,57,one_sided_025,0.010390721904450242
Frangieh,57,setting_adaptive_lodo,0.02790729856575956
Frangieh,58,one_sided_025,0.016183036777664278
Frangieh,58,setting_adaptive_lodo,0.03751782059771824
Frangieh,59,one_sided_025,0.013943268346510884
Frangieh,59,setting_adaptive_lodo,0.03131849617692731
Frangieh,60,one_sided_025,0.01479730652923679
Frangieh,60,setting_adaptive_lodo,0.025867331662368834
Frangieh,61,one_sided_025,0.016579251633976916
Frangieh,61,setting_adaptive_lodo,0.028613599057144085
Frangieh,62,one_sided_025,0.022664219119135354
Frangieh,62,setting_adaptive_lodo,0.03385200721400561
Frangieh,63,one_sided_025,0.01469927316192346
Frangieh,63,setting_adaptive_lodo,0.02237172340961721
Frangieh,64,one_sided_025,0.025782177051959898
Frangieh,64,setting_adaptive_lodo,0.054519577649181
Frangieh,65,one_sided_025,0.01930400830531845
Frangieh,65,setting_adaptive_lodo,0.03969530279647099
Frangieh,66,one_sided_025,0.024393582921255666
Frangieh,66,setting_adaptive_lodo,0.0521570817066266
Frangieh,67,one_sided_025,0.013871564018855642
Frangieh,67,setting_adaptive_lodo,0.025381736727974183
Frangieh,68,one_sided_025,0.0075974946660336
Frangieh,68,setting_adaptive_lodo,0.00948569811098228
Frangieh,69,one_sided_025,0.014095715226131983
Frangieh,69,setting_adaptive_lodo,0.033796512432230724
Frangieh,70,one_sided_025,0.017598920300158555
Frangieh,70,setting_adaptive_lodo,0.03714312024762345
Frangieh,71,one_sided_025,0.009599394894259566
Frangieh,71,setting_adaptive_lodo,0.029918782328864565
Frangieh,72,one_sided_025,0.010475176295466349
Frangieh,72,setting_adaptive_lodo,0.01827345764607241
Frangieh,73,one_sided_025,0.016165769518737216
Frangieh,73,setting_adaptive_lodo,0.03493681627057707
Frangieh,74,one_sided_025,0.010002626607135495
Frangieh,74,setting_adaptive_lodo,0.015244999613914068
Frangieh,75,one_sided_025,0.012725822152181376
Frangieh,75,setting_adaptive_lodo,0.023628116937057242
Frangieh,76,one_sided_025,0.021040501279502646
Frangieh,76,setting_adaptive_lodo,0.03576713363145638
Frangieh,77,one_sided_025,0.010219688421200718
Frangieh,77,setting_adaptive_lodo,0.021658444382455705
Frangieh,78,one_sided_025,0.029586055677856687
Frangieh,78,setting_adaptive_lodo,0.0506950754070776
Frangieh,79,one_sided_025,0.009060989152606003
Frangieh,79,setting_adaptive_lodo,0.021290688279872044
Frangieh,80,one_sided_025,0.011771369564457346
Frangieh,80,setting_adaptive_lodo,0.0236326064538859
Frangieh,81,one_sided_025,0.0065346180004456356
Frangieh,81,setting_adaptive_lodo,0.012586461090964507
Frangieh,82,one_sided_025,0.0107197920060286
Frangieh,82,setting_adaptive_lodo,0.01952829744660642
Frangieh,83,one_sided_025,0.02904621883033394
Frangieh,83,setting_adaptive_lodo,0.05116695139435452
Frangieh,84,one_sided_025,0.01864756117892774
Frangieh,84,setting_adaptive_lodo,0.039535169392412695
Frangieh,85,one_sided_025,0.01042151187795895
Frangieh,85,setting_adaptive_lodo,0.02021818973607295
Frangieh,86,one_sided_025,0.018739054625540888
Frangieh,86,setting_adaptive_lodo,0.029950398719300678
Frangieh,87,one_sided_025,0.008164245927591518
Frangieh,87,setting_adaptive_lodo,0.03207864735943086
Frangieh,88,one_sided_025,0.020398791617557338
Frangieh,88,setting_adaptive_lodo,0.04108588823987827
Frangieh,89,one_sided_025,0.01977901963105297
Frangieh,89,setting_adaptive_lodo,0.03835714577420321
Frangieh,90,one_sided_025,0.022928487300557604
Frangieh,90,setting_adaptive_lodo,0.04644350448574423
Frangieh,91,one_sided_025,0.018826837425785933
Frangieh,91,setting_adaptive_lodo,0.040707460949590976
Frangieh,92,one_sided_025,0.018822673464761394
Frangieh,92,setting_adaptive_lodo,0.03324189487948069
Frangieh,93,one_sided_025,0.023010152349275448
Frangieh,93,setting_adaptive_lodo,0.04335930335743435
Frangieh,94,one_sided_025,0.02682188392293175
Frangieh,94,setting_adaptive_lodo,0.04293558990353255
Frangieh,95,one_sided_025,0.017014133066522524
Frangieh,95,setting_adaptive_lodo,0.033356880063754785
Frangieh,96,one_sided_025,0.009858957953613856
Frangieh,96,setting_adaptive_lodo,0.02069916602756733
Frangieh,97,one_sided_025,0.022444782600422514
Frangieh,97,setting_adaptive_lodo,0.03885070436069821
Frangieh,98,one_sided_025,0.016682971098187838
Frangieh,98,setting_adaptive_lodo,0.03727262048963423
Frangieh,99,one_sided_025,0.013312438691862716
Frangieh,99,setting_adaptive_lodo,0.026765884819485553
Frangieh,100,one_sided_025,0.014172532377450087
Frangieh,100,setting_adaptive_lodo,0.02866943985675291
Frangieh,101,one_sided_025,0.019626393995383573
Frangieh,101,setting_adaptive_lodo,0.03021203978023118
Frangieh,102,one_sided_025,0.0025554390184030773
Frangieh,102,setting_adaptive_lodo,0.01950964840488076
Frangieh,103,one_sided_025,0.031139393912277533
Frangieh,103,setting_adaptive_lodo,0.0648500960988606
Frangieh,104,one_sided_025,0.021790080755524216
Frangieh,104,setting_adaptive_lodo,0.04847105164480239
Frangieh,105,one_sided_025,0.01585349467402941
Frangieh,105,setting_adaptive_lodo,0.037185760828779446
Frangieh,106,one_sided_025,0.01914723333443577
Frangieh,106,setting_adaptive_lodo,0.0426881182134293
Frangieh,107,one_sided_025,0.01733350457328825
Frangieh,107,setting_adaptive_lodo,0.038837153303988556
Frangieh,108,one_sided_025,0.02575323210813711
Frangieh,108,setting_adaptive_lodo,0.04028308193266768
Frangieh,109,one_sided_025,0.021144947396662367
Frangieh,109,setting_adaptive_lodo,0.034840302041025895
Frangieh,110,one_sided_025,0.01888866657919798
Frangieh,110,setting_adaptive_lodo,0.042947550221074896
Frangieh,111,one_sided_025,0.011782149088296182
Frangieh,111,setting_adaptive_lodo,0.02016950030073321
Frangieh,112,one_sided_025,0.025609160766339095
Frangieh,112,setting_adaptive_lodo,0.049053630240297214
Frangieh,113,one_sided_025,0.00816127513597606
Frangieh,113,setting_adaptive_lodo,0.013243302656208766
Frangieh,114,one_sided_025,0.01282753495154082
