heldout_dataset,setting,alpha_magnitude,n_training_tasks,heldout_truth_used_for_selection
Frangieh,context_and_perturbation_unseen,0.7,297,False
Frangieh,context_unseen,0.6,1059,False
Frangieh,perturbation_unseen,1.0,940,False
Frangieh,random_pair,0.8,332,False
Lara_exvivo,context_and_perturbation_unseen,0.7,352,False
Lara_exvivo,context_unseen,0.6,1416,False
Lara_exvivo,perturbation_unseen,1.0,980,False
Lara_exvivo,random_pair,0.9,372,False
Liang,context_and_perturbation_unseen,0.7,342,False
Liang,context_unseen,0.6,1419,False
Liang,perturbation_unseen,1.0,760,False
Liang,random_pair,0.8,332,False
Nadig_two_cellline,context_and_perturbation_unseen,0.8,347,False
Nadig_two_cellline,context_unseen,0.6,1384,False
Nadig_two_cellline,perturbation_unseen,1.0,1080,False
Nadig_two_cellline,random_pair,0.8,398,False
Replogle_two_cellline,context_and_perturbation_unseen,0.7,335,False
Replogle_two_cellline,context_unseen,0.6,1332,False
Replogle_two_cellline,perturbation_unseen,1.0,1120,False
Replogle_two_cellline,random_pair,0.8,422,False
Santinha,context_and_perturbation_unseen,0.7,362,False
Santinha,context_unseen,0.6,1446,False
Santinha,perturbation_unseen,0.7,1020,False
Santinha,random_pair,0.8,382,False
Shifrut,context_and_perturbation_unseen,0.6,367,False
Shifrut,context_unseen,0.6,1476,False
Shifrut,perturbation_unseen,0.6,1060,False
Shifrut,random_pair,0.8,390,False
Tian_CRISPRi,context_and_perturbation_unseen,0.7,307,False
Tian_CRISPRi,context_unseen,0.6,1220,False
Tian_CRISPRi,perturbation_unseen,1.0,880,False
Tian_CRISPRi,random_pair,0.8,326,False
