dataset,formula,n_tasks,n_folds,spearman,top20_enrichment,top20_capture,magnitude_spearman,delta_spearman_vs_magnitude
Frangieh,fixed_80_20,837,3,0.18221442701615798,1.0906575947859218,0.3333333333333333,0.14814820954296465,0.03406621747319333
Frangieh,magnitude,837,3,0.14814820954296465,1.0967976686022978,0.30952380952380953,0.14814820954296465,0.0
Frangieh,magnitude_quintile_safeconf,837,3,0.17402110926621958,1.0967976686022978,0.30952380952380953,0.14814820954296465,0.025872899723254933
Frangieh,one_sided_025,837,3,0.16283722385182695,1.09268117986129,0.30357142857142855,0.14814820954296465,0.014689014308862297
Frangieh,safeconf,837,3,0.2530063935797485,1.0599570855752376,0.2797619047619047,0.14814820954296465,0.10485818403678387
Frangieh,setting_adaptive_lodo,837,3,0.17728441630846234,1.091141877339164,0.30357142857142855,0.14814820954296465,0.02913620676549769
Lara_exvivo,fixed_80_20,345,5,0.17976821727702547,1.1785221006215103,0.29999999999999993,0.14750456704420895,0.03226365023281652
Lara_exvivo,magnitude,345,5,0.14750456704420895,1.1832204433755933,0.29999999999999993,0.14750456704420895,0.0
Lara_exvivo,magnitude_quintile_safeconf,345,5,0.18635001826817682,1.1832204433755933,0.29999999999999993,0.14750456704420895,0.038845451223967875
Lara_exvivo,one_sided_025,345,5,0.15872565408068223,1.1785221006215103,0.29999999999999993,0.14750456704420895,0.011221087036473287
Lara_exvivo,safeconf,345,5,0.38712458896602103,1.2161221273676548,0.34285714285714286,0.14750456704420895,0.2396200219218121
Lara_exvivo,setting_adaptive_lodo,345,5,0.1873244897079197,1.1785221006215103,0.29999999999999993,0.14750456704420895,0.03981992266371076
Liang,fixed_80_20,612,9,0.08604202193857219,0.9994849443649623,0.16666666666666663,0.07419848752825814,0.01184353441031405
Liang,magnitude,612,9,0.07419848752825814,1.0035695042510768,0.1984126984126984,0.07419848752825814,0.0
Liang,magnitude_quintile_safeconf,612,9,0.10743830980687319,1.0035695042510768,0.1984126984126984,0.07419848752825814,0.03323982227861505
Liang,one_sided_025,612,9,0.07625781003797329,1.004796005165857,0.1984126984126984,0.07419848752825814,0.0020593225097151474
Liang,safeconf,612,9,0.21240226395970888,1.0273033368600506,0.20634920634920634,0.07419848752825814,0.13820377643145074
Liang,setting_adaptive_lodo,612,9,0.08814655956475927,1.008348697426163,0.1825396825396825,0.07419848752825814,0.013948072036501127
Nadig_two_cellline,fixed_80_20,256,2,0.4123847874291692,1.185996979415704,0.34615384615384615,0.4025790835011902,0.00980570392797897
Nadig_two_cellline,magnitude,256,2,0.4025790835011902,1.14421037935274,0.3076923076923077,0.4025790835011902,0.0
Nadig_two_cellline,magnitude_quintile_safeconf,256,2,0.3884350300492534,1.14421037935274,0.3076923076923077,0.4025790835011902,-0.014144053451936811
Nadig_two_cellline,one_sided_025,256,2,0.4126968149488034,1.1666011403076757,0.3269230769230769,0.4025790835011902,0.010117731447613187
Nadig_two_cellline,safeconf,256,2,0.23096595136423118,1.1629549231907033,0.3269230769230769,0.4025790835011902,-0.17161313213695903
Nadig_two_cellline,setting_adaptive_lodo,256,2,0.4097415908111395,1.1813304886050255,0.34615384615384615,0.4025790835011902,0.007162507309949273
Replogle_two_cellline,fixed_80_20,256,2,0.22727634577839256,1.1650082843583132,0.3269230769230769,0.21431670617821097,0.012959639600181594
Replogle_two_cellline,magnitude,256,2,0.21431670617821097,1.1997252685998099,0.34615384615384615,0.21431670617821097,0.0
Replogle_two_cellline,magnitude_quintile_safeconf,256,2,0.21598722205150525,1.19972526859981,0.34615384615384615,0.21431670617821097,0.0016705158732942815
Replogle_two_cellline,one_sided_025,256,2,0.2215168247618286,1.1745006780041876,0.3269230769230769,0.21431670617821097,0.007200118583617632
Replogle_two_cellline,safeconf,256,2,0.1726050128805805,1.1530343896573387,0.25,0.21431670617821097,-0.04171169329763047
Replogle_two_cellline,setting_adaptive_lodo,256,2,0.23648523053511952,1.2395257880654225,0.40384615384615385,0.21431670617821097,0.022168524356908553
Santinha,fixed_80_20,255,5,-0.06163031752830792,0.9826038919310122,0.2545454545454545,-0.08930316742081448,0.02767284989250656
Santinha,magnitude,255,5,-0.08930316742081448,0.9850243066876887,0.2727272727272727,-0.08930316742081448,0.0
Santinha,magnitude_quintile_safeconf,255,5,-0.08233636199969956,0.9850243066876887,0.2727272727272727,-0.08930316742081448,0.006966805421114927
Santinha,one_sided_025,255,5,-0.06649681292458468,0.9967355742396885,0.2909090909090909,-0.08930316742081448,0.022806354496229808
Santinha,safeconf,255,5,0.06459306321087306,1.084531358955942,0.2909090909090909,-0.08930316742081448,0.15389623063168756
Santinha,setting_adaptive_lodo,255,5,-0.0726883757700056,0.9647209774304862,0.21818181818181817,-0.08930316742081448,0.016614791650808883
