unit,study,objective,tau,n_units,n_true_high,n_certified_high,n_certified_true_high,n_false_certificates,certified_high_coverage,certified_high_recall,certified_high_precision,n_conformal_low,n_correct_conformal_low,n_false_conformal_low,conformal_low_coverage,conformal_low_empirical_precision,false_low_population_rate,n_unknown,unknown_fraction,decision_partition_complete,upper_empirical_coverage,guarantee_scope
task,E176_primary_CD4,family_rms,0.01,1920,1920,1920,1920,0,1,1,1,0,0,0,0,,0,0,0,True,0.9526041666666667,high is deterministic; low and upper coverage are marginal conformal/empirical
task,E176_primary_CD4,family_rms,0.014999999999999999,1920,1920,1918,1918,0,0.99895833333333328,0.99895833333333328,1,0,0,0,0,,0,2,0.0010416666666666667,True,0.9526041666666667,high is deterministic; low and upper coverage are marginal conformal/empirical
task,E176_primary_CD4,family_rms,0.02,1920,1920,1575,1575,0,0.8203125,0.8203125,1,0,0,0,0,,0,345,0.1796875,True,0.9526041666666667,high is deterministic; low and upper coverage are marginal conformal/empirical
task,E176_primary_CD4,family_rms,0.025000000000000001,1920,1920,662,662,0,0.34479166666666666,0.34479166666666666,1,0,0,0,0,,0,1258,0.65520833333333328,True,0.9526041666666667,high is deterministic; low and upper coverage are marginal conformal/empirical
task,E176_primary_CD4,family_rms,0.029999999999999999,1920,1920,141,141,0,0.073437500000000003,0.073437500000000003,1,0,0,0,0,,0,1779,0.92656249999999996,True,0.9526041666666667,high is deterministic; low and upper coverage are marginal conformal/empirical
task,E176_primary_CD4,family_rms,0.040000000000000001,1920,1920,15,15,0,0.0078125,0.0078125,1,0,0,0,0,,0,1905,0.9921875,True,0.9526041666666667,high is deterministic; low and upper coverage are marginal conformal/empirical
task,E176_primary_CD4,family_rms,0.050000000000000003,1920,1920,3,3,0,0.0015625000000000001,0.0015625000000000001,1,0,0,0,0,,0,1917,0.99843749999999998,True,0.9526041666666667,high is deterministic; low and upper coverage are marginal conformal/empirical
task,E176_primary_CD4,family_rms,0.059999999999999998,1920,1876,3,3,0,0.0015625000000000001,0.0015991471215351812,1,0,0,0,0,,0,1917,0.99843749999999998,True,0.9526041666666667,high is deterministic; low and upper coverage are marginal conformal/empirical
task,E176_primary_CD4,family_rms,0.070000000000000007,1920,1703,0,0,0,0,0,,0,0,0,0,,0,1920,1,True,0.9526041666666667,high is deterministic; low and upper coverage are marginal conformal/empirical
task,E176_primary_CD4,family_rms,0.080000000000000002,1920,1442,0,0,0,0,0,,0,0,0,0,,0,1920,1,True,0.9526041666666667,high is deterministic; low and upper coverage are marginal conformal/empirical
task,E176_primary_CD4,family_rms,0.10000000000000001,1920,906,0,0,0,0,0,,0,0,0,0,,0,1920,1,True,0.9526041666666667,high is deterministic; low and upper coverage are marginal conformal/empirical
task,E176_primary_CD4,family_rms,0.14999999999999999,1920,306,0,0,0,0,0,,329,316,13,0.17135416666666667,0.96048632218844987,0.0067708333333333336,1591,0.8286458333333333,True,0.9526041666666667,high is deterministic; low and upper coverage are marginal conformal/empirical
task,E176_primary_CD4,family_rms,0.20000000000000001,1920,121,0,0,0,0,0,,960,940,20,0.5,0.97916666666666663,0.010416666666666666,960,0.5,True,0.9526041666666667,high is deterministic; low and upper coverage are marginal conformal/empirical
task,E176_primary_CD4,family_rms,0.29999999999999999,1920,25,0,0,0,0,0,,1920,1895,25,1,0.98697916666666663,0.013020833333333334,0,0,True,0.9526041666666667,high is deterministic; low and upper coverage are marginal conformal/empirical
task,E177_Sunshine,family_rms,0.01,400,400,400,400,0,1,1,1,0,0,0,0,,0,0,0,True,0.98250000000000004,high is deterministic; low and upper coverage are marginal conformal/empirical
task,E177_Sunshine,family_rms,0.014999999999999999,400,400,400,400,0,1,1,1,0,0,0,0,,0,0,0,True,0.98250000000000004,high is deterministic; low and upper coverage are marginal conformal/empirical
task,E177_Sunshine,family_rms,0.02,400,400,400,400,0,1,1,1,0,0,0,0,,0,0,0,True,0.98250000000000004,high is deterministic; low and upper coverage are marginal conformal/empirical
