condition,cell_type,treatment,family_disagreement,model_source_gap,source_delta_dispersion,negative_log_source_cells,support_context_deficit,predicted_magnitude,architecture_balanced_lower_bound,latent_family_disagreement,n_source_contexts,n_source_cells,safeconf,magnitude_percentile_rank,safeconf_percentile_rank,safeconf_m_4to1
CLK1,hap1,IFNG,0.009005844484724237,0.17123683437140833,0.04427252380602789,-3.4965075614664802,27.0,0.1651262572623163,0.20296000330607125,0.009005844484724237,2,32,0.17482555295055302,0.7142857142857143,0.6666666666666666,0.7047619047619048
CLK1,ht29,IFNG,0.00900576650360804,0.1410127563303883,0.04427252380602789,-3.4965075614664802,27.0,0.13606263652828532,0.19762432115390735,0.00900576650360804,2,32,0.03550585702247648,0.047619047619047616,0.47619047619047616,0.13333333333333333
CLK1,k562,IFNG,0.009005795356300002,0.18273522618595955,0.04427252380602789,-3.4965075614664802,27.0,0.1778292289321094,0.20261146083372122,0.009005795356300002,2,32,-0.09076550714945583,0.3333333333333333,0.38095238095238093,0.34285714285714286
CLK1,mcf7,IFNG,0.00900583397324752,0.18219235871636916,0.04427252380602789,-3.4965075614664802,27.0,0.174802688706902,0.2040235445700423,0.00900583397324752,2,32,0.2958262632488452,0.19047619047619047,0.7619047619047619,0.3047619047619048
COPS4,hap1,INS,0.009006191244452217,0.1675528739285113,0.04263717425050514,-3.4965075614664802,27.0,0.16062002604387315,0.20237702000848037,0.009006191244452217,2,32,0.23603749024723103,0.75,0.75,0.75
COPS4,ht29,INS,0.009006032443015538,0.13829069793744814,0.04263717425050514,-3.4965075614664802,27.0,0.12910230551890237,0.19707549625919427,0.009006032443015538,2,32,0.29248923992317377,0.25,0.8125,0.3625
COPS4,k562,INS,0.00900606852965286,0.17439298397378955,0.04263717425050514,-3.4965075614664802,27.0,0.1650561183822938,0.20142513920555558,0.00900606852965286,2,32,0.2986076762153645,0.125,0.75,0.25
COPS4,mcf7,INS,0.009006067079318156,0.18593134990907412,0.04263717425050514,-3.4965075614664802,27.0,0.18292684118766017,0.2059017702372832,0.009006067079318156,2,32,0.08492403248446165,0.8125,0.5625,0.7625
CREBBP,hap1,TGFB,0.00900659681469245,0.17222443324842948,0.03853672152226224,-3.4965075614664802,27.0,0.16507623141180844,0.20343541976123547,0.00900659681469245,2,32,0.5514445214839435,0.9473684210526315,0.9473684210526315,0.9473684210526315
CREBBP,ht29,TGFB,0.009006636760799781,0.1396427071463254,0.03853672152226224,-3.4965075614664802,27.0,0.1325895429111855,0.1979872501499672,0.009006636760799781,2,32,0.3146500045495809,0.631578947368421,0.6842105263157895,0.6421052631578947
CREBBP,k562,TGFB,0.009006534294361409,0.17206332283482942,0.03853672152226224,-3.4965075614664802,27.0,0.16688905970642967,0.20141201430339112,0.009006534294361407,2,32,0.4588456071395795,1.0,0.8947368421052632,0.9789473684210527
CREBBP,mcf7,TGFB,0.009006301700342579,0.17574444102220868,0.03853672152226224,-3.4965075614664802,27.0,0.17024822839085002,0.2037780206536251,0.009006301700342579,2,32,0.3809286062022743,0.631578947368421,0.6842105263157895,0.6421052631578947
CUL1,hap1,TGFB,0.009006552987225542,0.16668503146384256,0.054742726861045816,-4.859812404361672,21.0,0.1650757092666112,0.20076380411221434,0.009006552987225542,8,128,-0.17481204524172153,0.21052631578947367,0.3157894736842105,0.23157894736842105
CUL1,ht29,TGFB,0.009006676305002733,0.13452640930056184,0.054742726861045816,-4.859812404361672,21.0,0.1325894488694181,0.19523401792921605,0.009006676305002733,8,128,-0.00550189104469162,0.5263157894736842,0.42105263157894735,0.5052631578947369
CUL1,k562,TGFB,0.009006525226220436,0.17084844458630852,0.054742726861045816,-4.859812404361672,21.0,0.16688835264210286,0.19893088895789934,0.009006525226220436,8,128,0.28753670857815156,0.2631578947368421,0.5789473684210527,0.3263157894736842
CUL1,mcf7,TGFB,0.009006277254955192,0.17298183415192514,0.054742726861045816,-4.859812404361672,21.0,0.17024681080282011,0.20113540242791175,0.009006277254955192,8,128,-0.032252167145297564,0.10526315789473684,0.47368421052631576,0.17894736842105263
DR1,hap1,INS,0.00900618739359386,0.16530953534971668,0.04325421235173938,-3.4965075614664802,27.0,0.1606198060020781,0.20150636011103992,0.00900618739359386,2,32,0.13416442828824385,0.375,0.625,0.425
DR1,ht29,INS,0.009006216040388265,0.13655469519465432,0.04325421235173938,-3.4965075614664802,27.0,0.129101823436772,0.196075447199122,0.009006216040388265,2,32,0.4474767176835174,0.0625,1.0,0.25
DR1,k562,INS,0.00900629446755762,0.17033772619081172,0.04325421235173938,-3.4965075614664802,27.0,0.16505673312201546,0.20045175451610023,0.00900629446755762,2,32,0.4735181080404088,0.8125,0.875,0.825
DR1,mcf7,INS,0.009006142047117369,0.18495669670340395,0.04325421235173938,-3.4965075614664802,27.0,0.18292607502367111,0.20474529155879742,0.009006142047117369,2,32,0.14748335041957344,0.1875,0.6875,0.2875
EHF,hap1,IFNG,0.009005912003065261,0.17186372203738018,0.044263094451778534,-3.4965075614664802,27.0,0.16512547313365422,0.20265533507107072,0.009005912003065261,2,32,0.33572144248804237,0.14285714285714285,0.8571428571428571,0.2857142857142857
EHF,ht29,IFNG,0.009005812648547344,0.14440240011657623,0.044263094451778534,-3.4965075614664802,27.0,0.13606335158598562,0.19737408508889537,0.009005812648547344,2,32,0.30749050153738455,0.9047619047619048,0.7619047619047619,0.8761904761904762
EHF,k562,IFNG,0.009005978982358026,0.18854279807986044,0.044263094451778534,-3.4965075614664802,27.0,0.17782923886288252,0.20221231588916802,0.009005978982358026,2,32,0.6670397896078255,0.38095238095238093,0.9523809523809523,0.49523809523809526
EHF,mcf7,IFNG,0.00900595867711395,0.1841124613133653,0.044263094451778534,-3.4965075614664802,27.0,0.1748029630950961,0.2037906539962363,0.00900595867711395,2,32,0.6467940525373008,0.3333333333333333,0.9523809523809523,0.45714285714285713
FBXO6,hap1,IFNG,0.009006108149988052,0.17045618915424887,0.04819177901722776,-3.4965075614664802,27.0,0.16512618568421406,0.2030240997170722,0.009006108149988052,2,32,0.740282698593731,0.5714285714285714,0.9523809523809523,0.6476190476190476
FBXO6,ht29,IFNG,0.009005898659880811,0.14025586401069756,0.04819177901722776,-3.4965075614664802,27.0,0.1360632921185003,0.19770155107048223,0.009005898659880811,2,32,0.4363853285297369,0.8095238095238095,0.9523809523809523,0.8380952380952381
FBXO6,k562,IFNG,0.009005894657394098,0.18315556823969922,0.04819177901722776,-3.4965075614664802,27.0,0.177829467976871,0.20253824957873037,0.0090058946573941,2,32,0.26595283735105524,0.7142857142857143,0.7619047619047619,0.7238095238095238
FBXO6,mcf7,IFNG,0.009005878469286632,0.18037797543576223,0.04819177901722776,-3.4965075614664802,27.0,0.17480351876397876,0.20401632061861938,0.009005878469286632,2,32,0.3928390017403602,0.7619047619047619,0.8571428571428571,0.780952380952381
FOS,hap1,TGFB,0.009006551510667524,0.16661782558396535,0.051351657189743084,-5.54907608489522,13.0,0.16507606433272876,0.19971897213183665,0.009006551510667524,16,256,-0.7891868108125972,0.6842105263157895,0.15789473684210525,0.5789473684210527
FOS,ht29,TGFB,0.009006708286110745,0.13278701992342704,0.051351657189743084,-5.54907608489522,13.0,0.13258936713409772,0.19421648134442415,0.009006708286110745,16,256,-0.6630083520410844,0.42105263157894735,0.21052631578947367,0.37894736842105264
FOS,k562,TGFB,0.009006354663310873,0.1687505545625474,0.051351657189743084,-5.54907608489522,13.0,0.16688862889936046,0.19790147181238507,0.009006354663310873,16,256,-0.7910068505726601,0.7368421052631579,0.21052631578947367,0.631578947368421
FOS,mcf7,TGFB,0.009006295335705477,0.17072670517249344,0.051351657189743084,-5.54907608489522,13.0,0.1702476326818513,0.20012773500863246,0.009006295335705477,16,256,-0.8677780422932766,0.21052631578947367,0.10526315789473684,0.18947368421052632
FOXO1,hap1,INS,0.009006106209816678,0.1650577468828085,0.03759989812322764,-3.4965075614664802,27.0,0.1606198233472124,0.2011595507338828,0.009006106209816678,2,32,-0.20579740127110338,0.4375,0.25,0.4
FOXO1,ht29,INS,0.009006293199879787,0.13213650931415827,0.03759989812322764,-3.4965075614664802,27.0,0.12910270257883427,0.19573808267520015,0.009006293199879787,2,32,0.060725016290108125,0.8125,0.375,0.725
FOXO1,k562,INS,0.009006056855458125,0.16810404507394944,0.03759989812322764,-3.4965075614664802,27.0,0.16505652879494234,0.20022254019045954,0.009006056855458125,2,32,-0.22928426401294022,0.5625,0.1875,0.4875
FOXO1,mcf7,INS,0.009006079699915497,0.18430573266882108,0.03759989812322764,-3.4965075614664802,27.0,0.18292675304159106,0.20453783872373596,0.009006079699915497,2,32,-0.22570832101829907,0.6875,0.3125,0.6125
FOXO3,hap1,INS,0.009005945260933521,0.16722213012794382,0.04478942392954875,-3.4965075614664802,27.0,0.16061963900216275,0.2023052006621264,0.009005945260933521,2,32,-0.01901628090113213,0.1875,0.5,0.25
FOXO3,ht29,INS,0.009005922787067456,0.13709786990739972,0.04478942392954875,-3.4965075614664802,27.0,0.12910279770476027,0.19692174619482278,0.009005922787067458,2,32,0.16436959386759617,0.875,0.5625,0.8125
FOXO3,k562,INS,0.009006022455511553,0.1734222069843478,0.04478942392954875,-3.4965075614664802,27.0,0.1650566332544884,0.20127200603918113,0.009006022455511553,2,32,0.262180503645567,0.625,0.6875,0.6375
FOXO3,mcf7,INS,0.009005978544505747,0.18840342333466564,0.04478942392954875,-3.4965075614664802,27.0,0.1829262064314558,0.2057932975439142,0.009005978544505747,2,32,0.23249441495659293,0.375,0.8125,0.4625
FOXP2,hap1,TGFB,0.009006552219271824,0.16856568563067237,0.03851116198734048,-3.4965075614664802,27.0,0.16507555447049835,0.20346537460632966,0.009006552219271824,2,32,0.0585323075104812,0.10526315789473684,0.5263157894736842,0.18947368421052632
FOXP2,ht29,TGFB,0.009006600621945398,0.1379057893778164,0.03851116198734048,-3.4965075614664802,27.0,0.13258979304719332,0.1980933101065199,0.009006600621945398,2,32,0.1254318912212118,0.9473684210526315,0.47368421052631576,0.8526315789473684
FOXP2,k562,TGFB,0.009006470731111802,0.17151445364103515,0.03851116198734048,-3.4965075614664802,27.0,0.16688830520800904,0.20146821614598423,0.009006470731111802,2,32,0.30050836196995406,0.15789473684210525,0.631578947368421,0.25263157894736843
FOXP2,mcf7,TGFB,0.009006225684873522,0.17169640031679448,0.03851116198734048,-3.4965075614664802,27.0,0.1702481224789982,0.20391265619867027,0.009006225684873524,2,32,-0.21242819183225983,0.5789473684210527,0.2631578947368421,0.5157894736842106
HDAC4,hap1,TGFB,0.009006655527555548,0.16708564717460764,0.03831476037083971,-3.4965075614664802,27.0,0.16507553619235432,0.20366157828569798,0.009006655527555548,2,32,0.22191820072163332,0.05263157894736842,0.5789473684210527,0.15789473684210525
HDAC4,ht29,TGFB,0.009006694582141346,0.13565380155069662,0.03831476037083971,-3.4965075614664802,27.0,0.13258958205187438,0.19834782354514036,0.009006694582141346,2,32,0.15256450471681965,0.6842105263157895,0.5263157894736842,0.6526315789473685
HDAC4,k562,TGFB,0.009006431080773532,0.16753997651352898,0.03831476037083971,-3.4965075614664802,27.0,0.16688843206513562,0.20180232136434106,0.009006431080773532,2,32,-0.10960943690286466,0.42105263157894735,0.3157894736842105,0.4
HDAC4,mcf7,TGFB,0.009006336563744576,0.17328806271436206,0.03831476037083971,-3.4965075614664802,27.0,0.17024789928586573,0.2040708900919713,0.009006336563744576,2,32,0.14535131441693913,0.42105263157894735,0.5789473684210527,0.45263157894736844
HLA-DQB1,hap1,IFNG,0.009005927938083852,0.171558057467499,0.04247941016906252,-3.4965075614664802,27.0,0.16512698965584385,0.20374853124518172,0.009005927938083852,2,32,0.27674944793239964,1.0,0.8095238095238095,0.9619047619047619
HLA-DQB1,ht29,IFNG,0.009005894203704559,0.14120732403876307,0.04247941016906252,-3.4965075614664802,27.0,0.13606353077721978,0.19845437678531752,0.009005894203704559,2,32,0.2591123887721417,1.0,0.7142857142857143,0.9428571428571428
HLA-DQB1,k562,IFNG,0.009005766006641483,0.18056200398921035,0.04247941016906252,-3.4965075614664802,27.0,0.17782961176228684,0.2032297930434014,0.009005766006641483,2,32,-0.37155112780359567,0.8571428571428571,0.19047619047619047,0.7238095238095238
HLA-DQB1,mcf7,IFNG,0.009005755435491985,0.1801110088053198,0.04247941016906252,-3.4965075614664802,27.0,0.1748029635449283,0.20471513467543573,0.009005755435491985,2,32,-0.054475845056168384,0.38095238095238093,0.42857142857142855,0.3904761904761905
HSF1,hap1,INS,0.009006216592043651,0.1678680529494015,0.041198521857133956,-3.4965075614664802,27.0,0.1606195330628033,0.20201605374800805,0.009006216592043651,2,32,0.2300341910381798,0.0625,0.6875,0.1875
HSF1,ht29,INS,0.009006324998891181,0.13235785816844134,0.041198521857133956,-3.4965075614664802,27.0,0.12910221405521996,0.19662275232426704,0.009006324998891181,2,32,0.2550087307521846,0.1875,0.75,0.3
HSF1,k562,INS,0.009006073629599343,0.1704627310490838,0.041198521857133956,-3.4965075614664802,27.0,0.16505644961664945,0.20085131180938803,0.009006073629599343,2,32,0.05469623726727492,0.375,0.5625,0.4125
HSF1,mcf7,INS,0.009006087245566135,0.1884485260608209,0.041198521857133956,-3.4965075614664802,27.0,0.18292668774809875,0.20536882015721472,0.009006087245566135,2,32,0.2688449174473605,0.625,0.875,0.675
IGF2,hap1,INS,0.009006165561960891,0.17147633083433747,0.03958110362954422,-3.4965075614664802,27.0,0.16061967483972,0.20207471483294218,0.009006165561960891,2,32,0.2948256124760092,0.25,0.8125,0.3625
IGF2,ht29,INS,0.009006043992328502,0.13908286272765893,0.03958110362954422,-3.4965075614664802,27.0,0.12910200693883517,0.19658732010576793,0.009006043992328502,2,32,0.235693372079023,0.125,0.6875,0.2375
