condition,cell_type,treatment,family_disagreement,model_source_gap,source_delta_dispersion,negative_log_source_cells,support_context_deficit,predicted_magnitude,architecture_balanced_lower_bound,latent_family_disagreement,n_source_contexts,n_source_cells,safeconf,magnitude_percentile_rank,safeconf_percentile_rank,safeconf_m_4to1,task_id,latent_centroid_error,linear_error,no_change_error,registered_family_rms_error,registered_family_centroid_error,family_identity_residual,family_identity_tolerance,family_lower_tightness
CLK1,hap1,IFNG,0.0090058444847242,0.1712368343714083,0.0442725238060278,-3.49650756146648,27.0,0.1651262572623163,0.2029600033060712,0.0090058444847242,2,32,0.174825552950553,0.7142857142857143,0.6666666666666666,0.7047619047619048,CLK1|hap1|IFNG,0.16865140055832567,0.42900451588686556,0.02898494271342716,0.32601324727416503,0.2551310928221573,-6.838282023968745e-11,1.062846374666287e-11,0.6225513993773064
CLK1,ht29,IFNG,0.009005766503608,0.1410127563303883,0.0442725238060278,-3.49650756146648,27.0,0.1360626365282853,0.1976243211539073,0.009005766503608,2,32,0.0355058570224764,0.0476190476190476,0.4761904761904761,0.1333333333333333,CLK1|ht29|IFNG,0.13317240618466647,0.4328596021394883,0.01804259167494216,0.32029941364580067,0.2520641627387804,-6.690135945230935e-11,1.0259171444874508e-11,0.6169986978884947
CLK1,k562,IFNG,0.0090057953563,0.1827352261859595,0.0442725238060278,-3.49650756146648,27.0,0.1778292289321094,0.2026114608337212,0.0090057953563,2,32,-0.0907655071494558,0.3333333333333333,0.3809523809523809,0.3428571428571428,CLK1|k562|IFNG,0.17887628640633188,0.4327083402774789,0.022976705021154745,0.3311452384786848,0.2619270222151355,-6.055757284517682e-11,1.0965716902766263e-11,0.6118507449013583
CLK1,mcf7,IFNG,0.0090058339732475,0.1821923587163691,0.0442725238060278,-3.49650756146648,27.0,0.174802688706902,0.2040235445700423,0.0090058339732475,2,32,0.2958262632488452,0.1904761904761904,0.7619047619047619,0.3047619047619048,CLK1|mcf7|IFNG,0.17543468559793618,0.4299411649823351,0.02712635470763666,0.3284112051245876,0.25734862123508656,6.085986575810054e-11,1.0785391965138395e-11,0.6212441639822947
COPS4,hap1,INS,0.0090061912444522,0.1675528739285113,0.0426371742505051,-3.49650756146648,27.0,0.1606200260438731,0.2023770200084803,0.0090061912444522,2,32,0.236037490247231,0.75,0.75,0.75,COPS4|hap1|INS,0.16175180295381172,0.43096061015523696,0.024001715571278642,0.32555476094269803,0.2550087139116822,-2.5945794124293542e-11,1.0598590239840306e-11,0.6216374149235723
COPS4,ht29,INS,0.0090060324430155,0.1382906979374481,0.0426371742505051,-3.49650756146648,27.0,0.1291023055189023,0.1970754962591942,0.0090060324430155,2,32,0.2924892399231737,0.25,0.8125,0.3625,COPS4|ht29|INS,0.130402460069378,0.43187755392648536,0.016748733986407482,0.319064360120364,0.2509249181554958,1.2186737036179451e-10,1.0180206589901733e-11,0.6176669064036153
COPS4,k562,INS,0.0090060685296528,0.1743929839737895,0.0426371742505051,-3.49650756146648,27.0,0.1650561183822938,0.2014251392055555,0.0090060685296528,2,32,0.2986076762153645,0.125,0.75,0.25,COPS4|k562|INS,0.1656919170212235,0.43263858826722773,0.022318114586984152,0.32765154409401814,0.25842493591500654,1.4054164776400313e-10,1.0735553434719431e-11,0.6147541277808156
COPS4,mcf7,INS,0.0090060670793181,0.1859313499090741,0.0426371742505051,-3.49650756146648,27.0,0.1829268411876601,0.2059017702372832,0.0090060670793181,2,32,0.0849240324844616,0.8125,0.5625,0.7625,COPS4|mcf7|INS,0.18143669977422994,0.43196023367498965,0.023616824923149517,0.3313533074723662,0.25961408950206005,-8.195416567602365e-11,1.0979501445483063e-11,0.621396453857503
CREBBP,hap1,TGFB,0.0090065968146924,0.1722244332484294,0.0385367215222622,-3.49650756146648,27.0,0.1650762314118084,0.2034354197612354,0.0090065968146924,2,32,0.5514445214839435,0.9473684210526316,0.9473684210526316,0.9473684210526316,CREBBP|hap1|TGFB,0.1556410000898765,0.43037757824572803,0.028819045668743177,0.3236742958220633,0.25175202052458967,-7.573495303114797e-11,1.047650498516435e-11,0.6285189228404842
CREBBP,ht29,TGFB,0.0090066367607997,0.1396427071463254,0.0385367215222622,-3.49650756146648,27.0,0.1325895429111855,0.1979872501499672,0.0090066367607997,2,32,0.3146500045495809,0.631578947368421,0.6842105263157895,0.6421052631578947,CREBBP|ht29|TGFB,0.13075955531401054,0.4315044111089904,0.02242035724629402,0.3188849617167415,0.24997733414879741,-9.975076320500875e-13,1.0168761881008521e-11,0.6208735874030802
