lambda_safeconf,lambda_disagreement,mean_delta_spearman,positive_spearman_studies,mean_delta_utility_all_budgets,positive_study_budget_cells,minimum_study_delta_spearman,mean_delta_utility_05,positive_delta_utility_05_studies,mean_delta_utility_10,positive_delta_utility_10_studies,mean_delta_utility_20,positive_delta_utility_20_studies,mean_delta_utility_30,positive_delta_utility_30_studies
0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0
0.0,0.125,-0.0004416346065520318,2,0.00021510467785354527,3,-0.004171488001134564,0.0,0,-0.00040808527327305597,0,0.00014032785917258086,2,0.0011281761255146562,1
0.0,0.25,0.0007514766723827602,3,0.004856631144166454,9,-0.005270448521745019,0.0,0,0.005098269320774552,1,-0.0011757847915351675,2,0.015504040047426433,6
0.0,0.5,-0.00557838412218934,1,0.01258253588332598,22,-0.027758544992601192,-0.004802079814282414,3,0.010245365112293934,6,0.014275634743009347,5,0.030611223492283058,8
0.0,0.75,-0.014757085885374574,2,0.013947750188181502,24,-0.04689419565317959,-0.000685363226617421,6,0.014509914143787566,7,0.01445011959922857,5,0.027516330236327297,6
0.0,1.0,-0.030662537607782182,0,-0.0046965936826178206,17,-0.08499523849059173,-0.01315767676329067,4,0.019040709842064164,6,-0.004238815326031185,4,-0.02043059248321359,3
0.125,0.0,0.004546348127160741,8,0.0016853570191571726,8,3.291871555409729e-05,0.0,0,1.1564823173178714e-17,1,0.0010479199972218012,3,0.005693508079406878,4
0.125,0.125,0.004291238343035743,7,0.003975474000989591,10,-0.0005781200725978332,0.0,0,0.005506354594047619,2,0.003979662336129392,3,0.006415879073781352,5
0.125,0.25,0.006218619464346256,6,0.007600391443485192,12,-0.0038020452680340685,0.0,0,0.005625262095658525,3,0.0031720744294345287,4,0.021604229248847716,5
0.125,0.5,-0.0008623241997884365,5,0.013513578596157483,21,-0.0295294495775864,-0.004521693675542825,3,0.010264674074609266,6,0.01362353618467416,4,0.034687797800889326,8
0.125,0.75,-0.012602652514002706,2,0.018484563028179586,27,-0.04622226682891892,0.0075192277366200886,7,0.015446052939292746,7,0.03214722610492486,7,0.018825745331880646,6
0.125,1.0,-0.031703522428761566,1,-0.004792698574682868,19,-0.09526926139748483,-0.01349931049056299,5,0.012915959475746908,7,-0.0013589551857898854,4,-0.017228488098125508,3
0.25,0.0,0.01155933294892312,8,0.00484165898508961,14,0.0020593225097151197,-1.734723475976807e-17,0,0.005581862924827041,3,0.006756009679574022,5,0.007028763335957396,6
0.25,0.125,0.012496468968076832,8,0.006065126902003547,15,0.00018444697711413358,-1.734723475976807e-17,0,0.005581862924827069,3,0.008190692565386404,5,0.010487952117800736,7
0.25,0.25,0.013663921941798616,7,0.010104976574452,19,-0.00014483715305058098,0.001029030008893567,3,0.004976509055958537,4,0.0066300327036400535,5,0.027784334529315842,7
0.25,0.5,0.005701586532744965,5,0.016780758396578513,20,-0.02334358789954144,0.003538782268258196,5,0.008809903067253055,5,0.015066975491356584,4,0.039707372759446205,6
0.25,0.75,-0.009926834681315052,3,0.013091243772048181,24,-0.04996397344918904,-0.012956617743308977,5,0.02735520839191493,7,0.020430277436936182,7,0.017536107002650587,5
0.25,1.0,-0.03125773930406878,3,-0.025918621144806052,14,-0.11362967789212103,-0.0666383083684824,4,-0.01724585700865929,3,0.001452913756067209,5,-0.021243232958149734,2
0.5,0.0,0.024859458055904234,8,0.01177115217555191,21,0.012055081912731079,0.010221681817464542,4,0.010967285370691898,5,0.005154402347558468,5,0.020741239166492724,7
0.5,0.125,0.023424652429348165,8,0.013854879224322075,22,0.004420666316299782,0.010221681817464542,4,0.010967285370691898,5,0.009339594764910999,6,0.024890954944220854,7
0.5,0.25,0.02011695972723265,6,0.016029504265012803,19,-0.009084730449310713,0.010221681817464539,4,0.010927258223034291,5,0.011126165079658728,4,0.03184291193989366,6
0.5,0.5,0.012379750488124761,6,0.02331194364839248,25,-0.04454443013053616,-0.007011184828539671,4,0.027857411012061475,7,0.030352867609711464,7,0.042048680800336656,7
0.5,0.75,-0.009834691668070845,5,-0.008530531669448966,21,-0.09254177799789126,-0.053827556534796796,5,-0.002649298173402115,6,0.016178464377793397,5,0.0061762636526096395,5
0.5,1.0,-0.03232750333104193,4,-0.04088460747655546,15,-0.13960741985849906,-0.10296563130565933,4,-0.04855801997386301,4,-0.016218076981557916,4,0.004203298354858451,3
0.75,0.0,0.03755088999976619,7,0.017710956315651068,19,-0.016273484491260343,0.014275032338647303,4,0.013643929333517378,5,0.006658893740437209,3,0.03626596985000239,7
0.75,0.125,0.03238665897284555,6,0.026621198827592518,21,-0.03408464043980422,0.014275032338647301,4,0.024815445301910478,5,0.022721810204906448,5,0.044672507464905836,7
0.75,0.25,0.029246981614571253,6,0.02820485703547239,21,-0.05230320046142806,0.009345577749333214,4,0.033079916526012734,6,0.021053992255689297,5,0.04933994161085432,6
0.75,0.5,0.014691321289809097,6,-0.001211229034803518,20,-0.09687766081284192,-0.05676273423561368,3,0.005734053477243437,6,0.01868420726669918,5,0.027499557352456988,6
0.75,0.75,-0.007082941314849953,5,-0.028726150628998325,16,-0.1255947112042502,-0.09840928890377779,3,-0.0381217298949606,4,-0.00656165418058698,3,0.028188070463332077,6
0.75,1.0,-0.027949256277405986,4,-0.06178551600071666,11,-0.15220603424422482,-0.13429537052010773,1,-0.057880211526601104,3,-0.037101534761835135,3,-0.01786494719432266,4
