gene,n_study_families,n_dataset_records,study_families
AAMP,3,6,NadigOConner2024|Replogle|ReplogleWeissman2022
AARS,2,5,NadigOConner2024|ReplogleWeissman2022
ABCE1,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
ABCF1,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
ABT1,3,6,NadigOConner2024|Replogle|ReplogleWeissman2022
ACTB,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
ACTR6,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
AHCTF1,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
AKIRIN2,3,6,NadigOConner2024|Replogle|ReplogleWeissman2022
ALDOA,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
ALG13,3,6,NadigOConner2024|Replogle|ReplogleWeissman2022
ANAPC2,2,5,NadigOConner2024|ReplogleWeissman2022
AP2S1,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
ARGLU1,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
ARL2,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
ATF4,4,9,Adamson|NadigOConner2024|Replogle|ReplogleWeissman2022
ATP6V0B,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
ATP6V1A,3,8,NadigOConner2024|Replogle|ReplogleWeissman2022
ATR,3,9,NadigOConner2024|Replogle|ReplogleWeissman2022
ATRIP,3,6,NadigOConner2024|Replogle|ReplogleWeissman2022
BCAS2,3,6,NadigOConner2024|Replogle|ReplogleWeissman2022
BDP1,3,6,NadigOConner2024|Replogle|ReplogleWeissman2022
BGLAP,2,5,NadigOConner2024|ReplogleWeissman2022
BNIP1,5,9,NadigOConner2024|Replogle|ReplogleWeissman2022|TianInhibition|TianKampmann2021
BRD8,3,6,NadigOConner2024|Replogle|ReplogleWeissman2022
BRIX1,3,6,NadigOConner2024|Replogle|ReplogleWeissman2022
BUB3,3,6,NadigOConner2024|Replogle|ReplogleWeissman2022
BYSL,3,6,NadigOConner2024|Replogle|ReplogleWeissman2022
CCDC59,3,6,NadigOConner2024|Replogle|ReplogleWeissman2022
CCDC84,2,5,NadigOConner2024|ReplogleWeissman2022
CCNH,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
CCNK,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
CCT4,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
CCT7,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
CD3EAP,2,5,NadigOConner2024|ReplogleWeissman2022
CDC123,5,9,Frangieh|FrangiehIzar2021|NadigOConner2024|Replogle|ReplogleWeissman2022
CDC5L,5,9,NadigOConner2024|Replogle|ReplogleWeissman2022|TianActivation|TianKampmann2021
CDC6,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
CDC73,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
CENPE,3,6,NadigOConner2024|Replogle|ReplogleWeissman2022
CENPK,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
CEP192,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
CHCHD4,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
CHD4,4,9,LaraAstiasoHuntly2023|NadigOConner2024|Replogle|ReplogleWeissman2022
CHEK1,3,8,NadigOConner2024|Replogle|ReplogleWeissman2022
CHMP1A,3,6,NadigOConner2024|Replogle|ReplogleWeissman2022
CHMP2A,4,9,LaraAstiasoHuntly2023|NadigOConner2024|Replogle|ReplogleWeissman2022
CINP,3,6,NadigOConner2024|Replogle|ReplogleWeissman2022
CKAP5,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
CLNS1A,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
CLP1,3,6,NadigOConner2024|Replogle|ReplogleWeissman2022
CMTR1,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
CNOT2,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
CNOT3,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
COPB1,4,7,Adamson|NadigOConner2024|Replogle|ReplogleWeissman2022
COPS2,2,5,NadigOConner2024|ReplogleWeissman2022
COPS4,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
COX11,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
COX17,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
COX7C,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
CPSF1,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
CPSF3,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
CPSF4,3,6,NadigOConner2024|Replogle|ReplogleWeissman2022
CPSF6,3,6,NadigOConner2024|Replogle|ReplogleWeissman2022
CSE1L,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
CSNK1A1,3,6,NadigOConner2024|Replogle|ReplogleWeissman2022
CSNK2B,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
CSTF3,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
CTR9,3,6,NadigOConner2024|Replogle|ReplogleWeissman2022
CUL2,3,6,NadigOConner2024|Replogle|ReplogleWeissman2022
CUL7,2,5,NadigOConner2024|ReplogleWeissman2022
CWC15,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
CWC22,2,5,NadigOConner2024|ReplogleWeissman2022
CWF19L2,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
CXXC1,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
CYCS,6,11,NadigOConner2024|Replogle|ReplogleWeissman2022|TianActivation|TianInhibition|TianKampmann2021
DAD1,4,7,Adamson|NadigOConner2024|Replogle|ReplogleWeissman2022
DAP3,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
DARS,2,5,NadigOConner2024|ReplogleWeissman2022
DDB1,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
DDX10,3,6,NadigOConner2024|Replogle|ReplogleWeissman2022
DDX18,3,6,NadigOConner2024|Replogle|ReplogleWeissman2022
DDX23,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
DDX41,3,6,NadigOConner2024|Replogle|ReplogleWeissman2022
DDX46,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
DDX47,2,5,NadigOConner2024|ReplogleWeissman2022
DDX5,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
DDX52,3,6,NadigOConner2024|Replogle|ReplogleWeissman2022
DDX55,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
DDX59,3,6,NadigOConner2024|Replogle|ReplogleWeissman2022
DENR,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
DHX16,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
DHX33,3,6,NadigOConner2024|Replogle|ReplogleWeissman2022
DHX36,3,7,NadigOConner2024|Replogle|ReplogleWeissman2022
