dataset,perturbation,expression_axis_present,scgpt_token,scgpt_vocab_present,symbol_mapping,basic_dual_adapter_compatible
Parekh,ASCL3,False,ASCL3,True,uppercase exact symbol,False
Parekh,CDX2,True,CDX2,True,uppercase exact symbol,True
Parekh,FOXP1,False,FOXP1,True,uppercase exact symbol,False
Parekh,HAND2,True,HAND2,True,uppercase exact symbol,True
Parekh,HOXA10,True,HOXA10,True,uppercase exact symbol,True
Parekh,KLF4,True,KLF4,True,uppercase exact symbol,True
Parekh,LMX1A,False,LMX1A,True,uppercase exact symbol,False
Parekh,MYOG,False,MYOG,True,uppercase exact symbol,False
Parekh,SNAI2,True,SNAI2,True,uppercase exact symbol,True
Parekh,SPI1,False,SPI1,True,uppercase exact symbol,False
Papalexi,ATF2,True,ATF2,True,uppercase exact symbol,True
Papalexi,BRD4,True,BRD4,True,uppercase exact symbol,True
Papalexi,CAV1,True,CAV1,True,uppercase exact symbol,True
Papalexi,CD86,True,CD86,True,uppercase exact symbol,True
Papalexi,CMTM6,True,CMTM6,True,uppercase exact symbol,True
Papalexi,CUL3,True,CUL3,True,uppercase exact symbol,True
Papalexi,ETV7,True,ETV7,True,uppercase exact symbol,True
Papalexi,IFNGR1,True,IFNGR1,True,uppercase exact symbol,True
Papalexi,IFNGR2,True,IFNGR2,True,uppercase exact symbol,True
Papalexi,IRF1,True,IRF1,True,uppercase exact symbol,True
Papalexi,IRF7,True,IRF7,True,uppercase exact symbol,True
Papalexi,JAK2,True,JAK2,True,uppercase exact symbol,True
Papalexi,MARCH8,True,MARCHF8,True,NCBI/HGNC alias MARCH8->MARCHF8,True
Papalexi,MYC,True,MYC,True,uppercase exact symbol,True
Papalexi,NFKBIA,True,NFKBIA,True,uppercase exact symbol,True
Papalexi,PDCD1LG2,True,PDCD1LG2,True,uppercase exact symbol,True
Papalexi,POU2F2,True,POU2F2,True,uppercase exact symbol,True
Papalexi,SMAD4,True,SMAD4,True,uppercase exact symbol,True
Papalexi,STAT1,True,STAT1,True,uppercase exact symbol,True
Papalexi,STAT2,True,STAT2,True,uppercase exact symbol,True
Papalexi,STAT3,True,STAT3,True,uppercase exact symbol,True
Papalexi,STAT5A,True,STAT5A,True,uppercase exact symbol,True
Papalexi,TNFRSF14,True,TNFRSF14,True,uppercase exact symbol,True
Papalexi,UBE2L6,True,UBE2L6,True,uppercase exact symbol,True
Adamson,AMIGO3,True,AMIGO3,True,uppercase exact symbol,True
Adamson,ARHGAP22,True,ARHGAP22,True,uppercase exact symbol,True
Adamson,ASCC3,True,ASCC3,True,uppercase exact symbol,True
Adamson,ATF4,True,ATF4,True,uppercase exact symbol,True
Adamson,CAD,True,CAD,True,uppercase exact symbol,True
Adamson,CCND3,True,CCND3,True,uppercase exact symbol,True
Adamson,CHERP,True,CHERP,True,uppercase exact symbol,True
Adamson,COPB1,True,COPB1,True,uppercase exact symbol,True
Adamson,COPZ1,True,COPZ1,True,uppercase exact symbol,True
Adamson,DAD1,True,DAD1,True,uppercase exact symbol,True
Adamson,DDOST,True,DDOST,True,uppercase exact symbol,True
Adamson,DDRGK1,True,DDRGK1,True,uppercase exact symbol,True
Adamson,DERL2,True,DERL2,True,uppercase exact symbol,True
Adamson,DHDDS,True,DHDDS,True,uppercase exact symbol,True
Adamson,DNAJC19,True,DNAJC19,True,uppercase exact symbol,True
Adamson,EIF2AK3,True,EIF2AK3,True,uppercase exact symbol,True
Adamson,EIF2B2,True,EIF2B2,True,uppercase exact symbol,True
Adamson,EIF2B3,True,EIF2B3,True,uppercase exact symbol,True
Adamson,EIF2B4,True,EIF2B4,True,uppercase exact symbol,True
Adamson,EIF2S1,True,EIF2S1,True,uppercase exact symbol,True
Adamson,ERN1,True,ERN1,True,uppercase exact symbol,True
Adamson,FARSB,True,FARSB,True,uppercase exact symbol,True
Adamson,FECH,True,FECH,True,uppercase exact symbol,True
Adamson,GBF1,True,GBF1,True,uppercase exact symbol,True
Adamson,GMPPB,True,GMPPB,True,uppercase exact symbol,True
Adamson,GNPNAT1,True,GNPNAT1,True,uppercase exact symbol,True
Adamson,HSD17B12,True,HSD17B12,True,uppercase exact symbol,True
Adamson,HSPA5,True,HSPA5,True,uppercase exact symbol,True
Adamson,HSPA9,True,HSPA9,True,uppercase exact symbol,True
Adamson,HYOU1,True,HYOU1,True,uppercase exact symbol,True
Adamson,IARS2,True,IARS2,True,uppercase exact symbol,True
Adamson,IDH3A,True,IDH3A,True,uppercase exact symbol,True
Adamson,KCTD16,True,KCTD16,True,uppercase exact symbol,True
Adamson,MANF,True,MANF,True,uppercase exact symbol,True
Adamson,MRGBP,True,MRGBP,True,uppercase exact symbol,True
Adamson,MRPL39,True,MRPL39,True,uppercase exact symbol,True
Adamson,MTHFD1,True,MTHFD1,True,uppercase exact symbol,True
Adamson,NEDD8,True,NEDD8,True,uppercase exact symbol,True
Adamson,OST4,True,OST4,True,uppercase exact symbol,True
Adamson,P4HB,True,P4HB,True,uppercase exact symbol,True
Adamson,PDIA6,True,PDIA6,True,uppercase exact symbol,True
Adamson,PPWD1,True,PPWD1,True,uppercase exact symbol,True
Adamson,PSMA1,True,PSMA1,True,uppercase exact symbol,True
Adamson,PSMD12,True,PSMD12,True,uppercase exact symbol,True
Adamson,PSMD4,True,PSMD4,True,uppercase exact symbol,True
Adamson,PTDSS1,True,PTDSS1,True,uppercase exact symbol,True
Adamson,SAMM50,True,SAMM50,True,uppercase exact symbol,True
Adamson,SCYL1,True,SCYL1,True,uppercase exact symbol,True
Adamson,SEC61A1,True,SEC61A1,True,uppercase exact symbol,True
Adamson,SEC61B,True,SEC61B,True,uppercase exact symbol,True
Adamson,SEC61G,True,SEC61G,True,uppercase exact symbol,True
Adamson,SEC63,True,SEC63,True,uppercase exact symbol,True
Adamson,SEL1L,True,SEL1L,True,uppercase exact symbol,True
Adamson,SLC35B1,True,SLC35B1,True,uppercase exact symbol,True
Adamson,SLC39A7,True,SLC39A7,True,uppercase exact symbol,True
Adamson,SOCS1,True,SOCS1,True,uppercase exact symbol,True
Adamson,SPCS2,True,SPCS2,True,uppercase exact symbol,True
Adamson,SPCS3,True,SPCS3,True,uppercase exact symbol,True
Adamson,SRP68,True,SRP68,True,uppercase exact symbol,True
Adamson,SRP72,True,SRP72,True,uppercase exact symbol,True
Adamson,SRPRB,True,SRPRB,True,uppercase exact symbol,True
Adamson,STT3A,True,STT3A,True,uppercase exact symbol,True
Adamson,SYVN1,True,SYVN1,True,uppercase exact symbol,True
Adamson,TELO2,True,TELO2,True,uppercase exact symbol,True
Adamson,TIMM23,True,TIMM23,True,uppercase exact symbol,True
Adamson,TIMM44,True,TIMM44,True,uppercase exact symbol,True
Adamson,TMED10,True,TMED10,True,uppercase exact symbol,True
Adamson,TMED2,True,TMED2,True,uppercase exact symbol,True
Adamson,TMEM167A,True,TMEM167A,True,uppercase exact symbol,True
Adamson,TTI1,True,TTI1,True,uppercase exact symbol,True
Adamson,TTI2,True,TTI2,True,uppercase exact symbol,True
Adamson,UFL1,True,UFL1,True,uppercase exact symbol,True
Adamson,UFM1,True,UFM1,True,uppercase exact symbol,True
Adamson,XBP1,True,XBP1,True,uppercase exact symbol,True
Adamson,XRN1,True,XRN1,True,uppercase exact symbol,True
Adamson,YIPF5,True,YIPF5,True,uppercase exact symbol,True
