method,metric,delta_vs_magnitude,ci95_lower,ci95_upper,positive_studies,n_studies
adaptive_nested,spearman,0.044988978445957575,-0.019566430615761493,0.10661816347086601,5,8
adaptive_nested,utility_20,0.02693497500713111,-0.014759530080505455,0.06259261992342038,6,8
adaptive_nested,capture_20,0.004073213678274349,0.00039906277895115244,0.00737182597330184,6,8
adaptive_nested,remaining_error_80,-0.0006231475219363129,-0.0011591458907373752,-0.00012380975728814203,2,8
disagreement_percentile,spearman,-0.0855554876389355,-0.1526119582756831,-0.025032521683035693,2,8
disagreement_percentile,utility_20,-0.0314125672557862,-0.07792116876525926,0.007442209808962312,2,8
disagreement_percentile,capture_20,-0.0011851203836072688,-0.004132965872873699,0.0013944315986426997,3,8
disagreement_percentile,remaining_error_80,1.2748612622870761e-06,-0.00024746157558432937,0.0002446031790610191,6,8
fixed_80m_20s,spearman,0.018301767391166922,0.009075567921917452,0.026920197383187863,7,8
fixed_80m_20s,utility_20,0.004150960836876154,-0.0190866028607401,0.0340135490704434,2,8
fixed_80m_20s,capture_20,0.00020064446333869015,-0.0024938323501932907,0.0032890779044871844,2,8
fixed_80m_20s,remaining_error_80,-5.1793839900539373e-05,-0.0005786784524165296,0.0004264915461800794,6,8
magnitude_percentile,spearman,0.0,0.0,0.0,0,8
magnitude_percentile,utility_20,0.0,0.0,0.0,0,8
magnitude_percentile,capture_20,0.0,0.0,0.0,0,8
magnitude_percentile,remaining_error_80,0.0,0.0,0.0,0,8
safeconf_percentile,spearman,0.056839390963353414,-0.03329447619310612,0.13914003677938272,5,8
safeconf_percentile,utility_20,0.014481971201810214,-0.05373757972740803,0.08706626486095968,5,8
safeconf_percentile,capture_20,0.0027192953145076804,-0.00318582705562305,0.009248556473231279,5,8
safeconf_percentile,remaining_error_80,-0.00036191859407656325,-0.0008197644196344466,9.415484180080001e-05,3,8
