method,dataset,fold_id,n_tasks,spearman,utility_20,capture_20,remaining_relative_error_80
magnitude,Frangieh,frangieh_context_holdout_1_Co-culture,279,0.11016863928212271,0.24690394303212618,0.21882851080505553,0.9773401142842579
magnitude,Frangieh,frangieh_context_holdout_2_Control,279,0.21103835825348938,0.4004651566505192,0.22405052669720826,0.970806740141161
magnitude,Frangieh,frangieh_context_holdout_3_IFNγ,279,0.12323763109328206,0.22860623363567487,0.21755826832277578,0.9789293414257649
fixed_80m_20s,Frangieh,frangieh_context_holdout_1_Co-culture,279,0.0989619573139964,0.2756142970895589,0.2209345618718616,0.9747051894069535
fixed_80m_20s,Frangieh,frangieh_context_holdout_2_Control,279,0.27577663260918106,0.22907471926030942,0.21406421529135894,0.9833008248148469
fixed_80m_20s,Frangieh,frangieh_context_holdout_3_IFNγ,279,0.17190469112529622,0.28538662305051943,0.2217412799121733,0.9736958874641422
learned_magnitude,Frangieh,frangieh_context_holdout_1_Co-culture,279,0.0755345953651825,0.24690394303212618,0.21882851080505553,0.9773401142842579
learned_magnitude,Frangieh,frangieh_context_holdout_2_Control,279,0.2060173059708915,0.4004651566505192,0.22405052669720826,0.970806740141161
learned_magnitude,Frangieh,frangieh_context_holdout_3_IFNγ,279,0.09191614450375184,0.22860623363567487,0.21755826832277578,0.9789293414257649
learned_full,Frangieh,frangieh_context_holdout_1_Co-culture,279,0.09247477593961696,0.2549260774261765,0.21941697532433152,0.9766038739215762
learned_full,Frangieh,frangieh_context_holdout_2_Control,279,0.3986788449424792,0.23520674002935896,0.21442150633909368,0.9828538104546765
learned_full,Frangieh,frangieh_context_holdout_3_IFNγ,279,0.21082009968062418,0.20613094638354387,0.21590251379168546,0.9810008908166805
guarded_full,Frangieh,frangieh_context_holdout_1_Co-culture,279,0.09247477593961696,0.2549260774261765,0.21941697532433152,0.9766038739215762
guarded_full,Frangieh,frangieh_context_holdout_2_Control,279,0.3986788449424792,0.23520674002935896,0.21442150633909368,0.9828538104546765
guarded_full,Frangieh,frangieh_context_holdout_3_IFNγ,279,0.21082009968062418,0.20613094638354387,0.21590251379168546,0.9810008908166805
magnitude,Lara_exvivo,Lara_exvivo_context_holdout_1_EBMP,69,0.24965290464011697,0.3784006495698407,0.24911782871963567,0.9420158148790024
magnitude,Lara_exvivo,Lara_exvivo_context_holdout_2_GMP,69,-0.004640116916331751,0.10187289508361808,0.21568909330558736,0.9839536829438995
magnitude,Lara_exvivo,Lara_exvivo_context_holdout_3_GMP_(late),69,0.2491779320423822,0.6268580623912552,0.2833560266389783,0.8990624393074637
magnitude,Lara_exvivo,Lara_exvivo_context_holdout_4_HSC,69,0.008220679576178298,0.3496584806281537,0.23561632136085378,0.9589540695654742
magnitude,Lara_exvivo,Lara_exvivo_context_holdout_5_MkP,69,0.23511143587869934,0.1455590998430895,0.21658929571830032,0.9828243380988596
fixed_80m_20s,Lara_exvivo,Lara_exvivo_context_holdout_1_EBMP,69,0.25653345539430306,0.3784006495698407,0.24911782871963567,0.9420158148790024
fixed_80m_20s,Lara_exvivo,Lara_exvivo_context_holdout_2_GMP,69,-0.0031057319055000374,0.06390965022458982,0.21092265862753232,0.9899333919036414
fixed_80m_20s,Lara_exvivo,Lara_exvivo_context_holdout_3_GMP_(late),69,0.2905998521328222,0.6268580623912552,0.2833560266389783,0.8990624393074637
fixed_80m_20s,Lara_exvivo,Lara_exvivo_context_holdout_4_HSC,69,0.08129487204264907,0.3496584806281537,0.23561632136085378,0.9589540695654742
fixed_80m_20s,Lara_exvivo,Lara_exvivo_context_holdout_5_MkP,69,0.2735186387208533,0.1455590998430895,0.21658929571830032,0.9828243380988596
learned_magnitude,Lara_exvivo,Lara_exvivo_context_holdout_1_EBMP,69,0.22020460358056268,0.3784006495698407,0.24911782871963567,0.9420158148790024
learned_magnitude,Lara_exvivo,Lara_exvivo_context_holdout_2_GMP,69,0.10840336134453783,0.10187289508361808,0.21568909330558736,0.9839536829438995
learned_magnitude,Lara_exvivo,Lara_exvivo_context_holdout_3_GMP_(late),69,0.39148702959444653,0.6268580623912552,0.2833560266389783,0.8990624393074637
learned_magnitude,Lara_exvivo,Lara_exvivo_context_holdout_4_HSC,69,0.08933138472780416,0.3496584806281537,0.23561632136085378,0.9589540695654742
learned_magnitude,Lara_exvivo,Lara_exvivo_context_holdout_5_MkP,69,0.2636097917427841,0.1455590998430895,0.21658929571830032,0.9828243380988596
learned_full,Lara_exvivo,Lara_exvivo_context_holdout_1_EBMP,69,0.4094629156010231,0.361205831059334,0.24701758894014778,0.9446506611478146
learned_full,Lara_exvivo,Lara_exvivo_context_holdout_2_GMP,69,0.23003288271830474,0.06390965022458982,0.21092265862753232,0.9899333919036414
learned_full,Lara_exvivo,Lara_exvivo_context_holdout_3_GMP_(late),69,0.6215929850200951,0.6268580623912555,0.28335602663897835,0.8990624393074634
learned_full,Lara_exvivo,Lara_exvivo_context_holdout_4_HSC,69,0.5735476799415419,0.3496584806281537,0.23561632136085378,0.9589540695654742
learned_full,Lara_exvivo,Lara_exvivo_context_holdout_5_MkP,69,0.3152356594811838,0.39881380132471606,0.24040948655603384,0.9529408259569758
guarded_full,Lara_exvivo,Lara_exvivo_context_holdout_1_EBMP,69,0.24965290464011697,0.3784006495698407,0.24911782871963567,0.9420158148790024
guarded_full,Lara_exvivo,Lara_exvivo_context_holdout_2_GMP,69,-0.004640116916331751,0.10187289508361808,0.21568909330558736,0.9839536829438995
guarded_full,Lara_exvivo,Lara_exvivo_context_holdout_3_GMP_(late),69,0.2491779320423822,0.6268580623912552,0.2833560266389783,0.8990624393074637
guarded_full,Lara_exvivo,Lara_exvivo_context_holdout_4_HSC,69,0.008220679576178298,0.3496584806281537,0.23561632136085378,0.9589540695654742
guarded_full,Lara_exvivo,Lara_exvivo_context_holdout_5_MkP,69,0.23511143587869934,0.1455590998430895,0.21658929571830032,0.9828243380988596
magnitude,Liang,Liang_context_holdout_1_DM2_1,68,-0.0873382448371951,-0.028885836972603548,0.20414952146080975,1.0021820840863878
magnitude,Liang,Liang_context_holdout_2_DM2_2,68,0.15036072832767108,-0.12917697801271602,0.19578539737554845,1.0127146847863464
magnitude,Liang,Liang_context_holdout_3_DM2_3,68,0.14688704813528267,0.11491509879825001,0.2129535821753045,0.9910954891125795
magnitude,Liang,Liang_context_holdout_4_DM2_4,68,0.4815818605183799,0.6850623978578061,0.24216899750127002,0.9543057068502526
magnitude,Liang,Liang_context_holdout_5_DM2_5,68,0.04805893804634118,-0.09971447388026516,0.19886932906446925,1.00883121525215
magnitude,Liang,Liang_context_holdout_6_DM2_6,68,-0.28705576974462726,-0.12644655232990856,0.1954250607803378,1.0131684419803155
magnitude,Liang,Liang_context_holdout_7_EM2_1,68,0.03889758369278925,-0.11147209147879669,0.19720970445432756,1.0109211129093651
magnitude,Liang,Liang_context_holdout_8_EM2_2,68,0.057754704737183644,-0.10044883042560697,0.19824766572750854,1.0096140505653597
magnitude,Liang,Liang_context_holdout_9_EM2_3,68,0.11863953887849753,0.1663608460803235,0.21474599933741906,0.9888383712047315
fixed_80m_20s,Liang,Liang_context_holdout_1_DM2_1,68,-0.03296273322914145,0.12753070517907783,0.21353278802662232,0.9903661187812903
fixed_80m_20s,Liang,Liang_context_holdout_2_DM2_2,68,0.12973230906686417,-0.13897607712928522,0.19501946315193278,1.013679194549418
fixed_80m_20s,Liang,Liang_context_holdout_3_DM2_3,68,0.17103593078537146,0.0837402811072245,0.2110352591304589,0.9935111551690518
fixed_80m_20s,Liang,Liang_context_holdout_4_DM2_4,68,0.44059741393254265,0.4894056913819342,0.23180537896682793,0.9673561894491796
fixed_80m_20s,Liang,Liang_context_holdout_5_DM2_5,68,0.06010516980016029,-0.1144355754082813,0.1978339785031117,1.0101349900331185
fixed_80m_20s,Liang,Liang_context_holdout_6_DM2_6,68,-0.26282889429920836,-0.12644655232990815,0.19542506078033786,1.0131684419803155
fixed_80m_20s,Liang,Liang_context_holdout_7_EM2_1,68,0.02124349860106221,-0.31429318489847824,0.18143000546768182,1.030791844966623
fixed_80m_20s,Liang,Liang_context_holdout_8_EM2_2,68,0.11976790794844686,0.020019243689134304,0.2074039302773499,0.9980839396507446
fixed_80m_20s,Liang,Liang_context_holdout_9_EM2_3,68,0.12768759484105158,0.23683701412682656,0.21850094437193016,0.9841099219020137
learned_magnitude,Liang,Liang_context_holdout_1_DM2_1,68,-0.24716570599686985,-0.028885836972603548,0.20414952146080975,1.0021820840863878
learned_magnitude,Liang,Liang_context_holdout_2_DM2_2,68,0.24533343512615946,-0.12917697801271602,0.19578539737554845,1.0127146847863464
learned_magnitude,Liang,Liang_context_holdout_3_DM2_3,68,0.3340840554261938,0.11491509879825001,0.2129535821753045,0.9910954891125795
learned_magnitude,Liang,Liang_context_holdout_4_DM2_4,68,0.49624002748406304,0.6850623978578061,0.24216899750127002,0.9543057068502526
learned_magnitude,Liang,Liang_context_holdout_5_DM2_5,68,-0.19513684773065618,-0.09971447388026516,0.19886932906446925,1.00883121525215
learned_magnitude,Liang,Liang_context_holdout_6_DM2_6,68,0.0498530366072451,-0.12644655232990856,0.1954250607803378,1.0131684419803155
learned_magnitude,Liang,Liang_context_holdout_7_EM2_1,68,-0.14463488185670112,-0.11147209147879669,0.19720970445432756,1.0109211129093651
learned_magnitude,Liang,Liang_context_holdout_8_EM2_2,68,-0.06798488376531664,-0.10044883042560697,0.19824766572750854,1.0096140505653597
learned_magnitude,Liang,Liang_context_holdout_9_EM2_3,68,-0.0640531358552506,0.1663608460803235,0.21474599933741906,0.9888383712047315
learned_full,Liang,Liang_context_holdout_1_DM2_1,68,0.388365079970989,0.24068678488423112,0.22032090419905473,0.9818181206382274
learned_full,Liang,Liang_context_holdout_2_DM2_2,68,0.19910676795052867,-0.13897607712928522,0.19501946315193278,1.013679194549418
learned_full,Liang,Liang_context_holdout_3_DM2_3,68,0.4532961789517883,0.4746142732495241,0.23508744747647856,0.963223214288879
learned_full,Liang,Liang_context_holdout_4_DM2_4,68,0.24418826583196546,0.42880018024749506,0.22859520329845812,0.971398632883423
learned_full,Liang,Liang_context_holdout_5_DM2_5,68,0.014543650036263693,-0.04743888811617036,0.2025459260204204,1.0042014264928039
learned_full,Liang,Liang_context_holdout_6_DM2_6,68,-0.06309882811008895,-0.06007198775860533,0.20091432245636687,1.0062560383882788
learned_full,Liang,Liang_context_holdout_7_EM2_1,68,0.09707218383784404,-0.19702139224467669,0.19055387693736273,1.0193025253381358
learned_full,Liang,Liang_context_holdout_8_EM2_2,68,0.25140283238538763,0.29995808705128163,0.2286808878981639,0.9712907337578677
learned_full,Liang,Liang_context_holdout_9_EM2_3,68,-0.060350421804023356,0.211619740664542,0.21715737705838617,0.9858018214820321
guarded_full,Liang,Liang_context_holdout_1_DM2_1,68,-0.0873382448371951,-0.028885836972603548,0.20414952146080975,1.0021820840863878
guarded_full,Liang,Liang_context_holdout_2_DM2_2,68,0.15036072832767108,-0.12917697801271602,0.19578539737554845,1.0127146847863464
guarded_full,Liang,Liang_context_holdout_3_DM2_3,68,0.14688704813528267,0.11491509879825001,0.2129535821753045,0.9910954891125795
guarded_full,Liang,Liang_context_holdout_4_DM2_4,68,0.4815818605183799,0.6850623978578061,0.24216899750127002,0.9543057068502526
guarded_full,Liang,Liang_context_holdout_5_DM2_5,68,0.04805893804634118,-0.09971447388026516,0.19886932906446925,1.00883121525215
guarded_full,Liang,Liang_context_holdout_6_DM2_6,68,-0.28705576974462726,-0.12644655232990856,0.1954250607803378,1.0131684419803155
guarded_full,Liang,Liang_context_holdout_7_EM2_1,68,0.03889758369278925,-0.11147209147879669,0.19720970445432756,1.0109211129093651
guarded_full,Liang,Liang_context_holdout_8_EM2_2,68,0.057754704737183644,-0.10044883042560697,0.19824766572750854,1.0096140505653597
guarded_full,Liang,Liang_context_holdout_9_EM2_3,68,0.11863953887849753,0.1663608460803235,0.21474599933741906,0.9888383712047315
magnitude,Nadig_two_cellline,Nadig_cellline_holdout_1_HepG2,128,0.40204403955319534,0.1496915964045842,0.22269787580472586,0.9754379597744616
magnitude,Nadig_two_cellline,Nadig_cellline_holdout_2_Jurkat,128,0.4031141274491851,0.3261654959917485,0.24213759080732472,0.951043023300612
fixed_80m_20s,Nadig_two_cellline,Nadig_cellline_holdout_1_HepG2,128,0.4113304721299436,0.22549324603082305,0.23260929574788494,0.9630000994536346
fixed_80m_20s,Nadig_two_cellline,Nadig_cellline_holdout_2_Jurkat,128,0.4134391027283948,0.3852274302111627,0.24920197713974482,0.9421779110403203
learned_magnitude,Nadig_two_cellline,Nadig_cellline_holdout_1_HepG2,128,0.35546374290423,0.1496915964045842,0.22269787580472586,0.9754379597744616
learned_magnitude,Nadig_two_cellline,Nadig_cellline_holdout_2_Jurkat,128,0.33595037538912287,0.3261654959917485,0.24213759080732472,0.951043023300612
learned_full,Nadig_two_cellline,Nadig_cellline_holdout_1_HepG2,128,0.1462873100164805,0.2618749271044484,0.2373663705758972,0.9570304369243644
learned_full,Nadig_two_cellline,Nadig_cellline_holdout_2_Jurkat,128,0.3014099981688335,0.3085915113773711,0.24003556996502115,0.9536808533772284
guarded_full,Nadig_two_cellline,Nadig_cellline_holdout_1_HepG2,128,0.40204403955319534,0.1496915964045842,0.22269787580472586,0.9754379597744616
guarded_full,Nadig_two_cellline,Nadig_cellline_holdout_2_Jurkat,128,0.4031141274491851,0.3261654959917485,0.24213759080732472,0.951043023300612
