rule,metric,delta_vs_magnitude,ci95_lower,ci95_upper,positive_studies,n_studies
anchored_evidence,spearman,0.00982300981352642,-0.01731277319082887,0.044676807953038744,3,4
anchored_evidence,utility_20,0.013445601966582788,0.007579270819626074,0.01907763895371939,4,4
anchored_evidence,capture_20,0.0008481130960386607,0.0006200375102859146,0.001083230530425909,4,4
anchored_evidence,remaining_error_80,-7.100147409550527e-05,-0.00010690901766861882,-3.5487636938360406e-05,0,4
fixed_80m_20s,spearman,0.002959085191263096,-0.0030993913032469345,0.00832016373673971,3,4
fixed_80m_20s,utility_20,0.0037779835051622024,0.000692357328435339,0.006863609681889066,3,4
fixed_80m_20s,capture_20,0.000292752267528229,8.542595518141322e-05,0.0005072940563029885,4,4
fixed_80m_20s,remaining_error_80,-2.9539914884586793e-05,-6.802783473308129e-05,-5.460272368846761e-06,0,4
magnitude,spearman,0.0,0.0,0.0,0,4
magnitude,utility_20,0.0,0.0,0.0,0,4
magnitude,capture_20,0.0,0.0,0.0,0,4
magnitude,remaining_error_80,0.0,0.0,0.0,0,4
one_sided_s0.25,spearman,0.0034200530489770023,0.00010867086694145434,0.006461151316434162,3,4
one_sided_s0.25,utility_20,0.0012356253235165093,0.0,0.0024872635262132153,2,4
one_sided_s0.25,capture_20,7.696385548252443e-05,0.0,0.00016912325605084044,2,4
one_sided_s0.25,remaining_error_80,-9.966348454671509e-06,-2.6859210945810036e-05,0.0,0,4
one_sided_s0.50,spearman,0.008877413502080628,-0.003926788251321062,0.024511651862409972,3,4
one_sided_s0.50,utility_20,0.008718733199501241,0.00327905578674903,0.014158410612253453,4,4
one_sided_s0.50,capture_20,0.0005071224048114956,0.00018608280383164422,0.0008281620057913469,4,4
one_sided_s0.50,remaining_error_80,-3.8949047149823904e-05,-0.00010132525219704556,1.2463682295110051e-05,1,4
one_sided_s0.75,spearman,0.013297485345691903,-0.012248541413810834,0.04144990038716198,3,4
one_sided_s0.75,utility_20,0.014457480586078444,0.006002032765792226,0.022912928406364663,4,4
one_sided_s0.75,capture_20,0.000981691353248465,0.0004219030907757007,0.0014715055039699124,4,4
one_sided_s0.75,remaining_error_80,-8.49151004293728e-05,-0.00019814023768230382,7.313768077788982e-06,1,4
one_sided_s1.00,spearman,0.01379132879614485,-0.029183344742318137,0.05743243169054921,3,4
one_sided_s1.00,utility_20,0.022856752159748903,0.0009231696091776126,0.03951902178233818,3,4
one_sided_s1.00,capture_20,0.0018738455515408814,0.0014200171752434265,0.0023558025659637036,4,4
one_sided_s1.00,remaining_error_80,-0.00016947132951308612,-0.00025553462428618,-8.340803473999223e-05,0,4
scenario_a,spearman,0.002601488361843138,-0.006783274272155554,0.008197857758615257,3,4
scenario_a,utility_20,0.006054877132559464,0.0006688145247231436,0.012821091384675742,3,4
scenario_a,capture_20,0.00047378077691512255,0.00011295730853115582,0.0008346042452990893,3,4
scenario_a,remaining_error_80,-4.162705582643443e-05,-8.076790204556393e-05,-7.144614423987977e-06,1,4
scenario_b,spearman,0.00990032269498646,-0.0008119238138964702,0.0218890797442806,3,4
scenario_b,utility_20,0.009146760207076651,0.004050953126014056,0.015176489175877453,4,4
scenario_b,capture_20,0.0005711063455931462,0.00036630816287797074,0.0008309583016335373,4,4
scenario_b,remaining_error_80,-5.154488182411952e-05,-0.00010645502335453888,-2.0973800586328653e-05,0,4
scenario_c,spearman,0.001354213267632215,-0.010538402883594034,0.008736084004435013,3,4
scenario_c,utility_20,0.008634381318321352,-0.004970249159279211,0.017616317276183624,3,4
scenario_c,capture_20,0.00044599710196769476,-0.0006928300501045856,0.0010498877689027741,3,4
scenario_c,remaining_error_80,-5.5137545939184726e-05,-0.00012702230427280928,2.863076338664207e-05,1,4
scenario_d,spearman,0.008214174563129006,-0.008669225801165664,0.021022283128596914,3,4
scenario_d,utility_20,0.012858253540525388,-0.004289395061635101,0.024957365542018203,3,4
scenario_d,capture_20,0.0006402568699841876,-0.0006083910356252734,0.0014174952865626672,3,4
scenario_d,remaining_error_80,-7.096814969573609e-05,-0.0001521782523965457,2.098638916541752e-05,1,4
