method,baseline,budget,metric,delta,ci95_lower,ci95_upper,positive_studies,n_studies
M,magnitude,0.1,utility,0.0,0.0,0.0,0,4
M,magnitude,0.1,capture,0.0,0.0,0.0,0,4
M,magnitude,0.1,spearman,0.0,0.0,0.0,0,4
M,magnitude,0.1,remaining_relative_error,0.0,0.0,0.0,0,4
MD,magnitude,0.1,utility,0.000397523243057786,-0.03559924835662823,0.022088260299744415,3,4
MD,magnitude,0.1,capture,-0.00011887157758589534,-0.0019361358048071917,0.0009512903342388246,3,4
MD,magnitude,0.1,spearman,0.0055302072688279275,0.0003876931035518838,0.01057754417709185,3,4
MD,magnitude,0.1,remaining_relative_error,0.00011514591451339262,-0.0010167718580004759,0.0020709164429753013,1,4
MDH,magnitude,0.1,utility,-0.005044047907477797,-0.027710975315499653,0.01762287950054406,2,4
MDH,magnitude,0.1,capture,-0.0005581564387207479,-0.0018559518816962661,0.0007396390042547704,2,4
MDH,magnitude,0.1,spearman,0.005922235527786257,-0.00019543657039845785,0.012944146791727992,3,4
MDH,magnitude,0.1,remaining_relative_error,0.0006081796093537206,-0.0008377165877441195,0.0020540758064515607,2,4
MDH_condition,magnitude,0.1,utility,-0.002576961791135382,-0.043636303442674426,0.028644143126224236,3,4
MDH_condition,magnitude,0.1,capture,-0.00020647231381266604,-0.0023692693093101368,0.0014383651283184778,3,4
MDH_condition,magnitude,0.1,spearman,0.004165806927968731,-0.0028741346943848833,0.00933985838402114,3,4
MDH_condition,magnitude,0.1,remaining_relative_error,0.00018625796144824958,-0.0016450228029021574,0.0025560392133831544,1,4
M,M,0.1,utility,0.0,0.0,0.0,0,4
M,M,0.1,capture,0.0,0.0,0.0,0,4
M,M,0.1,spearman,0.0,0.0,0.0,0,4
M,M,0.1,remaining_relative_error,0.0,0.0,0.0,0,4
MD,M,0.1,utility,0.000397523243057786,-0.03559924835662823,0.022088260299744415,3,4
MD,M,0.1,capture,-0.00011887157758589534,-0.0019361358048071917,0.0009512903342388246,3,4
MD,M,0.1,spearman,0.0055302072688279275,0.0003876931035518838,0.01057754417709185,3,4
MD,M,0.1,remaining_relative_error,0.00011514591451339262,-0.0010167718580004759,0.0020709164429753013,1,4
MDH,M,0.1,utility,-0.005044047907477797,-0.027710975315499653,0.01762287950054406,2,4
MDH,M,0.1,capture,-0.0005581564387207479,-0.0018559518816962661,0.0007396390042547704,2,4
MDH,M,0.1,spearman,0.005922235527786257,-0.00019543657039845785,0.012944146791727992,3,4
MDH,M,0.1,remaining_relative_error,0.0006081796093537206,-0.0008377165877441195,0.0020540758064515607,2,4
MDH_condition,M,0.1,utility,-0.002576961791135382,-0.043636303442674426,0.028644143126224236,3,4
MDH_condition,M,0.1,capture,-0.00020647231381266604,-0.0023692693093101368,0.0014383651283184778,3,4
MDH_condition,M,0.1,spearman,0.004165806927968731,-0.0028741346943848833,0.00933985838402114,3,4
MDH_condition,M,0.1,remaining_relative_error,0.00018625796144824958,-0.0016450228029021574,0.0025560392133831544,1,4
M,MD,0.1,utility,-0.000397523243057786,-0.022088260299744415,0.03559924835662823,1,4
M,MD,0.1,capture,0.00011887157758589534,-0.0009512903342388246,0.0019361358048071917,1,4
M,MD,0.1,spearman,-0.0055302072688279275,-0.01057754417709185,-0.0003876931035518838,1,4
M,MD,0.1,remaining_relative_error,-0.00011514591451339262,-0.0020709164429753013,0.0010167718580004759,3,4
MD,MD,0.1,utility,0.0,0.0,0.0,0,4
MD,MD,0.1,capture,0.0,0.0,0.0,0,4
MD,MD,0.1,spearman,0.0,0.0,0.0,0,4
MD,MD,0.1,remaining_relative_error,0.0,0.0,0.0,0,4
MDH,MD,0.1,utility,-0.005441571150535583,-0.04450678042535174,0.025262745259258104,2,4
MDH,MD,0.1,capture,-0.0004392848611348525,-0.0022682087813829105,0.0008389459315342636,2,4
MDH,MD,0.1,spearman,0.0003920282589583296,-0.0014140741209907187,0.0022131253006392737,2,4
MDH,MD,0.1,remaining_relative_error,0.000493033694840328,-0.0009526656263686983,0.0025607764571991543,2,4
MDH_condition,MD,0.1,utility,-0.002974485034193168,-0.016842127116929236,0.011953206215591344,2,4
MDH_condition,MD,0.1,capture,-8.76007362267707e-05,-0.0007358064720711793,0.0007226772045701921,1,4
MDH_condition,MD,0.1,spearman,-0.0013644003408591968,-0.004336179955534175,0.0028395667501588326,1,4
MDH_condition,MD,0.1,remaining_relative_error,7.111204693485695e-05,-0.0008311890930491894,0.000783633612243706,3,4
M,MDH,0.1,utility,0.005044047907477797,-0.01762287950054406,0.027710975315499653,2,4
M,MDH,0.1,capture,0.0005581564387207479,-0.0007396390042547704,0.0018559518816962661,2,4
M,MDH,0.1,spearman,-0.005922235527786257,-0.012944146791727992,0.00019543657039845785,1,4
M,MDH,0.1,remaining_relative_error,-0.0006081796093537206,-0.0020540758064515607,0.0008377165877441195,2,4
MD,MDH,0.1,utility,0.005441571150535583,-0.025262745259258104,0.04450678042535174,2,4
MD,MDH,0.1,capture,0.0004392848611348525,-0.0008389459315342636,0.0022682087813829105,2,4
MD,MDH,0.1,spearman,-0.0003920282589583296,-0.0022131253006392737,0.0014140741209907187,2,4
MD,MDH,0.1,remaining_relative_error,-0.000493033694840328,-0.0025607764571991543,0.0009526656263686983,2,4
MDH,MDH,0.1,utility,0.0,0.0,0.0,0,4
MDH,MDH,0.1,capture,0.0,0.0,0.0,0,4
MDH,MDH,0.1,spearman,0.0,0.0,0.0,0,4
MDH,MDH,0.1,remaining_relative_error,0.0,0.0,0.0,0,4
MDH_condition,MDH,0.1,utility,0.002467086116342415,-0.02941954783323482,0.030240309604003465,3,4
MDH_condition,MDH,0.1,capture,0.0003516841249080818,-0.0010418738423881857,0.0016477294839388826,3,4
MDH_condition,MDH,0.1,spearman,-0.0017564285998175264,-0.0055158052725141765,0.002002948072879124,2,4
MDH_condition,MDH,0.1,remaining_relative_error,-0.00042192164790547104,-0.0019233603491503881,0.0011699951774984951,1,4
M,magnitude,0.2,utility,0.0,0.0,0.0,0,4
M,magnitude,0.2,capture,0.0,0.0,0.0,0,4
M,magnitude,0.2,spearman,0.0,0.0,0.0,0,4
M,magnitude,0.2,remaining_relative_error,0.0,0.0,0.0,0,4
