dataset,endpoint,score,n_folds,n_gene_clusters,fold_macro_spearman,ci95_low,ci95_high,delta_vs_magnitude,delta_vs_magnitude_ci95_low,delta_vs_magnitude_ci95_high,delta_vs_novelty,delta_vs_novelty_ci95_low,delta_vs_novelty_ci95_high,delta_vs_magnitude_plus_novelty,delta_vs_magnitude_plus_novelty_ci95_low,delta_vs_magnitude_plus_novelty_ci95_high
Nadig,direction_error_rank_target,directional_risk_frozen,2,128,0.7917892105871757,0.7471627230640316,0.8265955266784184,0.40618112128448125,0.31701571643450377,0.48204489458959765,0.3677937457930798,0.30738304790340115,0.430767103138588,0.26073812881403347,0.1972843203863467,0.3223430166965142
Nadig,direction_error_rank_target,magnitude,2,128,0.3856080893026944,0.3013836838227513,0.4758662728922848,0.0,0.0,0.0,-0.038387375491401476,-0.13278233445325288,0.06500684678312312,-0.14544299247044779,-0.19535523410740874,-0.09071524358839758
Nadig,direction_error_rank_target,novelty,2,128,0.4239954647940959,0.3536334131016537,0.4923818549797018,0.038387375491401476,-0.06500684678312312,0.13278233445325274,0.0,0.0,0.0,-0.10705561697904631,-0.17443200985391863,-0.04620997548396213
Nadig,direction_error_rank_target,disagreement,2,128,0.3155223717552531,0.2227739500313187,0.40583475196376356,-0.0700857175474413,-0.12751896760872264,-0.024496766632128835,-0.10847309303884278,-0.21079043034586828,-0.001694780517625286,-0.2155287100178891,-0.2868052892558347,-0.1495878088279131
Nadig,direction_error_rank_target,magnitude_plus_novelty,2,128,0.5310510817731422,0.45673885099681816,0.5963452762435751,0.14544299247044779,0.09071524358839747,0.19535523410740874,0.10705561697904631,0.046209975483962114,0.1744320098539186,0.0,0.0,0.0
Nadig,error_centered_cosine_mean,directional_risk_frozen,2,128,0.7934665639490679,0.7491565902217581,0.8283331325019697,0.40500974265190315,0.32016579398171613,0.47930591100334524,0.36941868168043956,0.3090480652341374,0.42904030494068257,0.25976942608569575,0.1977756687857398,0.3161625197412054
Nadig,error_centered_cosine_mean,magnitude,2,128,0.38845682129716474,0.3009028506973736,0.47661599535732246,0.0,0.0,0.0,-0.035591060971463584,-0.12553419527940482,0.07114917511010069,-0.1452403165662074,-0.1993825483786071,-0.09171240764091655
Nadig,error_centered_cosine_mean,novelty,2,128,0.42404788226862833,0.35273729934545084,0.48922359538254523,0.035591060971463584,-0.07114917511010078,0.12553419527940474,0.0,0.0,0.0,-0.10964925559474381,-0.17834257956073551,-0.05030458195257371
Nadig,error_centered_cosine_mean,disagreement,2,128,0.31866387706514687,0.22116127417870682,0.40888641054147024,-0.06979294423201787,-0.12730266834965268,-0.022038693396116072,-0.10538400520348146,-0.2106752446672077,0.007640511592923427,-0.21503326079822527,-0.28755098791983225,-0.14920862121188852
Nadig,error_centered_cosine_mean,magnitude_plus_novelty,2,128,0.5336971378633721,0.4637986370418626,0.599279692426659,0.1452403165662074,0.09171240764091651,0.19938254837860708,0.10964925559474381,0.05030458195257368,0.1783425795607355,0.0,0.0,0.0
Nadig,error_centered_pearson_mean,directional_risk_frozen,2,128,0.7894756071050005,0.7442598676649459,0.8247070020654438,0.4066683847479621,0.3217539458899309,0.483103241229098,0.3678206294289187,0.3085407029503687,0.43131792925826967,0.26245650328599823,0.1964687525368949,0.3251779717212592
Nadig,error_centered_pearson_mean,magnitude,2,128,0.38280722235703846,0.295932795663789,0.4745406983657402,0.0,0.0,0.0,-0.03884775531904339,-0.13090289017285683,0.06140704984629411,-0.14421188146196384,-0.1971589081714208,-0.09067552304217112
Nadig,error_centered_pearson_mean,novelty,2,128,0.42165497767608184,0.3521111186219375,0.489822794702309,0.03884775531904339,-0.061407049846294116,0.13090289017285678,0.0,0.0,0.0,-0.10536412614292046,-0.17326389855390403,-0.04933435384033637
Nadig,error_centered_pearson_mean,disagreement,2,128,0.31262600756865244,0.21396881708182075,0.40736057480546656,-0.07018121478838601,-0.12422627905495925,-0.023756847873876163,-0.1090289701074294,-0.2124728865475273,-0.0053944507042694165,-0.21439309625034986,-0.28434317506896445,-0.1518607942325454
Nadig,error_centered_pearson_mean,magnitude_plus_novelty,2,128,0.5270191038190023,0.45529857225646336,0.6005791122797162,0.14421188146196384,0.09067552304217112,0.19715890817142073,0.10536412614292046,0.049334353840336326,0.173263898553904,0.0,0.0,0.0
