dataset,fold_id,endpoint,score,n_tasks,spearman
Nadig,E237_cellline_holdout_1_HepG2,error_centered_pearson_mean,directional_risk_frozen,166,0.7918711877916759
Nadig,E237_cellline_holdout_1_HepG2,error_centered_pearson_mean,magnitude,166,0.3974145903155355
Nadig,E237_cellline_holdout_1_HepG2,error_centered_pearson_mean,novelty,166,0.4249294786974613
Nadig,E237_cellline_holdout_1_HepG2,error_centered_pearson_mean,disagreement,166,0.28967475782279917
Nadig,E237_cellline_holdout_1_HepG2,error_centered_pearson_mean,magnitude_plus_novelty,166,0.5402544763020376
Nadig,E237_cellline_holdout_1_HepG2,error_centered_cosine_mean,directional_risk_frozen,166,0.8024975405170308
Nadig,E237_cellline_holdout_1_HepG2,error_centered_cosine_mean,magnitude,166,0.41322087478930425
Nadig,E237_cellline_holdout_1_HepG2,error_centered_cosine_mean,novelty,166,0.4259370174732703
Nadig,E237_cellline_holdout_1_HepG2,error_centered_cosine_mean,disagreement,166,0.3045523411009307
Nadig,E237_cellline_holdout_1_HepG2,error_centered_cosine_mean,magnitude_plus_novelty,166,0.5543569226852361
Nadig,E237_cellline_holdout_1_HepG2,direction_error_rank_target,directional_risk_frozen,166,0.7981345460001007
Nadig,E237_cellline_holdout_1_HepG2,direction_error_rank_target,magnitude,166,0.40610121876669264
Nadig,E237_cellline_holdout_1_HepG2,direction_error_rank_target,novelty,166,0.42695323703749266
Nadig,E237_cellline_holdout_1_HepG2,direction_error_rank_target,disagreement,166,0.2976036267921243
Nadig,E237_cellline_holdout_1_HepG2,direction_error_rank_target,magnitude_plus_novelty,166,0.5485826760295756
Nadig,E237_cellline_holdout_2_Jurkat,error_centered_pearson_mean,directional_risk_frozen,166,0.7870800264183252
Nadig,E237_cellline_holdout_2_Jurkat,error_centered_pearson_mean,magnitude,166,0.3681998543985414
Nadig,E237_cellline_holdout_2_Jurkat,error_centered_pearson_mean,novelty,166,0.4183804766547024
Nadig,E237_cellline_holdout_2_Jurkat,error_centered_pearson_mean,disagreement,166,0.3355772573145058
Nadig,E237_cellline_holdout_2_Jurkat,error_centered_pearson_mean,magnitude_plus_novelty,166,0.513783731335967
Nadig,E237_cellline_holdout_2_Jurkat,error_centered_cosine_mean,directional_risk_frozen,166,0.7844355873811051
Nadig,E237_cellline_holdout_2_Jurkat,error_centered_cosine_mean,magnitude,166,0.36369276780502524
Nadig,E237_cellline_holdout_2_Jurkat,error_centered_cosine_mean,novelty,166,0.42215874706398643
Nadig,E237_cellline_holdout_2_Jurkat,error_centered_cosine_mean,disagreement,166,0.332775413029363
Nadig,E237_cellline_holdout_2_Jurkat,error_centered_cosine_mean,magnitude_plus_novelty,166,0.5130373530415083
Nadig,E237_cellline_holdout_2_Jurkat,direction_error_rank_target,directional_risk_frozen,166,0.7854438751742506
Nadig,E237_cellline_holdout_2_Jurkat,direction_error_rank_target,magnitude,166,0.3651149598386962
Nadig,E237_cellline_holdout_2_Jurkat,direction_error_rank_target,novelty,166,0.42103769255069917
Nadig,E237_cellline_holdout_2_Jurkat,direction_error_rank_target,disagreement,166,0.3334411167183819
Nadig,E237_cellline_holdout_2_Jurkat,direction_error_rank_target,magnitude_plus_novelty,166,0.513519487516709
