perturbation,selection_hash,n_cells_HepG2,n_cells_Jurkat
UBQLN4,00f4d4d3897171e36ffc74d015751e36695f982dfd5881d707c237b39cee1964,76,69
RPS27,011f704a3f831c6dd9211a81a12b98b156e2251267490385e81ee533f94cde99,91,64
CENPT,01fad3ac2b0d8dcb0f9dccf2235e4799e9f1cceb02cc1686194093240e440f5d,70,106
CHMP6,026c8a5a98a37a7de62b8e1886b13a0ffa77c0c48fbb6a189386999dcebeac00,67,139
EGLN2,02d6a329d4f1f8fa6b778d057ceba72232fa5650a01e1160544442880e249afe,55,148
EIF4G2,035523f50a51936c71f2750685a3370198aeeff3a267bf3c6499fab36300df70,65,129
HSPA9,03dad7d7028009bececce3ee711dfbca213984d75be0350ddd8d1c0632680231,104,64
MRPL27,04a8e64f18dd8f176384b24622e36ba461745aef0f6006d8c072bce619345744,60,169
SMC5,053092a1d83bce9c44f1caff2b9541f8110e6e15e24e1d463fb6ad5a7e05df1e,75,68
POLR3E,057f49265c1b72d745b7eb4431b9ca6a326650949fedaa23d11b753839ea266e,54,91
GTF2E2,05aa97063fccbb37025bfff89e24bdd4e42b1113856ba508e5f3a7939f6493f4,476,744
NISCH,05eef4858e95fd69f298bf6442570c6e8006f82e38c3218f5f38da57b582d451,74,127
RNF123,05f5fb55fc68092385452fa7a7e70f03a11d395fe9fbc856baabd2d51eb83924,56,180
TNPO3,066941ea7344988eabd8ae9529aaa2901201a23df9fa954fe79b3e1165e6f0f4,56,93
TSEN2,067016c2b4be8d775b1659087750023e9d391b7f2a10649db55096a0f859ad5b,58,118
SBNO1,06a54547572729597a843b2f661f17a7dd788c5d9fc0ba709bdd73fc57c11dc5,65,99
MED8,0708e41d04b35229f47db3561006b02602eda4977c8f31c2f7cf60fd6d667779,76,109
KTI12,07887a2ceea89a9ffaa6371384da59727d90ba3be2014537c9833ecf39344b2e,72,195
DERL2,07a4d82964a5878066df3bdc6943b48416d9cbf32316b6383b943751a19bd027,73,78
RPS15,08ad97ba50e1a019f0f44b4ce8bb6bcd6a14187d14b96859b5ac418266388db3,57,123
USF2,08c7e0263acfac785f55b5a7f917e1c4ba5335b2dc5a2dd5132a5f10f14d9d7c,54,141
SLC7A6OS,0944213dfeb2a4c1c13775a9b959a378b93c66e1fb001feca459b495911afd95,51,56
RPL35,09cd0295c6bfe2d88097e216c0f6f26c86f802b5c9f389ac722f851b70ebdf73,82,85
LONP1,0aead4eccb1fb62aa6a91ffe3c49f27dd61bfabb4bf73a0008c9b44a7e0f36df,58,63
RPP21,0bef60a40d3e048cee42f76c4b74648afc9a55f006dc5acda77d0afe05b44d2d,82,198
PSMD14,0c02d1b02dcd6cebf0496e4e11e367152de03d04d9d00d294c206462b1adb1ed,75,50
POP1,0c71dbc12bacea7c3756eafd5cc931d624ba02cc511c88f65fa573414fcb7563,58,88
DOLK,0c7db5a20c5bf0a7b5794bc2593904869928b8ab9665c3f2e2d82a76e542b70b,73,82
SRP9,0cc18cda51f8d7b1695c2cc6aed5b2c62eec4b5a0039721d2eb4377da526c72e,87,167
ACIN1,0cd80bc34276761f6bbcfdf4dd401dace09501c0fd947eb6d81226a7509b2fc7,78,223
PGAM5,0d7ad11993e1090471bbe7fd2ed611a4e490f466b088e69a9d6005c2f1fc8cf8,50,97
INTS3,0da0d3499c60fafad6cd6bcc955791f514d82b3a39e025a8fca3fa9ab5d0de5b,74,92
