dataset,endpoint,score,n_folds,n_gene_clusters,fold_macro_spearman,ci95_low,ci95_high,delta_vs_magnitude,delta_vs_magnitude_ci95_low,delta_vs_magnitude_ci95_high,delta_vs_source_plus_magnitude_plus_novelty,delta_vs_source_plus_magnitude_plus_novelty_ci95_low,delta_vs_source_plus_magnitude_plus_novelty_ci95_high
Nadig,direction_error_rank_target,directional_risk_frozen,2,128,0.7591381639693893,0.7062082778071088,0.7999784239997054,0.39220446310838036,0.2959437071989877,0.4853831147819141,0.047074656362821043,0.02559661795039925,0.06952803443561462
Nadig,direction_error_rank_target,magnitude,2,128,0.3669337008610089,0.26591721067147034,0.4617325213688731,0.0,0.0,0.0,-0.3451298067455593,-0.4277141809770675,-0.25797833593002634
Nadig,direction_error_rank_target,novelty,2,128,0.44490097813392826,0.3699842486520172,0.5136895967907842,0.07796727727291936,-0.042954864384832224,0.19439494894804998,-0.26716252947263996,-0.32654825449143426,-0.20677131478847025
Nadig,direction_error_rank_target,disagreement,2,128,0.29230002765310303,0.18846565357623252,0.3957442241759455,-0.07463367320790587,-0.12075262234646532,-0.03196350817025702,-0.4197634799534652,-0.5117326015375016,-0.3218985785290053
Nadig,direction_error_rank_target,magnitude_plus_novelty,2,128,0.5329083376507419,0.45518637515834165,0.5989322116243992,0.16597463678973295,0.10812594228304598,0.22830975097429468,-0.17915516995582637,-0.2328869493210995,-0.13147251756457665
Nadig,direction_error_rank_target,source_seen,2,128,0.7275744642377846,0.6797155915707733,0.7630517891171533,0.3606407633767757,0.23855992861704234,0.4762431785255954,0.015510956631216377,-0.0399088893248989,0.06788524471855509
Nadig,direction_error_rank_target,source_plus_magnitude_plus_novelty,2,128,0.7120635076065682,0.6598985363003267,0.7559277849000012,0.3451298067455593,0.2579783359300263,0.42771418097706737,0.0,0.0,0.0
Nadig,error_centered_cosine_mean,directional_risk_frozen,2,128,0.7609591332122175,0.711343866786433,0.80144088070065,0.39135310977169435,0.29332692996184584,0.4831533131404692,0.0465672622690122,0.02686012634312733,0.06838995602901272
Nadig,error_centered_cosine_mean,magnitude,2,128,0.3696060234405232,0.27026818966892696,0.46840036481903924,0.0,0.0,0.0,-0.34478584750268215,-0.4278546324145595,-0.25525175066592354
Nadig,error_centered_cosine_mean,novelty,2,128,0.4465915623773555,0.37111019523603117,0.5131174465910047,0.0769855389368323,-0.04880070181886585,0.18949238474615132,-0.26780030856584985,-0.33125837994995444,-0.20859046866147388
Nadig,error_centered_cosine_mean,disagreement,2,128,0.2945779853217989,0.1933575706668388,0.3992753899561517,-0.07502803811872427,-0.12155173384705525,-0.03049725082766356,-0.4198138856214064,-0.5136780459072074,-0.31959076921889873
Nadig,error_centered_cosine_mean,magnitude_plus_novelty,2,128,0.5360670771603504,0.46039682148967415,0.6058895210929055,0.16646105371982722,0.10616433593324465,0.22707629680333005,-0.17832479378285493,-0.22682747670203182,-0.12912336250384635
Nadig,error_centered_cosine_mean,source_seen,2,128,0.7272592565003024,0.6791934185631926,0.7610820011331699,0.35765323305977925,0.23501940849217606,0.46992090609346465,0.0128673855570971,-0.04378881046110449,0.06548999273159012
Nadig,error_centered_cosine_mean,source_plus_magnitude_plus_novelty,2,128,0.7143918709432053,0.6641099317000954,0.7575212169603244,0.34478584750268215,0.25525175066592354,0.42785463241455945,0.0,0.0,0.0
Nadig,error_centered_pearson_mean,directional_risk_frozen,2,128,0.7560060601688191,0.7028459769893984,0.795989719286987,0.3930740927782989,0.29378757817591017,0.48208502216790994,0.04723955446125616,0.026545061703975234,0.06839750048550966
Nadig,error_centered_pearson_mean,magnitude,2,128,0.3629319673905202,0.2676210471626257,0.4552230922703448,0.0,0.0,0.0,-0.34583453831704275,-0.42599632658063574,-0.2590918064684514
Nadig,error_centered_pearson_mean,novelty,2,128,0.4429392343150478,0.37278174082093524,0.5091008038587705,0.08000726692452759,-0.03764479800846848,0.19468233804799992,-0.26582727139251516,-0.3229311252511463,-0.20553323905216656
Nadig,error_centered_pearson_mean,disagreement,2,128,0.28734775793429573,0.1839470503646725,0.39073532111462433,-0.07558420945622446,-0.12351405375047314,-0.031853107963720664,-0.4214187477732672,-0.5133322719903585,-0.32358729807440534
Nadig,error_centered_pearson_mean,magnitude_plus_novelty,2,128,0.528736415203833,0.4532520946744545,0.5951053580992026,0.16580444781331277,0.10761371732402403,0.22762505713265732,-0.18003009050372998,-0.23035101101560979,-0.13115491548222102
Nadig,error_centered_pearson_mean,source_seen,2,128,0.7277080896147853,0.682255392833256,0.7619093043232793,0.3647761222242651,0.24606044787688383,0.4757378459428466,0.018941583907222337,-0.03707062717936908,0.07079628060529153
Nadig,error_centered_pearson_mean,source_plus_magnitude_plus_novelty,2,128,0.7087665057075629,0.6573169233103712,0.7515605543605381,0.34583453831704275,0.25909180646845137,0.42599632658063574,0.0,0.0,0.0
