dataset,fold_id,endpoint,score,n_tasks,spearman
Nadig,E239_cellline_holdout_1_HepG2,error_centered_pearson_mean,directional_risk_frozen,166,0.7876474870631137
Nadig,E239_cellline_holdout_1_HepG2,error_centered_pearson_mean,magnitude,166,0.41608830531707675
Nadig,E239_cellline_holdout_1_HepG2,error_centered_pearson_mean,novelty,166,0.3795902337860546
Nadig,E239_cellline_holdout_1_HepG2,error_centered_pearson_mean,disagreement,166,0.2801332712450237
Nadig,E239_cellline_holdout_1_HepG2,error_centered_pearson_mean,magnitude_plus_novelty,166,0.5381388503757991
Nadig,E239_cellline_holdout_1_HepG2,error_centered_pearson_mean,source_seen,166,0.7277080896147853
Nadig,E239_cellline_holdout_1_HepG2,error_centered_pearson_mean,source_plus_magnitude_plus_novelty,166,0.731119085000548
Nadig,E239_cellline_holdout_1_HepG2,error_centered_cosine_mean,directional_risk_frozen,166,0.7971181404988491
Nadig,E239_cellline_holdout_1_HepG2,error_centered_cosine_mean,magnitude,166,0.42608627214355527
Nadig,E239_cellline_holdout_1_HepG2,error_centered_cosine_mean,novelty,166,0.3899175062380972
Nadig,E239_cellline_holdout_1_HepG2,error_centered_cosine_mean,disagreement,166,0.2916974375455005
Nadig,E239_cellline_holdout_1_HepG2,error_centered_cosine_mean,magnitude_plus_novelty,166,0.5532684634396884
Nadig,E239_cellline_holdout_1_HepG2,error_centered_cosine_mean,source_seen,166,0.7268104233858196
Nadig,E239_cellline_holdout_1_HepG2,error_centered_cosine_mean,source_plus_magnitude_plus_novelty,166,0.7425193529877159
Nadig,E239_cellline_holdout_1_HepG2,direction_error_rank_target,directional_risk_frozen,166,0.7930159452918911
Nadig,E239_cellline_holdout_1_HepG2,direction_error_rank_target,magnitude,166,0.4213965881137696
Nadig,E239_cellline_holdout_1_HepG2,direction_error_rank_target,novelty,166,0.38488915254271944
Nadig,E239_cellline_holdout_1_HepG2,direction_error_rank_target,disagreement,166,0.28744393068484037
Nadig,E239_cellline_holdout_1_HepG2,direction_error_rank_target,magnitude_plus_novelty,166,0.5460277899358497
Nadig,E239_cellline_holdout_1_HepG2,direction_error_rank_target,source_seen,166,0.727426520146384
Nadig,E239_cellline_holdout_1_HepG2,direction_error_rank_target,source_plus_magnitude_plus_novelty,166,0.7371604499020955
Nadig,E239_cellline_holdout_2_Jurkat,error_centered_pearson_mean,directional_risk_frozen,166,0.7243646332745245
Nadig,E239_cellline_holdout_2_Jurkat,error_centered_pearson_mean,magnitude,166,0.30977562946396364
Nadig,E239_cellline_holdout_2_Jurkat,error_centered_pearson_mean,novelty,166,0.506288234844041
Nadig,E239_cellline_holdout_2_Jurkat,error_centered_pearson_mean,disagreement,166,0.2945622446235678
Nadig,E239_cellline_holdout_2_Jurkat,error_centered_pearson_mean,magnitude_plus_novelty,166,0.5193339800318668
Nadig,E239_cellline_holdout_2_Jurkat,error_centered_pearson_mean,source_seen,166,0.7277080896147853
Nadig,E239_cellline_holdout_2_Jurkat,error_centered_pearson_mean,source_plus_magnitude_plus_novelty,166,0.6864139264145778
Nadig,E239_cellline_holdout_2_Jurkat,error_centered_cosine_mean,directional_risk_frozen,166,0.724800125925586
Nadig,E239_cellline_holdout_2_Jurkat,error_centered_cosine_mean,magnitude,166,0.3131257747374911
Nadig,E239_cellline_holdout_2_Jurkat,error_centered_cosine_mean,novelty,166,0.5032656185166138
Nadig,E239_cellline_holdout_2_Jurkat,error_centered_cosine_mean,disagreement,166,0.29745853309809733
Nadig,E239_cellline_holdout_2_Jurkat,error_centered_cosine_mean,magnitude_plus_novelty,166,0.5188656908810123
Nadig,E239_cellline_holdout_2_Jurkat,error_centered_cosine_mean,source_seen,166,0.7277080896147853
Nadig,E239_cellline_holdout_2_Jurkat,error_centered_cosine_mean,source_plus_magnitude_plus_novelty,166,0.6862643888986949
Nadig,E239_cellline_holdout_2_Jurkat,direction_error_rank_target,directional_risk_frozen,166,0.7252603826468873
Nadig,E239_cellline_holdout_2_Jurkat,direction_error_rank_target,magnitude,166,0.3124708136082482
Nadig,E239_cellline_holdout_2_Jurkat,direction_error_rank_target,novelty,166,0.504912803725137
Nadig,E239_cellline_holdout_2_Jurkat,direction_error_rank_target,disagreement,166,0.2971561246213657
Nadig,E239_cellline_holdout_2_Jurkat,direction_error_rank_target,magnitude_plus_novelty,166,0.5197888853656341
Nadig,E239_cellline_holdout_2_Jurkat,direction_error_rank_target,source_seen,166,0.7277224083291851
Nadig,E239_cellline_holdout_2_Jurkat,direction_error_rank_target,source_plus_magnitude_plus_novelty,166,0.6869665653110409
