dataset,modality,fold_id,heldout_context,source_contexts,split,setting,context,cell_line,perturbation,n_cells,perturbation_seen_in_training,context_seen_in_training,selected_without_expression_values,disjoint_from_E136_and_E237,in_train_fraction_100
Nadig_E239_disjoint,CRISPRi_gene_knockdown_cellline_shift,E239_cellline_holdout_1_HepG2,HepG2,Jurkat,test,context_unseen,HepG2,HepG2,EIF3A,63,True,False,True,True,False
Nadig_E239_disjoint,CRISPRi_gene_knockdown_cellline_shift,E239_cellline_holdout_1_HepG2,HepG2,Jurkat,test,context_unseen,HepG2,HepG2,ARPC2,99,True,False,True,True,False
Nadig_E239_disjoint,CRISPRi_gene_knockdown_cellline_shift,E239_cellline_holdout_1_HepG2,HepG2,Jurkat,test,context_unseen,HepG2,HepG2,TIMM23B,269,True,False,True,True,False
Nadig_E239_disjoint,CRISPRi_gene_knockdown_cellline_shift,E239_cellline_holdout_1_HepG2,HepG2,Jurkat,test,context_unseen,HepG2,HepG2,RBMX2,114,True,False,True,True,False
Nadig_E239_disjoint,CRISPRi_gene_knockdown_cellline_shift,E239_cellline_holdout_1_HepG2,HepG2,Jurkat,test,context_unseen,HepG2,HepG2,RPS7,71,True,False,True,True,False
Nadig_E239_disjoint,CRISPRi_gene_knockdown_cellline_shift,E239_cellline_holdout_1_HepG2,HepG2,Jurkat,test,context_and_perturbation_unseen,HepG2,HepG2,TSR1,182,False,False,True,True,False
Nadig_E239_disjoint,CRISPRi_gene_knockdown_cellline_shift,E239_cellline_holdout_1_HepG2,HepG2,Jurkat,test,context_unseen,HepG2,HepG2,EIF2S2,72,True,False,True,True,False
Nadig_E239_disjoint,CRISPRi_gene_knockdown_cellline_shift,E239_cellline_holdout_1_HepG2,HepG2,Jurkat,test,context_unseen,HepG2,HepG2,GAR1,55,True,False,True,True,False
Nadig_E239_disjoint,CRISPRi_gene_knockdown_cellline_shift,E239_cellline_holdout_1_HepG2,HepG2,Jurkat,test,context_unseen,HepG2,HepG2,WDR12,110,True,False,True,True,False
Nadig_E239_disjoint,CRISPRi_gene_knockdown_cellline_shift,E239_cellline_holdout_1_HepG2,HepG2,Jurkat,test,context_and_perturbation_unseen,HepG2,HepG2,NRBP1,50,False,False,True,True,False
Nadig_E239_disjoint,CRISPRi_gene_knockdown_cellline_shift,E239_cellline_holdout_1_HepG2,HepG2,Jurkat,test,context_and_perturbation_unseen,HepG2,HepG2,INTS13,157,False,False,True,True,False
Nadig_E239_disjoint,CRISPRi_gene_knockdown_cellline_shift,E239_cellline_holdout_1_HepG2,HepG2,Jurkat,test,context_unseen,HepG2,HepG2,NOM1,131,True,False,True,True,False
Nadig_E239_disjoint,CRISPRi_gene_knockdown_cellline_shift,E239_cellline_holdout_1_HepG2,HepG2,Jurkat,test,context_unseen,HepG2,HepG2,CCNH,98,True,False,True,True,False
Nadig_E239_disjoint,CRISPRi_gene_knockdown_cellline_shift,E239_cellline_holdout_1_HepG2,HepG2,Jurkat,test,context_unseen,HepG2,HepG2,RPL41,109,True,False,True,True,False
Nadig_E239_disjoint,CRISPRi_gene_knockdown_cellline_shift,E239_cellline_holdout_1_HepG2,HepG2,Jurkat,test,context_and_perturbation_unseen,HepG2,HepG2,DNAJC8,84,False,False,True,True,False
Nadig_E239_disjoint,CRISPRi_gene_knockdown_cellline_shift,E239_cellline_holdout_1_HepG2,HepG2,Jurkat,test,context_unseen,HepG2,HepG2,TARS2,62,True,False,True,True,False
Nadig_E239_disjoint,CRISPRi_gene_knockdown_cellline_shift,E239_cellline_holdout_1_HepG2,HepG2,Jurkat,test,context_unseen,HepG2,HepG2,NOLC1,84,True,False,True,True,False
Nadig_E239_disjoint,CRISPRi_gene_knockdown_cellline_shift,E239_cellline_holdout_1_HepG2,HepG2,Jurkat,test,context_unseen,HepG2,HepG2,COX10,64,True,False,True,True,False
Nadig_E239_disjoint,CRISPRi_gene_knockdown_cellline_shift,E239_cellline_holdout_1_HepG2,HepG2,Jurkat,test,context_unseen,HepG2,HepG2,ANKS6,63,True,False,True,True,False
Nadig_E239_disjoint,CRISPRi_gene_knockdown_cellline_shift,E239_cellline_holdout_1_HepG2,HepG2,Jurkat,test,context_unseen,HepG2,HepG2,RCC1,170,True,False,True,True,False
