perturbation,n_cells,eligible_ge30,split
AATF,229,1,train
ABL1,219,1,train
ACTL6A,364,1,train
ADAR,331,1,train
ADNP,316,1,validation
ADNP2,354,1,test
AEBP2,436,1,train
AFF1,728,1,train
AFF2,579,1,test
AFF3,310,1,train
AFF4,1044,1,train
AHR,236,1,train
AHRR,457,1,validation
AIRE,740,1,validation
AKNA,363,1,validation
ALX1,651,1,test
ALX3,439,1,validation
ALX4,586,1,train
ALYREF,298,1,test
ANHX,668,1,train
ANKRD30A,437,1,validation
AP2B1,437,1,train
APEX1,189,1,test
AR,447,1,test
ARGFX,304,1,validation
ARHGAP35,489,1,train
ARID1A,288,1,train
ARID1B,615,1,validation
ARID2,398,1,train
ARID3A,573,1,test
ARID3B,311,1,validation
ARID3C,237,1,train
ARID4A,207,1,validation
ARID4B,414,1,train
ARID5A,435,1,train
ARID5B,323,1,test
ARNT,394,1,train
ARNT2,653,1,test
ARNTL,489,1,validation
ARNTL2,310,1,train
ARX,357,1,train
ASCL1,181,1,test
ASCL2,807,1,train
ASCL3,366,1,train
ASCL4,349,1,train
ASCL5,364,1,validation
ASH1L,513,1,validation
ATF1,740,1,test
ATF2,274,1,validation
ATF3,588,1,validation
ATF4,374,1,train
ATF5,373,1,train
ATF6,494,1,test
ATF6B,324,1,train
ATF7,366,1,validation
ATMIN,347,1,train
ATOH1,339,1,validation
ATOH7,425,1,train
ATOH8,311,1,train
BACH1,452,1,train
BACH2,470,1,validation
BARHL1,567,1,train
BARHL2,318,1,train
BARX1,223,1,train
BARX2,328,1,train
BATF,442,1,train
BATF2,483,1,test
BATF3,863,1,train
BAZ1B,160,1,validation
BAZ2A,249,1,validation
BAZ2B,628,1,validation
BBX,265,1,train
BCL11A,477,1,test
BCL11B,517,1,train
BCL3,511,1,train
BCL6,444,1,train
BCL6B,296,1,test
BCLAF1,587,1,validation
BDP1,261,1,train
BHLHA15,520,1,test
BHLHA9,374,1,validation
BHLHE22,293,1,train
BHLHE23,583,1,train
BHLHE40,295,1,validation
BHLHE41,342,1,train
BID,466,1,train
BLZF1,504,1,train
BNC1,493,1,validation
BNC2,462,1,validation
BNIP3,602,1,train
BORCS8-MEF2B,268,1,validation
BPTF,710,1,train
BRCA1,260,1,test
BRIP1,190,1,train
BRPF1,279,1,train
BSX,528,1,train
BTAF1,377,1,validation
CAMTA1,494,1,train
CAMTA2,387,1,test
CAPN15,986,1,test
CARF,429,1,validation
CARHSP1,355,1,train
CASZ1,365,1,train
CBFB,244,1,train
CBX2,537,1,train
CCDC169-SOHLH2,246,1,train
CCN3,666,1,train
CCNH,240,1,train
CCNT1,1063,1,train
CCNT2,422,1,train
CDC5L,271,1,train
CDCA7L,254,1,train
CDIP1,375,1,train
CDK1,351,1,train
CDK2,215,1,validation
CDK7,237,1,test
CDK9,712,1,validation
CDX1,376,1,validation
CDX2,659,1,validation
CDX4,382,1,train
CEBPA,149,1,train
CEBPB,147,1,validation
CEBPD,352,1,train
CEBPE,524,1,test
CEBPG,465,1,train
CEBPZ,651,1,train
CERS3,342,1,train
