predictor,fold_id,method,n_tasks,spearman,utility_20,model_mean_rmse,no_change_mean_rmse,model_beats_no_change
GEARS,frangieh_context_holdout_1_Co-culture,M,104,0.41613144137415986,0.5990857141321219,0.055901806873197686,0.05009370941481942,False
GEARS,frangieh_context_holdout_1_Co-culture,H,104,0.5476154913048118,0.7378715734266224,0.055901806873197686,0.05009370941481942,False
GEARS,frangieh_context_holdout_1_Co-culture,M_plus_H,104,0.5222800140557843,0.7364513568219445,0.055901806873197686,0.05009370941481942,False
GEARS,frangieh_context_holdout_2_Control,M,106,0.3801949769503993,0.4214976151911348,0.06109187906643126,0.055782594378961714,False
GEARS,frangieh_context_holdout_2_Control,H,106,0.6483159936519133,0.8111209557514223,0.06109187906643126,0.055782594378961714,False
GEARS,frangieh_context_holdout_2_Control,M_plus_H,106,0.5086116339089306,0.6136391949135992,0.06109187906643126,0.055782594378961714,False
GEARS,frangieh_context_holdout_3_IFNγ,M,103,0.2856170100601854,0.34220627825517586,0.05940391662196043,0.05348276813081821,False
GEARS,frangieh_context_holdout_3_IFNγ,H,103,0.6712757545139042,0.8462136524796322,0.05940391662196043,0.05348276813081821,False
GEARS,frangieh_context_holdout_3_IFNγ,M_plus_H,103,0.4012740253576537,0.5017201468388852,0.05940391662196043,0.05348276813081821,False
scGPT,frangieh_context_holdout_1_Co-culture,M,104,-0.006049290515309933,-0.07998438478580959,0.050201870250300665,0.05009370941481942,False
scGPT,frangieh_context_holdout_1_Co-culture,H,104,0.6940787367971835,0.8708630114111058,0.050201870250300665,0.05009370941481942,False
scGPT,frangieh_context_holdout_1_Co-culture,M_plus_H,104,0.1597663439793745,0.07674185539852886,0.050201870250300665,0.05009370941481942,False
scGPT,frangieh_context_holdout_2_Control,M,106,-0.003491447716452125,0.02104282199343591,0.056120326566808584,0.055782594378961714,False
scGPT,frangieh_context_holdout_2_Control,H,106,0.6597727787994055,0.7735630796581932,0.056120326566808584,0.055782594378961714,False
scGPT,frangieh_context_holdout_2_Control,M_plus_H,106,0.1354588096868709,0.1536801735320921,0.056120326566808584,0.055782594378961714,False
scGPT,frangieh_context_holdout_3_IFNγ,M,103,0.15776699029126218,0.3568772438262695,0.05376195694202354,0.05348276813081821,False
scGPT,frangieh_context_holdout_3_IFNγ,H,103,0.6928348635944297,0.9171864764685288,0.05376195694202354,0.05348276813081821,False
scGPT,frangieh_context_holdout_3_IFNγ,M_plus_H,103,0.3078118522103458,0.558374670556196,0.05376195694202354,0.05348276813081821,False
