target,gene,split
K562,SF3A2,evaluation
K562,GFER,evaluation
K562,SNW1,evaluation
K562,PSMB2,evaluation
K562,PSMD6,evaluation
K562,NUBP1,evaluation
K562,EXOC7,evaluation
K562,GINS3,evaluation
K562,TPX2,evaluation
K562,CCT4,evaluation
K562,CDC5L,evaluation
K562,HSPA9,evaluation
K562,AAMP,evaluation
K562,EIF3CL,evaluation
K562,UBAP1,evaluation
K562,SRBD1,evaluation
K562,EIF3E,evaluation
K562,MRPL41,evaluation
K562,UQCRFS1,evaluation
K562,SPC24,evaluation
K562,RSL24D1,evaluation
K562,HAUS5,evaluation
K562,EIF2S2,evaluation
K562,POLR3E,evaluation
K562,RPAP1,evaluation
K562,RPL9,evaluation
K562,SCAF1,evaluation
K562,DSN1,evaluation
K562,PHAX,evaluation
K562,HSCB,evaluation
K562,YTHDC1,evaluation
K562,MRPL37,evaluation
K562,ATRIP,evaluation
K562,ICE1,evaluation
K562,MED11,evaluation
K562,RPS3A,evaluation
K562,MCM6,evaluation
K562,TRA2B,evaluation
K562,ZBTB17,evaluation
K562,DDX47,evaluation
K562,CCDC84,evaluation
K562,HMGCS1,evaluation
K562,COX11,evaluation
K562,NFS1,evaluation
K562,CWC15,evaluation
K562,CSNK2B,evaluation
K562,DDX59,evaluation
K562,RPL21,evaluation
K562,MRPL38,evaluation
K562,SNRPD1,evaluation
K562,RPS29,evaluation
K562,UQCRB,evaluation
K562,UBA3,evaluation
K562,SLC39A9,evaluation
K562,BGLAP,evaluation
K562,MCM2,evaluation
K562,COPS4,evaluation
K562,DMAP1,evaluation
K562,RRN3,evaluation
K562,RBM42,evaluation
K562,MRPS23,evaluation
K562,POLR2L,evaluation
K562,KRR1,evaluation
K562,DYNC1I2,evaluation
K562,DKC1,evaluation
K562,SRRM1,evaluation
K562,THAP11,evaluation
K562,WAC,evaluation
K562,UPF2,evaluation
K562,CDC73,evaluation
K562,MTBP,evaluation
K562,WDTC1,evaluation
K562,SUPT5H,evaluation
K562,NUTF2,evaluation
K562,SBNO1,evaluation
K562,RFC4,evaluation
K562,SFPQ,evaluation
K562,DHX36,evaluation
K562,MRPL36,evaluation
K562,RRP1,evaluation
K562,UFM1,evaluation
K562,USP39,evaluation
K562,NSRP1,evaluation
K562,SAMM50,evaluation
K562,NCBP1,evaluation
K562,PDCD2,evaluation
K562,NELFA,evaluation
K562,ZNF574,evaluation
K562,RPS19BP1,evaluation
K562,POLR2F,evaluation
K562,NOL11,evaluation
K562,DNM1L,evaluation
K562,ZNHIT6,evaluation
K562,EIF3D,evaluation
K562,DDX10,evaluation
K562,USP36,evaluation
K562,RPL39,evaluation
K562,RARS2,evaluation
K562,RPP38,evaluation
K562,GINS2,evaluation
K562,MED19,evaluation
K562,DDX46,evaluation
K562,TIMM44,evaluation
K562,UQCRQ,evaluation
K562,DHX16,evaluation
K562,RBM39,evaluation
K562,MAX,evaluation
K562,CCT7,evaluation
K562,SDAD1,evaluation
K562,SNRNP70,evaluation
K562,FBXO5,evaluation
K562,AARS,evaluation
K562,RPL12,evaluation
K562,SMG5,evaluation
K562,RRP7A,calibration_pool
K562,SNRNP200,calibration_pool
K562,WDR24,calibration_pool
K562,COPB1,calibration_pool
K562,SNRPB,calibration_pool
K562,MED30,calibration_pool
K562,RPS11,calibration_pool
K562,PPIH,calibration_pool
K562,SARS2,calibration_pool
K562,POLR2H,calibration_pool
K562,GTF2F2,calibration_pool
K562,HNRNPM,calibration_pool
K562,SUPT16H,calibration_pool
K562,NUP85,calibration_pool
K562,LSM5,calibration_pool
K562,METAP2,calibration_pool
K562,RPL11,calibration_pool
K562,MED17,calibration_pool
K562,DARS,calibration_pool
K562,ERCC2,calibration_pool
K562,RPL35,calibration_pool
K562,WDR61,calibration_pool
K562,POLR3F,calibration_pool
K562,PRMT5,calibration_pool
K562,CMTR1,calibration_pool
K562,TTI1,calibration_pool
K562,PTCD1,calibration_pool
K562,ILF2,calibration_pool
K562,CPSF1,calibration_pool
