cell_line,drug_dose,drug,plate,n_full_cells,matched_control_cells,split,maximum_cells_to_extract
CVCL_0131,"[('(R)-Verapamil (hydrochloride)', 0.05, 'uM')]",(R)-Verapamil (hydrochloride),plate4,2859,4876,test_sealed,128
CVCL_0131,"[('4EGI-1', 0.5, 'uM')]",4EGI-1,plate2,3738,7359,test_sealed,128
CVCL_0131,"[('8-Hydroxyquinoline', 5.0, 'uM')]",8-Hydroxyquinoline,plate6,3196,6853,test_sealed,128
CVCL_0131,"[('Adagrasib', 0.05, 'uM')]",Adagrasib,plate2,4249,7359,test_sealed,128
CVCL_0131,"[('Adenine', 5.0, 'uM')]",Adenine,plate6,3557,6853,test_sealed,128
CVCL_0131,"[('Afatinib', 0.5, 'uM')]",Afatinib,plate2,3115,7359,test_sealed,128
CVCL_0131,"[('Afatinib', 5.0, 'uM')]",Afatinib,plate3,2961,3254,test_sealed,128
CVCL_0131,"[('Almonertinib (mesylate)', 0.5, 'uM')]",Almonertinib (mesylate),plate8,3328,3938,test_sealed,128
CVCL_0131,"[('Anastrozole', 0.5, 'uM')]",Anastrozole,plate2,4513,7359,test_sealed,128
CVCL_0131,"[('Anethole trithione', 0.05, 'uM')]",Anethole trithione,plate4,2685,4876,test_sealed,128
CVCL_0131,"[('Anethole trithione', 0.5, 'uM')]",Anethole trithione,plate5,3245,6487,test_sealed,128
CVCL_0131,"[('Apalutamide', 0.5, 'uM')]",Apalutamide,plate8,2374,3938,test_sealed,128
CVCL_0131,"[('Artemether', 5.0, 'uM')]",Artemether,plate12,2574,3106,test_sealed,128
CVCL_0131,"[('Artesunate', 5.0, 'uM')]",Artesunate,plate6,3380,6853,test_sealed,128
CVCL_0131,"[('Ataluren', 5.0, 'uM')]",Ataluren,plate12,3321,3106,test_sealed,128
CVCL_0131,"[('Baicalin', 5.0, 'uM')]",Baicalin,plate6,3775,6853,test_sealed,128
CVCL_0131,"[('Balsalazide (sodium hydrate)', 5.0, 'uM')]",Balsalazide (sodium hydrate),plate6,3178,6853,test_sealed,128
CVCL_0131,"[('Berbamine (dihydrochloride)', 0.5, 'uM')]",Berbamine (dihydrochloride),plate8,2980,3938,test_sealed,128
CVCL_0131,"[('Berbamine', 5.0, 'uM')]",Berbamine,plate6,3146,6853,test_sealed,128
CVCL_0131,"[('Berberine (chloride hydrate)', 5.0, 'uM')]",Berberine (chloride hydrate),plate6,4134,6853,test_sealed,128
CVCL_0131,"[('Bicalutamide', 0.05, 'uM')]",Bicalutamide,plate10,1917,3730,test_sealed,128
CVCL_0131,"[('Bicalutamide', 5.0, 'uM')]",Bicalutamide,plate12,3087,3106,test_sealed,128
CVCL_0131,"[('Binimetinib', 5.0, 'uM')]",Binimetinib,plate12,3692,3106,test_sealed,128
CVCL_0131,"[('Brimonidine', 5.0, 'uM')]",Brimonidine,plate12,3119,3106,test_sealed,128
CVCL_0131,"[('Canagliflozin (hemihydrate)', 5.0, 'uM')]",Canagliflozin (hemihydrate),plate12,3919,3106,test_sealed,128
CVCL_0131,"[('Capivasertib', 0.5, 'uM')]",Capivasertib,plate2,3343,7359,test_sealed,128
CVCL_0131,"[('Carbidopa (monohydrate)', 0.05, 'uM')]",Carbidopa (monohydrate),plate13,2936,1945,test_sealed,128
CVCL_0131,"[('Chlorhexidine (diacetate)', 0.5, 'uM')]",Chlorhexidine (diacetate),plate5,2930,6487,test_sealed,128
CVCL_0131,"[('Cinacalcet', 5.0, 'uM')]",Cinacalcet,plate12,2778,3106,test_sealed,128
CVCL_0131,"[('Clonidine (hydrochloride)', 0.05, 'uM')]",Clonidine (hydrochloride),plate4,2855,4876,test_sealed,128
CVCL_0131,"[('Clonidine (hydrochloride)', 5.0, 'uM')]",Clonidine (hydrochloride),plate6,4886,6853,test_sealed,128
CVCL_0131,"[('Cloxacillin (sodium)', 5.0, 'uM')]",Cloxacillin (sodium),plate6,2963,6853,test_sealed,128
CVCL_0131,"[('Crizotinib (hydrochloride)', 5.0, 'uM')]",Crizotinib (hydrochloride),plate12,2945,3106,test_sealed,128
CVCL_0131,"[('Cysteamine (hydrochloride)', 5.0, 'uM')]",Cysteamine (hydrochloride),plate6,3163,6853,test_sealed,128
CVCL_0131,"[('DT-061', 0.5, 'uM')]",DT-061,plate2,3713,7359,test_sealed,128
CVCL_0131,"[('DTP3', 0.5, 'uM')]",DTP3,plate2,3637,7359,test_sealed,128
CVCL_0131,"[('Dabrafenib', 5.0, 'uM')]",Dabrafenib,plate3,3776,3254,test_sealed,128
CVCL_0131,"[('Daidzin', 0.5, 'uM')]",Daidzin,plate8,2925,3938,test_sealed,128
CVCL_0131,"[('Dimethyl fumarate', 0.5, 'uM')]",Dimethyl fumarate,plate8,2620,3938,test_sealed,128
CVCL_0131,"[('Diphenhydramine', 0.5, 'uM')]",Diphenhydramine,plate8,2425,3938,test_sealed,128
CVCL_0131,"[('Drospirenone', 5.0, 'uM')]",Drospirenone,plate12,2870,3106,test_sealed,128
CVCL_0131,"[('ETC-206', 0.5, 'uM')]",ETC-206,plate2,3517,7359,test_sealed,128
CVCL_0131,"[('Elimusertib hydrochloride', 0.5, 'uM')]",Elimusertib hydrochloride,plate2,3148,7359,test_sealed,128
CVCL_0131,"[('Encorafenib', 5.0, 'uM')]",Encorafenib,plate3,3402,3254,test_sealed,128
CVCL_0131,"[('Entecavir (monohydrate)', 5.0, 'uM')]",Entecavir (monohydrate),plate9,2568,2262,test_sealed,128
CVCL_0131,"[('Esmolol (hydrochloride)', 5.0, 'uM')]",Esmolol (hydrochloride),plate12,2998,3106,test_sealed,128
CVCL_0131,"[('Everolimus', 0.5, 'uM')]",Everolimus,plate2,4480,7359,test_sealed,128
