schema_version,record_id,task_id,task_key,dataset_name,dataset_group,fold_id,split,context,perturbation,predictor_name,run_type,gene_panel_id,gene_order_hash,effect_definition,normalization_id,error_normalization,predicted_effect_key,true_effect_key,true_error_rmse,true_error_cosine,gears_uncertainty_logvar_mean,gears_uncertainty_confidence,n_cells,adapter_remediation_version,source_records_csv,source_predicted_npz,source_true_npz,gene_panel_source_h5ad,predicted_effect_l2,predicted_effect_abs_mean,predicted_effect_nonzero_frac,true_effect_l2_diagnostic,true_effect_abs_mean_diagnostic,rmse_over_true_effect_rms_diagnostic,log1p_n_cells,low_support_risk
safeconf_prediction_record_v1,GEARS::adamson::seed1::single::CCND3+ctrl,CCND3+ctrl,adamson::CCND3+ctrl,adamson,gears_crispr_group,1,test,GEARS_single_heldout,CCND3+ctrl,GEARS,formal,gears::adamson::single::n_genes_5043,sha256:8b461482a501bc0fa4966cf0d6ba0a20365560359528edf44ab7876dc831278d,mean_diff,gears_mean_expression_minus_ctrl_v1,raw_rmse,GEARS::adamson::seed1::single::CCND3+ctrl::pred,GEARS::adamson::seed1::single::CCND3+ctrl::true,0.0498433001339435,0.9721416934607576,,,412,e25_gears_strict_remediation_v1,$SAFECONF_RUNTIME/outputs/gears_prediction_records_formal/adamson/seed_1/tables/PREDICTION_RECORDS.csv,$SAFECONF_RUNTIME/outputs/gears_prediction_records_formal/adamson/seed_1/arrays/gears_predicted_effects.npz,$SAFECONF_RUNTIME/outputs/gears_prediction_records_formal/adamson/seed_1/arrays/gears_true_effects.npz,$YYF_DATA/gears_formal_baselines_v2/adamson_local_atlas/perturb_processed.h5ad,2.0864181518554688,0.015666309744119644,0.9986119373388855,2.9179909229278564,0.01986072212457657,1.213017960055736,6.023447592961033,-6.023447592961033
safeconf_prediction_record_v1,GEARS::adamson::seed1::single::DAD1+ctrl,DAD1+ctrl,adamson::DAD1+ctrl,adamson,gears_crispr_group,1,test,GEARS_single_heldout,DAD1+ctrl,GEARS,formal,gears::adamson::single::n_genes_5043,sha256:8b461482a501bc0fa4966cf0d6ba0a20365560359528edf44ab7876dc831278d,mean_diff,gears_mean_expression_minus_ctrl_v1,raw_rmse,GEARS::adamson::seed1::single::DAD1+ctrl::pred,GEARS::adamson::seed1::single::DAD1+ctrl::true,0.0301224403083324,0.63539506047333,,,774,e25_gears_strict_remediation_v1,$SAFECONF_RUNTIME/outputs/gears_prediction_records_formal/adamson/seed_1/tables/PREDICTION_RECORDS.csv,$SAFECONF_RUNTIME/outputs/gears_prediction_records_formal/adamson/seed_1/arrays/gears_predicted_effects.npz,$SAFECONF_RUNTIME/outputs/gears_prediction_records_formal/adamson/seed_1/arrays/gears_true_effects.npz,$YYF_DATA/gears_formal_baselines_v2/adamson_local_atlas/perturb_processed.h5ad,1.8278698921203613,0.01288635190576315,0.9986119373388855,1.9621633291244507,0.010224285535514355,1.0901827965120934,6.652863029353347,-6.652863029353347
safeconf_prediction_record_v1,GEARS::adamson::seed1::single::DERL2+ctrl,DERL2+ctrl,adamson::DERL2+ctrl,adamson,gears_crispr_group,1,test,GEARS_single_heldout,DERL2+ctrl,GEARS,formal,gears::adamson::single::n_genes_5043,sha256:8b461482a501bc0fa4966cf0d6ba0a20365560359528edf44ab7876dc831278d,mean_diff,gears_mean_expression_minus_ctrl_v1,raw_rmse,GEARS::adamson::seed1::single::DERL2+ctrl::pred,GEARS::adamson::seed1::single::DERL2+ctrl::true,0.027784252539277,0.497605287170665,,,676,e25_gears_strict_remediation_v1,$SAFECONF_RUNTIME/outputs/gears_prediction_records_formal/adamson/seed_1/tables/PREDICTION_RECORDS.csv,$SAFECONF_RUNTIME/outputs/gears_prediction_records_formal/adamson/seed_1/arrays/gears_predicted_effects.npz,$SAFECONF_RUNTIME/outputs/gears_prediction_records_formal/adamson/seed_1/arrays/gears_true_effects.npz,$YYF_DATA/gears_formal_baselines_v2/adamson_local_atlas/perturb_processed.h5ad,1.9539042711257935,0.014087832532823086,0.9986119373388855,2.0008840560913086,0.014380790293216705,0.9861003753344252,6.517671272912275,-6.517671272912275
safeconf_prediction_record_v1,GEARS::adamson::seed1::single::NEDD8+ctrl,NEDD8+ctrl,adamson::NEDD8+ctrl,adamson,gears_crispr_group,1,test,GEARS_single_heldout,NEDD8+ctrl,GEARS,formal,gears::adamson::single::n_genes_5043,sha256:8b461482a501bc0fa4966cf0d6ba0a20365560359528edf44ab7876dc831278d,mean_diff,gears_mean_expression_minus_ctrl_v1,raw_rmse,GEARS::adamson::seed1::single::NEDD8+ctrl::pred,GEARS::adamson::seed1::single::NEDD8+ctrl::true,0.0725772529840469,0.7854480834798194,,,518,e25_gears_strict_remediation_v1,$SAFECONF_RUNTIME/outputs/gears_prediction_records_formal/adamson/seed_1/tables/PREDICTION_RECORDS.csv,$SAFECONF_RUNTIME/outputs/gears_prediction_records_formal/adamson/seed_1/arrays/gears_predicted_effects.npz,$SAFECONF_RUNTIME/outputs/gears_prediction_records_formal/adamson/seed_1/arrays/gears_true_effects.npz,$YYF_DATA/gears_formal_baselines_v2/adamson_local_atlas/perturb_processed.h5ad,2.075874090194702,0.01547169964760542,0.9986119373388855,5.183831214904785,0.03380400687456131,0.9942465631315314,6.251903883165888,-6.251903883165888
safeconf_prediction_record_v1,GEARS::adamson::seed1::single::TIMM23+ctrl,TIMM23+ctrl,adamson::TIMM23+ctrl,adamson,gears_crispr_group,1,test,GEARS_single_heldout,TIMM23+ctrl,GEARS,formal,gears::adamson::single::n_genes_5043,sha256:8b461482a501bc0fa4966cf0d6ba0a20365560359528edf44ab7876dc831278d,mean_diff,gears_mean_expression_minus_ctrl_v1,raw_rmse,GEARS::adamson::seed1::single::TIMM23+ctrl::pred,GEARS::adamson::seed1::single::TIMM23+ctrl::true,0.040649376809597,0.2384992963231451,,,789,e25_gears_strict_remediation_v1,$SAFECONF_RUNTIME/outputs/gears_prediction_records_formal/adamson/seed_1/tables/PREDICTION_RECORDS.csv,$SAFECONF_RUNTIME/outputs/gears_prediction_records_formal/adamson/seed_1/arrays/gears_predicted_effects.npz,$SAFECONF_RUNTIME/outputs/gears_prediction_records_formal/adamson/seed_1/arrays/gears_true_effects.npz,$YYF_DATA/gears_formal_baselines_v2/adamson_local_atlas/perturb_processed.h5ad,4.325637340545654,0.030886124819517136,0.9984136426730121,2.606915235519409,0.017207061871886253,1.1073154191814585,6.672032945461067,-6.672032945461067
safeconf_prediction_record_v1,GEARS::adamson::seed1::single::UFM1+ctrl,UFM1+ctrl,adamson::UFM1+ctrl,adamson,gears_crispr_group,1,test,GEARS_single_heldout,UFM1+ctrl,GEARS,formal,gears::adamson::single::n_genes_5043,sha256:8b461482a501bc0fa4966cf0d6ba0a20365560359528edf44ab7876dc831278d,mean_diff,gears_mean_expression_minus_ctrl_v1,raw_rmse,GEARS::adamson::seed1::single::UFM1+ctrl::pred,GEARS::adamson::seed1::single::UFM1+ctrl::true,0.0229922570288181,0.5449499933739095,,,723,e25_gears_strict_remediation_v1,$SAFECONF_RUNTIME/outputs/gears_prediction_records_formal/adamson/seed_1/tables/PREDICTION_RECORDS.csv,$SAFECONF_RUNTIME/outputs/gears_prediction_records_formal/adamson/seed_1/arrays/gears_predicted_effects.npz,$SAFECONF_RUNTIME/outputs/gears_prediction_records_formal/adamson/seed_1/arrays/gears_true_effects.npz,$YYF_DATA/gears_formal_baselines_v2/adamson_local_atlas/perturb_processed.h5ad,1.6807321310043335,0.012516646645963192,0.9986119373388855,1.417531967163086,0.00995814148336649,1.151842266270631,6.584791392385716,-6.584791392385716
safeconf_prediction_record_v1,GEARS::adamson::seed1::single::YIPF5+ctrl,YIPF5+ctrl,adamson::YIPF5+ctrl,adamson,gears_crispr_group,1,test,GEARS_single_heldout,YIPF5+ctrl,GEARS,formal,gears::adamson::single::n_genes_5043,sha256:8b461482a501bc0fa4966cf0d6ba0a20365560359528edf44ab7876dc831278d,mean_diff,gears_mean_expression_minus_ctrl_v1,raw_rmse,GEARS::adamson::seed1::single::YIPF5+ctrl::pred,GEARS::adamson::seed1::single::YIPF5+ctrl::true,0.0273095723241567,0.333983376756965,,,1457,e25_gears_strict_remediation_v1,$SAFECONF_RUNTIME/outputs/gears_prediction_records_formal/adamson/seed_1/tables/PREDICTION_RECORDS.csv,$SAFECONF_RUNTIME/outputs/gears_prediction_records_formal/adamson/seed_1/arrays/gears_predicted_effects.npz,$SAFECONF_RUNTIME/outputs/gears_prediction_records_formal/adamson/seed_1/arrays/gears_true_effects.npz,$YYF_DATA/gears_formal_baselines_v2/adamson_local_atlas/perturb_processed.h5ad,2.1506130695343018,0.015123153105378151,0.9986119373388855,2.5221173763275146,0.013596252538263798,0.7689426792266918,7.284820912568604,-7.284820912568604
safeconf_prediction_record_v1,GEARS::adamson::seed2::single::COPB1+ctrl,COPB1+ctrl,adamson::COPB1+ctrl,adamson,gears_crispr_group,2,test,GEARS_single_heldout,COPB1+ctrl,GEARS,formal,gears::adamson::single::n_genes_5043,sha256:8b461482a501bc0fa4966cf0d6ba0a20365560359528edf44ab7876dc831278d,mean_diff,gears_mean_expression_minus_ctrl_v1,raw_rmse,GEARS::adamson::seed2::single::COPB1+ctrl::pred,GEARS::adamson::seed2::single::COPB1+ctrl::true,0.0464407429099082,0.5332493933462028,,,235,e25_gears_strict_remediation_v1,$SAFECONF_RUNTIME/outputs/gears_prediction_records_formal/adamson/seed_2/tables/PREDICTION_RECORDS.csv,$SAFECONF_RUNTIME/outputs/gears_prediction_records_formal/adamson/seed_2/arrays/gears_predicted_effects.npz,$SAFECONF_RUNTIME/outputs/gears_prediction_records_formal/adamson/seed_2/arrays/gears_true_effects.npz,$YYF_DATA/gears_formal_baselines_v2/adamson_local_atlas/perturb_processed.h5ad,3.2435312271118164,0.02454034797847271,0.999603410668253,3.1411609649658203,0.02288229390978813,1.0499130951600681,5.4638318050256105,-5.4638318050256105
safeconf_prediction_record_v1,GEARS::adamson::seed2::single::EIF2AK3+ctrl,EIF2AK3+ctrl,adamson::EIF2AK3+ctrl,adamson,gears_crispr_group,2,test,GEARS_single_heldout,EIF2AK3+ctrl,GEARS,formal,gears::adamson::single::n_genes_5043,sha256:8b461482a501bc0fa4966cf0d6ba0a20365560359528edf44ab7876dc831278d,mean_diff,gears_mean_expression_minus_ctrl_v1,raw_rmse,GEARS::adamson::seed2::single::EIF2AK3+ctrl::pred,GEARS::adamson::seed2::single::EIF2AK3+ctrl::true,0.0471799783408641,0.7868003339903059,,,173,e25_gears_strict_remediation_v1,$SAFECONF_RUNTIME/outputs/gears_prediction_records_formal/adamson/seed_2/tables/PREDICTION_RECORDS.csv,$SAFECONF_RUNTIME/outputs/gears_prediction_records_formal/adamson/seed_2/arrays/gears_predicted_effects.npz,$SAFECONF_RUNTIME/outputs/gears_prediction_records_formal/adamson/seed_2/arrays/gears_true_effects.npz,$YYF_DATA/gears_formal_baselines_v2/adamson_local_atlas/perturb_processed.h5ad,1.9280250072479248,0.0160458292812109,0.9994051160023796,3.1818220615386963,0.02515914849936962,1.0529948219815128,5.159055299214529,-5.159055299214529
safeconf_prediction_record_v1,GEARS::adamson::seed2::single::FECH+ctrl,FECH+ctrl,adamson::FECH+ctrl,adamson,gears_crispr_group,2,test,GEARS_single_heldout,FECH+ctrl,GEARS,formal,gears::adamson::single::n_genes_5043,sha256:8b461482a501bc0fa4966cf0d6ba0a20365560359528edf44ab7876dc831278d,mean_diff,gears_mean_expression_minus_ctrl_v1,raw_rmse,GEARS::adamson::seed2::single::FECH+ctrl::pred,GEARS::adamson::seed2::single::FECH+ctrl::true,0.0448727272450923,0.6367619731541636,,,702,e25_gears_strict_remediation_v1,$SAFECONF_RUNTIME/outputs/gears_prediction_records_formal/adamson/seed_2/tables/PREDICTION_RECORDS.csv,$SAFECONF_RUNTIME/outputs/gears_prediction_records_formal/adamson/seed_2/arrays/gears_predicted_effects.npz,$SAFECONF_RUNTIME/outputs/gears_prediction_records_formal/adamson/seed_2/arrays/gears_true_effects.npz,$YYF_DATA/gears_formal_baselines_v2/adamson_local_atlas/perturb_processed.h5ad,3.045936107635498,0.02267911471426487,0.999603410668253,2.5558085441589355,0.01606513187289238,1.2468049313965481,6.555356891810665,-6.555356891810665
