scope,score_name,n,partial_spearman_control_true_l2,partial_spearman_control_true_abs_mean
overall,gears_cell_support_confidence,54,-0.25459883515934645,-0.17781505947636897
adamson,gears_cell_support_confidence,21,-0.5983747747705338,-0.5346348531101944
dixit,gears_cell_support_confidence,3,,
norman,gears_cell_support_confidence,30,-0.14869228790894293,-0.13778521888568215
overall,gears_low_support_risk,54,0.25459883515934645,0.17781505947636897
adamson,gears_low_support_risk,21,0.5983747747705338,0.5346348531101944
dixit,gears_low_support_risk,3,,
norman,gears_low_support_risk,30,0.14869228790894293,0.13778521888568215
overall,gears_predicted_effect_abs_mean_risk,54,0.5894797026872498,0.5284162378502001
adamson,gears_predicted_effect_abs_mean_risk,21,0.3896103896103896,0.3220779220779221
dixit,gears_predicted_effect_abs_mean_risk,3,,
norman,gears_predicted_effect_abs_mean_risk,30,0.6760845383759733,0.6832035595105673
overall,gears_predicted_effect_l2_risk,54,0.5452639603582999,0.49944730322088804
adamson,gears_predicted_effect_l2_risk,21,0.2857142857142857,0.1753246753246753
dixit,gears_predicted_effect_l2_risk,3,,
norman,gears_predicted_effect_l2_risk,30,0.6694104560622914,0.6800889877641824
overall,true_effect_abs_mean_diagnostic,54,0.31262510456823017,-0.11363756896047038
adamson,true_effect_abs_mean_diagnostic,21,0.1613010262424917,-0.10515495488287063
dixit,true_effect_abs_mean_diagnostic,3,,
norman,true_effect_abs_mean_diagnostic,30,-0.03249861382440968,-0.058351681768100884
overall,true_effect_l2_diagnostic,54,0.06173898221471967,0.06534627185731055
adamson,true_effect_l2_diagnostic,21,0.04229102377656399,0.08325214257676992
dixit,true_effect_l2_diagnostic,3,,
norman,true_effect_l2_diagnostic,30,-0.1426082191712144,0.12398443767257666
