dataset_name,task_gene,task_group,gene_panel_id,gene_order_hash,normalization_id,recommended_action
adamson,AMIGO3,adamson::AMIGO3,gears::adamson::single::n_genes_5043,sha256:8b461482a501bc0fa4966cf0d6ba0a20365560359528edf44ab7876dc831278d,gears_mean_expression_minus_ctrl_v1,rerun_same_task_across_3_seeds_before_claiming_seed_uncertainty
adamson,ATF4,adamson::ATF4,gears::adamson::single::n_genes_5043,sha256:8b461482a501bc0fa4966cf0d6ba0a20365560359528edf44ab7876dc831278d,gears_mean_expression_minus_ctrl_v1,rerun_same_task_across_3_seeds_before_claiming_seed_uncertainty
adamson,CCND3,adamson::CCND3,gears::adamson::single::n_genes_5043,sha256:8b461482a501bc0fa4966cf0d6ba0a20365560359528edf44ab7876dc831278d,gears_mean_expression_minus_ctrl_v1,rerun_same_task_across_3_seeds_before_claiming_seed_uncertainty
adamson,COPB1,adamson::COPB1,gears::adamson::single::n_genes_5043,sha256:8b461482a501bc0fa4966cf0d6ba0a20365560359528edf44ab7876dc831278d,gears_mean_expression_minus_ctrl_v1,rerun_same_task_across_3_seeds_before_claiming_seed_uncertainty
adamson,DAD1,adamson::DAD1,gears::adamson::single::n_genes_5043,sha256:8b461482a501bc0fa4966cf0d6ba0a20365560359528edf44ab7876dc831278d,gears_mean_expression_minus_ctrl_v1,rerun_same_task_across_3_seeds_before_claiming_seed_uncertainty
adamson,DERL2,adamson::DERL2,gears::adamson::single::n_genes_5043,sha256:8b461482a501bc0fa4966cf0d6ba0a20365560359528edf44ab7876dc831278d,gears_mean_expression_minus_ctrl_v1,rerun_same_task_across_3_seeds_before_claiming_seed_uncertainty
adamson,EIF2AK3,adamson::EIF2AK3,gears::adamson::single::n_genes_5043,sha256:8b461482a501bc0fa4966cf0d6ba0a20365560359528edf44ab7876dc831278d,gears_mean_expression_minus_ctrl_v1,rerun_same_task_across_3_seeds_before_claiming_seed_uncertainty
adamson,EIF2S1,adamson::EIF2S1,gears::adamson::single::n_genes_5043,sha256:8b461482a501bc0fa4966cf0d6ba0a20365560359528edf44ab7876dc831278d,gears_mean_expression_minus_ctrl_v1,rerun_same_task_across_3_seeds_before_claiming_seed_uncertainty
adamson,FARSB,adamson::FARSB,gears::adamson::single::n_genes_5043,sha256:8b461482a501bc0fa4966cf0d6ba0a20365560359528edf44ab7876dc831278d,gears_mean_expression_minus_ctrl_v1,rerun_same_task_across_3_seeds_before_claiming_seed_uncertainty
adamson,FECH,adamson::FECH,gears::adamson::single::n_genes_5043,sha256:8b461482a501bc0fa4966cf0d6ba0a20365560359528edf44ab7876dc831278d,gears_mean_expression_minus_ctrl_v1,rerun_same_task_across_3_seeds_before_claiming_seed_uncertainty
