dataset_name,task_id,task_key,context,perturbation,n_cells,context_col,perturbation_col
Haber,0,Haber::task_00000,Endocrine,Hpoly_Day3,80,cell_type,perturbation
Haber,1,Haber::task_00001,Endocrine,Hpoly_Day10,80,cell_type,perturbation
Haber,2,Haber::task_00002,Endocrine,Salmonella,69,cell_type,perturbation
Haber,3,Haber::task_00003,Enterocyte,Hpoly_Day3,80,cell_type,perturbation
Haber,4,Haber::task_00004,Enterocyte,Hpoly_Day10,80,cell_type,perturbation
Haber,5,Haber::task_00005,Enterocyte,Salmonella,80,cell_type,perturbation
Haber,6,Haber::task_00006,Enterocyte_Progenitor,Hpoly_Day3,80,cell_type,perturbation
Haber,7,Haber::task_00007,Enterocyte_Progenitor,Hpoly_Day10,80,cell_type,perturbation
Haber,8,Haber::task_00008,Enterocyte_Progenitor,Salmonella,80,cell_type,perturbation
Haber,9,Haber::task_00009,Goblet,Hpoly_Day3,80,cell_type,perturbation
Haber,10,Haber::task_00010,Goblet,Hpoly_Day10,80,cell_type,perturbation
Haber,11,Haber::task_00011,Goblet,Salmonella,80,cell_type,perturbation
Haber,12,Haber::task_00012,Stem,Hpoly_Day3,80,cell_type,perturbation
Haber,13,Haber::task_00013,Stem,Hpoly_Day10,80,cell_type,perturbation
Haber,14,Haber::task_00014,Stem,Salmonella,80,cell_type,perturbation
Haber,15,Haber::task_00015,TA,Hpoly_Day3,80,cell_type,perturbation
Haber,16,Haber::task_00016,TA,Hpoly_Day10,80,cell_type,perturbation
Haber,17,Haber::task_00017,TA,Salmonella,80,cell_type,perturbation
Haber,18,Haber::task_00018,TA_Early,Hpoly_Day3,80,cell_type,perturbation
Haber,19,Haber::task_00019,TA_Early,Hpoly_Day10,80,cell_type,perturbation
Haber,20,Haber::task_00020,TA_Early,Salmonella,80,cell_type,perturbation
Haber,21,Haber::task_00021,Tuft,Hpoly_Day3,80,cell_type,perturbation
Haber,22,Haber::task_00022,Tuft,Hpoly_Day10,80,cell_type,perturbation
Haber,23,Haber::task_00023,Tuft,Salmonella,22,cell_type,perturbation
Parekh,0,Parekh::task_00000,endothelial,ASCL3,80,cell_type,perturbation
Parekh,1,Parekh::task_00001,endothelial,CDX2,80,cell_type,perturbation
Parekh,2,Parekh::task_00002,endothelial,FOXP1,80,cell_type,perturbation
Parekh,3,Parekh::task_00003,endothelial,HAND2,80,cell_type,perturbation
Parekh,4,Parekh::task_00004,endothelial,HOXA10,80,cell_type,perturbation
Parekh,5,Parekh::task_00005,endothelial,KLF4,80,cell_type,perturbation
Parekh,6,Parekh::task_00006,endothelial,LMX1A,80,cell_type,perturbation
Parekh,7,Parekh::task_00007,endothelial,MYOG,80,cell_type,perturbation
Parekh,8,Parekh::task_00008,endothelial,SNAI2,80,cell_type,perturbation
Parekh,9,Parekh::task_00009,endothelial,SPI1,80,cell_type,perturbation
Parekh,10,Parekh::task_00010,hPSC,ASCL3,80,cell_type,perturbation
Parekh,11,Parekh::task_00011,hPSC,CDX2,53,cell_type,perturbation
Parekh,12,Parekh::task_00012,hPSC,FOXP1,80,cell_type,perturbation
Parekh,13,Parekh::task_00013,hPSC,HAND2,80,cell_type,perturbation
Parekh,14,Parekh::task_00014,hPSC,HOXA10,80,cell_type,perturbation
Parekh,15,Parekh::task_00015,hPSC,KLF4,75,cell_type,perturbation
Parekh,16,Parekh::task_00016,hPSC,LMX1A,80,cell_type,perturbation
Parekh,17,Parekh::task_00017,hPSC,MYOG,80,cell_type,perturbation
Parekh,18,Parekh::task_00018,hPSC,SNAI2,80,cell_type,perturbation
