dataset_name,setting,risk_score_name,target_error,n_tasks,spearman,top20_k,top20_mean_error,top20_enrichment
KaggleCrossPatient_donor,leave_context,risk_predicted_magnitude,error_v0_rmse,30,0.5412680756395996,6,0.026598505769151282,1.1794626780614057
KaggleCrossPatient_donor,leave_context,risk_predicted_magnitude,error_mean_rmse,30,0.5230255839822024,6,0.026447590061018423,1.176845877949086
KaggleCrossPatient_donor,leave_context,risk_predicted_magnitude,error_contextsim_rmse,30,0.49410456062291436,6,0.02632520559478728,1.1741544753211939
KaggleCrossPatient_donor,leave_context,risk_safeconf_smoke,error_v0_rmse,30,0.2854282536151279,6,0.023774042967954826,1.0542169786038196
KaggleCrossPatient_donor,leave_context,risk_safeconf_smoke,error_mean_rmse,30,0.2640711902113459,6,0.023632059160311924,1.0515624049713925
KaggleCrossPatient_donor,leave_context,risk_safeconf_smoke,error_contextsim_rmse,30,0.23648498331479423,6,0.023516013042685482,1.0488591193091434
KaggleCrossPatient_donor,leave_context,risk_disagreement,error_v0_rmse,30,-0.0033370411568409346,6,0.023121612631480215,1.0252861341952841
KaggleCrossPatient_donor,leave_context,risk_disagreement,error_mean_rmse,30,-0.018909899888765295,6,0.022935064978219715,1.0205480581724113
KaggleCrossPatient_donor,leave_context,risk_disagreement,error_contextsim_rmse,30,-0.0353726362625139,6,0.0227815515772429,1.0161007344412536
KaggleCrossPatient_donor,leave_context,risk_inverse_support,error_mean_rmse,30,,6,0.02179966330472195,0.9700257695181502
KaggleCrossPatient_donor,leave_context,risk_inverse_support,error_v0_rmse,30,,6,0.021809978885739125,0.9671241057033783
KaggleCrossPatient_donor,leave_context,risk_inverse_support,error_contextsim_rmse,30,,6,0.02178957869245861,0.9718568481827783
KaggleCrossPatient_donor,leave_context,risk_inverse_context_similarity,error_mean_rmse,30,,6,0.02179966330472195,0.9700257695181502
KaggleCrossPatient_donor,leave_context,risk_inverse_context_similarity,error_v0_rmse,30,,6,0.021809978885739125,0.9671241057033783
