setting,heldout,dataset_name,status,n_train,n_test
leave_context,A549,sciplex3_cell_line,ok,68,36
leave_context,K562,sciplex3_cell_line,ok,69,35
leave_context,MCF7,sciplex3_cell_line,ok,71,33
leave_perturbation,0.01,TCDD_dose,ok,42,6
leave_perturbation,0.03,TCDD_dose,ok,42,6
leave_perturbation,0.1,TCDD_dose,ok,42,6
leave_perturbation,0.3,TCDD_dose,ok,42,6
leave_perturbation,1.0,TCDD_dose,ok,42,6
leave_perturbation,10.0,TCDD_dose,ok,42,6
leave_perturbation,3.0,TCDD_dose,ok,42,6
leave_perturbation,30.0,TCDD_dose,ok,42,6
leave_context,Pat0,KaggleCrossPatient_donor,ok,20,10
leave_context,Pat1,KaggleCrossPatient_donor,ok,20,10
leave_context,Pat2,KaggleCrossPatient_donor,ok,20,10
leave_context,mouse,crossSpecies_species,ok,9,3
leave_context,pig,crossSpecies_species,ok,9,3
leave_context,rabbit,crossSpecies_species,ok,9,3
leave_context,rat,crossSpecies_species,ok,9,3
