perturbation,rna_n_cells,protein_n_cells,rna_l2,protein_l2,protein_abs_mean,risk_rna_magnitude,risk_low_cell_support
ATF2g1,120,120,2.3068587408781496,55.70918957992185,22.752086639404297,-1.095760903217955,-0.5075214216149038
ATF2g2,120,120,2.9947643607005343,15.319808914507957,6.683333396911621,-0.6005745737783044,-0.5075214216149038
ATF2g3,79,79,2.9284098825816844,33.5949926759167,12.843459129333496,-0.6483396007162158,0.3564294019603648
ATF2g4,120,120,2.9772406389509096,38.71780014442571,15.668747901916504,-0.6131889604052938,-0.5075214216149038
BRD4g1,66,66,5.47393414344632,117.76519519749056,31.292049407958984,1.184046672799907,0.7267078735889534
BRD4g2,33,33,5.388968009779468,90.2364274045782,31.07386016845703,1.122884114093045,2.143084595838875
BRD4g3,97,97,2.2701490883132953,59.49873853644445,20.090805053710938,-1.1221862115520962,-0.06731685690726538
BRD4g4,120,120,2.007849020412608,57.79008867144422,16.979164123535156,-1.3110019503580228,-0.5075214216149038
CAV1g1,120,120,2.380884686317861,35.78806075607629,11.543750762939453,-1.0424735987545093,-0.5075214216149038
CAV1g2,120,120,3.587971962595863,26.579696000725686,8.752083778381348,-0.17355626412400857,-0.5075214216149038
CAV1g3,120,120,2.8382068553047395,17.15239716160288,6.577085494995117,-0.7132719180203657,-0.5075214216149038
CAV1g4,120,120,3.6928614606939445,21.877572732631982,9.256250381469727,-0.09805194483473326,-0.5075214216149038
CD86g1,120,120,2.7121769502831623,32.78967045525856,12.539580345153809,-0.8039940814522857,-0.5075214216149038
CD86g2,120,120,1.909461286986685,9.267915007673833,3.3312511444091797,-1.381825998269783,-0.5075214216149038
CD86g3,120,120,3.1219875723592834,11.475151528267958,5.15625,-0.5089934129541117,-0.5075214216149038
CD86g4,120,120,3.0384803782915615,34.634354334673624,12.822915077209473,-0.5691057593583708,-0.5075214216149038
CMTM6g1,120,120,1.6918924506287019,69.40541375909285,22.962499618530273,-1.5384421246279063,-0.5075214216149038
CMTM6g2,120,120,2.199400215462709,68.60061846674573,23.34166717529297,-1.17311452736949,-0.5075214216149038
CMTM6g3,120,120,2.9789777461309837,56.10262153070207,19.10000228881836,-0.6119385101930013,-0.5075214216149038
CUL3g1,120,120,5.051471829792865,93.84464787305532,33.650001525878906,0.87993873066876,-0.5075214216149038
CUL3g2,120,120,4.380354252473489,122.08657688162405,40.73542022705078,0.3968372118571839,-0.5075214216149038
CUL3g3,15,15,6.24855548954571,63.154901610585696,21.374998092651367,1.7416549987496184,3.7169815749118005
ETV7g1,120,120,3.5113211580856354,15.872321482493025,6.7625017166137695,-0.22873306373180372,-0.5075214216149038
ETV7g2,120,120,2.421776417360409,24.012911723240773,9.279169082641602,-1.0130378366151902,-0.5075214216149038
ETV7g3,111,111,5.275016018261578,42.15373112014428,17.450000762939453,1.0408561922588673,-0.346134205606911
ETV7g4,120,120,3.244825465695409,39.50025157982555,15.279166221618652,-0.420569007389696,-0.5075214216149038
IFNGR1g1,120,120,4.314244363315014,90.49322755275807,33.24583435058594,0.34924825138249,-0.5075214216149038
IFNGR1g2,120,120,4.700834206440712,54.06281939724514,22.983335494995117,0.627533527588683,-0.5075214216149038
IFNGR1g3,120,120,4.63381292833375,144.2036643847312,44.79166793823242,0.5792885071326653,-0.5075214216149038
IFNGR1g4,120,120,4.779426378645408,105.74595734681083,35.056251525878906,0.6841078135885283,-0.5075214216149038
IFNGR2g1,120,120,4.338394189368013,125.03283004400127,40.604164123535156,0.3666324148130464,-0.5075214216149038
IFNGR2g2,120,120,4.355136749806429,106.34090441868638,33.883331298828125,0.37868448534426485,-0.5075214216149038
IFNGR2g3,120,120,3.2567556675647418,99.76994378319507,29.016666412353516,-0.41198109546847295,-0.5075214216149038
IFNGR2g4,89,89,5.111683645807025,106.03162642751613,35.3621711730957,0.9232819848911138,0.11049507087874626
IRF1g1,120,120,2.9398841962088693,54.258563931518005,21.370834350585938,-0.6400798582687677,-0.5075214216149038
IRF1g2,120,120,4.015352930638255,36.38628144516701,15.422916412353516,0.13409235327196498,-0.5075214216149038
IRF1g3,120,120,5.421914608418561,68.73768192197916,26.635414123535156,1.1466006019040127,-0.5075214216149038
IRF1g4,120,120,5.82444020309446,99.03470325885631,37.554168701171875,1.4363571702317093,-0.5075214216149038
IRF7g1,120,120,4.0064013540058685,48.26229073510651,18.637500762939453,0.1276485937683954,-0.5075214216149038
IRF7g2,120,120,4.789086232744804,53.12541966131757,20.018749237060547,0.6910614240207812,-0.5075214216149038
IRF7g3,84,84,3.9520667927793616,47.78084901102812,19.926191329956055,0.08853605978093516,0.22984346596022528
IRF7g4,59,59,3.0775167462769217,24.395381344954178,10.262853622436523,-0.5410055734893892,0.9571177579559489
JAK2g1,120,120,5.53539130867561,106.81779166946755,34.73958206176758,1.2282863870727985,-0.5075214216149038
JAK2g2,120,120,4.824920302218076,108.45482433602882,35.47083282470703,0.7168564470879523,-0.5075214216149038
JAK2g3,120,120,3.6441635012720277,100.58199304523671,34.23333740234375,-0.13310699175173088,-0.5075214216149038
JAK2g4,120,120,4.232094776012806,143.68130228170364,44.45833206176758,0.2901131732133862,-0.5075214216149038
MARCH8g1,120,120,3.9868798554716753,46.2280880950722,17.66250228881836,0.11359611487339151,-0.5075214216149038
MARCH8g2,120,120,1.924855827221008,16.07298697574458,6.454169273376465,-1.3707442951227529,-0.5075214216149038
MARCH8g3,120,120,4.277769053064784,36.28200572436457,14.258333206176758,0.3229916335013226,-0.5075214216149038
MARCH8g4,120,120,3.150529185987456,48.79589521996859,17.062501907348633,-0.4884478373961324,-0.5075214216149038
MYCg1,25,25,7.19829369104419,105.46484176447454,35.973331451416016,2.42532054875643,2.7032274358394073
MYCg2,48,48,6.004328893412998,26.350015007528285,11.72812557220459,1.5658493820987127,1.379994186165522
MYCg3,35,35,7.195877825860904,113.4992339282457,33.30475997924805,2.423581497092859,2.023736200757396
NFKBIAg1,120,120,3.544802472413004,27.197314789628503,9.870832443237305,-0.20463166279999326,-0.5075214216149038
NFKBIAg2,120,120,3.10569604721824,75.75023456561068,27.43125343322754,-0.5207208073859961,-0.5075214216149038
NFKBIAg3,120,120,2.7218640416527724,29.057964603107532,9.370833396911621,-0.7970208643712823,-0.5075214216149038
NFKBIAg4,33,33,6.269426836559356,80.86667285692414,34.048484802246094,1.7566791611061012,2.143084595838875
PDCD1LG2g1,120,120,3.7454513435337162,35.77507767863271,15.718750953674316,-0.06019531116482408,-0.5075214216149038
PDCD1LG2g2,76,76,3.596338739611524,34.00891208860184,15.346931457519531,-0.16753347047290443,0.4362363822753087
PDCD1LG2g3,120,120,1.5334013424137607,20.822155003196137,8.937499046325684,-1.652531365745086,-0.5075214216149038
