pair_group,source_dataset,target_dataset,directional_pair,status,message,n_common_genes,source_n_tasks,target_n_tasks,source_n_contexts,target_n_contexts,source_n_perturbations,target_n_perturbations,source_path,target_path
same_system_cross_file,KaggleCrossCell_celltype,KaggleCrossPatient_celltype,KaggleCrossCell_celltype -> KaggleCrossPatient_celltype,ok,scored,1000,24,38,5,6,10,10,extra_official/cellular_context_generalization/KaggleCrossCell.h5ad,extra_official/cellular_context_generalization/KaggleCrossPatient.h5ad
same_system_cross_file,KaggleCrossPatient_celltype,KaggleCrossCell_celltype,KaggleCrossPatient_celltype -> KaggleCrossCell_celltype,ok,scored,1000,38,24,6,5,10,10,extra_official/cellular_context_generalization/KaggleCrossPatient.h5ad,extra_official/cellular_context_generalization/KaggleCrossCell.h5ad
same_system_cross_file,KaggleCrossCell_celltype,KaggleCrossPatient_donor,KaggleCrossCell_celltype -> KaggleCrossPatient_donor,ok,scored,1000,24,30,5,3,10,10,extra_official/cellular_context_generalization/KaggleCrossCell.h5ad,extra_official/cellular_context_generalization/KaggleCrossPatient.h5ad
same_system_cross_file,KaggleCrossPatient_donor,KaggleCrossCell_celltype,KaggleCrossPatient_donor -> KaggleCrossCell_celltype,ok,scored,1000,30,24,3,5,10,10,extra_official/cellular_context_generalization/KaggleCrossPatient.h5ad,extra_official/cellular_context_generalization/KaggleCrossCell.h5ad
same_system_cross_file,kangCrossCell_celltype,kangCrossPatient_celltype,kangCrossCell_celltype -> kangCrossPatient_celltype,ok,scored,1000,8,8,8,8,1,1,extra_official/cellular_context_generalization/kangCrossCell.h5ad,extra_official/cellular_context_generalization/kangCrossPatient.h5ad
same_system_cross_file,kangCrossPatient_celltype,kangCrossCell_celltype,kangCrossPatient_celltype -> kangCrossCell_celltype,ok,scored,1000,8,8,8,8,1,1,extra_official/cellular_context_generalization/kangCrossPatient.h5ad,extra_official/cellular_context_generalization/kangCrossCell.h5ad
hard_chemical_cross_dataset,KaggleCrossCell_celltype,sciplex3_cellline,KaggleCrossCell_celltype -> sciplex3_cellline,ok,scored,566,24,27,5,3,10,9,extra_official/cellular_context_generalization/KaggleCrossCell.h5ad,extra_official/cellular_context_generalization/sciplex3.h5ad
hard_chemical_cross_dataset,KaggleCrossCell_celltype,McFarland_cellline,KaggleCrossCell_celltype -> McFarland_cellline,ok,scored,1000,24,42,5,5,10,11,extra_official/cellular_context_generalization/KaggleCrossCell.h5ad,extra_official/cellular_context_generalization/McFarland.h5ad
hard_chemical_cross_dataset,KaggleCrossCell_celltype,crossPatient_patient,KaggleCrossCell_celltype -> crossPatient_patient,ok,scored,933,24,10,5,6,10,2,extra_official/cellular_context_generalization/KaggleCrossCell.h5ad,extra_official/cellular_context_generalization/crossPatient.h5ad
hard_chemical_cross_dataset,KaggleCrossPatient_celltype,sciplex3_cellline,KaggleCrossPatient_celltype -> sciplex3_cellline,ok,scored,566,38,27,6,3,10,9,extra_official/cellular_context_generalization/KaggleCrossPatient.h5ad,extra_official/cellular_context_generalization/sciplex3.h5ad
hard_chemical_cross_dataset,KaggleCrossPatient_celltype,McFarland_cellline,KaggleCrossPatient_celltype -> McFarland_cellline,ok,scored,1000,38,42,6,5,10,11,extra_official/cellular_context_generalization/KaggleCrossPatient.h5ad,extra_official/cellular_context_generalization/McFarland.h5ad
hard_chemical_cross_dataset,KaggleCrossPatient_celltype,crossPatient_patient,KaggleCrossPatient_celltype -> crossPatient_patient,ok,scored,933,38,10,6,6,10,2,extra_official/cellular_context_generalization/KaggleCrossPatient.h5ad,extra_official/cellular_context_generalization/crossPatient.h5ad
hard_chemical_cross_dataset,sciplex3_cellline,KaggleCrossCell_celltype,sciplex3_cellline -> KaggleCrossCell_celltype,ok,scored,566,27,24,3,5,9,10,extra_official/cellular_context_generalization/sciplex3.h5ad,extra_official/cellular_context_generalization/KaggleCrossCell.h5ad
hard_chemical_cross_dataset,sciplex3_cellline,KaggleCrossPatient_celltype,sciplex3_cellline -> KaggleCrossPatient_celltype,ok,scored,566,27,38,3,6,9,10,extra_official/cellular_context_generalization/sciplex3.h5ad,extra_official/cellular_context_generalization/KaggleCrossPatient.h5ad
hard_chemical_cross_dataset,sciplex3_cellline,McFarland_cellline,sciplex3_cellline -> McFarland_cellline,ok,scored,624,27,42,3,5,9,11,extra_official/cellular_context_generalization/sciplex3.h5ad,extra_official/cellular_context_generalization/McFarland.h5ad
hard_chemical_cross_dataset,sciplex3_cellline,crossPatient_patient,sciplex3_cellline -> crossPatient_patient,ok,scored,453,27,10,3,6,9,2,extra_official/cellular_context_generalization/sciplex3.h5ad,extra_official/cellular_context_generalization/crossPatient.h5ad
hard_chemical_cross_dataset,McFarland_cellline,KaggleCrossCell_celltype,McFarland_cellline -> KaggleCrossCell_celltype,ok,scored,1000,42,24,5,5,11,10,extra_official/cellular_context_generalization/McFarland.h5ad,extra_official/cellular_context_generalization/KaggleCrossCell.h5ad
hard_chemical_cross_dataset,McFarland_cellline,KaggleCrossPatient_celltype,McFarland_cellline -> KaggleCrossPatient_celltype,ok,scored,1000,42,38,5,6,11,10,extra_official/cellular_context_generalization/McFarland.h5ad,extra_official/cellular_context_generalization/KaggleCrossPatient.h5ad
hard_chemical_cross_dataset,McFarland_cellline,sciplex3_cellline,McFarland_cellline -> sciplex3_cellline,ok,scored,624,42,27,5,3,11,9,extra_official/cellular_context_generalization/McFarland.h5ad,extra_official/cellular_context_generalization/sciplex3.h5ad
hard_chemical_cross_dataset,McFarland_cellline,crossPatient_patient,McFarland_cellline -> crossPatient_patient,ok,scored,1000,42,10,5,6,11,2,extra_official/cellular_context_generalization/McFarland.h5ad,extra_official/cellular_context_generalization/crossPatient.h5ad
hard_chemical_cross_dataset,crossPatient_patient,KaggleCrossCell_celltype,crossPatient_patient -> KaggleCrossCell_celltype,ok,scored,933,10,24,6,5,2,10,extra_official/cellular_context_generalization/crossPatient.h5ad,extra_official/cellular_context_generalization/KaggleCrossCell.h5ad
hard_chemical_cross_dataset,crossPatient_patient,KaggleCrossPatient_celltype,crossPatient_patient -> KaggleCrossPatient_celltype,ok,scored,933,10,38,6,6,2,10,extra_official/cellular_context_generalization/crossPatient.h5ad,extra_official/cellular_context_generalization/KaggleCrossPatient.h5ad
hard_chemical_cross_dataset,crossPatient_patient,sciplex3_cellline,crossPatient_patient -> sciplex3_cellline,ok,scored,453,10,27,6,3,2,9,extra_official/cellular_context_generalization/crossPatient.h5ad,extra_official/cellular_context_generalization/sciplex3.h5ad
hard_chemical_cross_dataset,crossPatient_patient,McFarland_cellline,crossPatient_patient -> McFarland_cellline,ok,scored,1000,10,42,6,5,2,11,extra_official/cellular_context_generalization/crossPatient.h5ad,extra_official/cellular_context_generalization/McFarland.h5ad
feasibility_boundary,sciplex3_cellline,TCDD_mouse_liver,sciplex3_cellline -> TCDD_mouse_liver,skipped_too_few_common_genes,too few common genes: 1 < 100,1,0,0,0,0,0,0,extra_official/cellular_context_generalization/sciplex3.h5ad,extra_official/cellular_context_generalization/TCDD.h5ad
feasibility_boundary,TCDD_mouse_liver,sciplex3_cellline,TCDD_mouse_liver -> sciplex3_cellline,skipped_too_few_common_genes,too few common genes: 1 < 100,1,0,0,0,0,0,0,extra_official/cellular_context_generalization/TCDD.h5ad,extra_official/cellular_context_generalization/sciplex3.h5ad
