source_fraction,repeat_seed,source_n_tasks_used,n_target_tasks,spearman_vs_error,top20_error_enrichment,top20_k,mean_error_combined_rmse,mean_source_support,shared_perturbation_tasks,pair_group,source_dataset,target_dataset,directional_pair,n_common_genes,source_n_tasks_full,target_n_tasks_full
0.25,0,10,24,0.3125729728464015,1.0798916590251322,5,0.02866350702278016,1.1666666666666667,13,same_system,KaggleCrossPatient_celltype,KaggleCrossCell_celltype,KaggleCrossPatient_celltype -> KaggleCrossCell_celltype,1000,38,24
0.25,1,10,24,0.32905351363229596,0.8584053624568747,5,0.024332421227333912,1.0416666666666667,18,same_system,KaggleCrossPatient_celltype,KaggleCrossCell_celltype,KaggleCrossPatient_celltype -> KaggleCrossCell_celltype,1000,38,24
0.25,2,10,24,0.4805647451999799,1.3205574675306775,5,0.031067376601761416,1.125,13,same_system,KaggleCrossPatient_celltype,KaggleCrossCell_celltype,KaggleCrossPatient_celltype -> KaggleCrossCell_celltype,1000,38,24
0.25,3,10,24,0.2963327470369335,1.3554337850573215,5,0.032656788081138914,1.0833333333333333,13,same_system,KaggleCrossPatient_celltype,KaggleCrossCell_celltype,KaggleCrossPatient_celltype -> KaggleCrossCell_celltype,1000,38,24
0.25,4,10,24,0.2336027630754428,1.0907249548442557,5,0.02829075992022362,1.0833333333333333,15,same_system,KaggleCrossPatient_celltype,KaggleCrossCell_celltype,KaggleCrossPatient_celltype -> KaggleCrossCell_celltype,1000,38,24
0.25,5,10,24,0.4544072331112658,1.3301204901063253,5,0.025056145283681112,1.0416666666666667,17,same_system,KaggleCrossPatient_celltype,KaggleCrossCell_celltype,KaggleCrossPatient_celltype -> KaggleCrossCell_celltype,1000,38,24
0.25,6,10,24,0.3312297934843614,1.3464112183477093,5,0.02591965107504995,1.0416666666666667,18,same_system,KaggleCrossPatient_celltype,KaggleCrossCell_celltype,KaggleCrossPatient_celltype -> KaggleCrossCell_celltype,1000,38,24
0.25,7,10,24,0.3054831444163435,1.4302110703085413,5,0.027104576431148164,1.0833333333333333,18,same_system,KaggleCrossPatient_celltype,KaggleCrossCell_celltype,KaggleCrossPatient_celltype -> KaggleCrossCell_celltype,1000,38,24
0.5,0,19,24,0.248695652173913,1.028240953265826,5,0.016343870775865365,2.0,24,same_system,KaggleCrossPatient_celltype,KaggleCrossCell_celltype,KaggleCrossPatient_celltype -> KaggleCrossCell_celltype,1000,38,24
0.5,1,19,24,-0.13652173913043478,0.93570128648477,5,0.021612023985984437,2.0,24,same_system,KaggleCrossPatient_celltype,KaggleCrossCell_celltype,KaggleCrossPatient_celltype -> KaggleCrossCell_celltype,1000,38,24
0.5,2,19,24,0.44227006916357625,1.1188630238677422,5,0.02317044855684729,2.125,20,same_system,KaggleCrossPatient_celltype,KaggleCrossCell_celltype,KaggleCrossPatient_celltype -> KaggleCrossCell_celltype,1000,38,24
0.5,3,19,24,0.11130434782608695,1.1215985799030022,5,0.021354053985574144,2.0833333333333335,22,same_system,KaggleCrossPatient_celltype,KaggleCrossCell_celltype,KaggleCrossPatient_celltype -> KaggleCrossCell_celltype,1000,38,24
0.5,4,19,24,0.1469565217391304,1.1406472395366432,5,0.022620917203657068,2.0416666666666665,22,same_system,KaggleCrossPatient_celltype,KaggleCrossCell_celltype,KaggleCrossPatient_celltype -> KaggleCrossCell_celltype,1000,38,24
