pair_group,source_dataset,target_dataset,directional_pair,status,message,source_path,target_path,n_common_genes,source_n_tasks,target_n_tasks,source_n_contexts,target_n_contexts,source_n_perturbations,target_n_perturbations
lara_bone_marrow_cross_condition,Lara_exvivo_celltype,Lara_invivo_celltype,Lara_exvivo_celltype -> Lara_invivo_celltype,ok,scored,official_scperturb/LaraAstiasoHuntly2023_exvivo.h5ad,official_scperturb/LaraAstiasoHuntly2023_invivo.h5ad,500,288,249,8,15,42,37
lara_bone_marrow_cross_condition,Lara_invivo_celltype,Lara_exvivo_celltype,Lara_invivo_celltype -> Lara_exvivo_celltype,ok,scored,official_scperturb/LaraAstiasoHuntly2023_invivo.h5ad,official_scperturb/LaraAstiasoHuntly2023_exvivo.h5ad,500,249,288,15,8,37,42
lara_bone_marrow_cross_condition,Lara_exvivo_celltype,Lara_leukemia_celltype,Lara_exvivo_celltype -> Lara_leukemia_celltype,ok,scored,official_scperturb/LaraAstiasoHuntly2023_exvivo.h5ad,official_scperturb/LaraAstiasoHuntly2023_leukemia.h5ad,500,288,147,8,6,42,53
lara_bone_marrow_cross_condition,Lara_leukemia_celltype,Lara_exvivo_celltype,Lara_leukemia_celltype -> Lara_exvivo_celltype,ok,scored,official_scperturb/LaraAstiasoHuntly2023_leukemia.h5ad,official_scperturb/LaraAstiasoHuntly2023_exvivo.h5ad,500,147,288,6,8,53,42
lara_bone_marrow_cross_condition,Lara_invivo_celltype,Lara_leukemia_celltype,Lara_invivo_celltype -> Lara_leukemia_celltype,ok,scored,official_scperturb/LaraAstiasoHuntly2023_invivo.h5ad,official_scperturb/LaraAstiasoHuntly2023_leukemia.h5ad,500,249,147,15,6,37,53
lara_bone_marrow_cross_condition,Lara_leukemia_celltype,Lara_invivo_celltype,Lara_leukemia_celltype -> Lara_invivo_celltype,ok,scored,official_scperturb/LaraAstiasoHuntly2023_leukemia.h5ad,official_scperturb/LaraAstiasoHuntly2023_invivo.h5ad,500,147,249,6,15,53,37
dixit_timecourse,Dixit_7d_target,Dixit_13d_target,Dixit_7d_target -> Dixit_13d_target,ok,scored,official_scperturb/DixitRegev2016_K562_TFs_7_days.h5ad,official_scperturb/DixitRegev2016_K562_TFs_13_days.h5ad,500,10,10,1,1,10,10
dixit_timecourse,Dixit_13d_target,Dixit_7d_target,Dixit_13d_target -> Dixit_7d_target,ok,scored,official_scperturb/DixitRegev2016_K562_TFs_13_days.h5ad,official_scperturb/DixitRegev2016_K562_TFs_7_days.h5ad,500,10,10,1,1,10,10
tian_crispra_crispri,TianActivation_batch,TianInhibition_batch,TianActivation_batch -> TianInhibition_batch,ok,scored,official_generalization/TianActivation.h5ad,official_generalization/TianInhibition.h5ad,500,184,705,2,4,92,180
tian_crispra_crispri,TianInhibition_batch,TianActivation_batch,TianInhibition_batch -> TianActivation_batch,ok,scored,official_generalization/TianInhibition.h5ad,official_generalization/TianActivation.h5ad,500,705,184,4,2,180,92
replogle_small_cross_experiment,Replogle_exp6_global,Replogle_exp7_global,Replogle_exp6_global -> Replogle_exp7_global,ok,scored,official_generalization/Replogle_exp6.h5ad,official_generalization/Replogle_exp7.h5ad,500,69,104,1,1,69,104
replogle_small_cross_experiment,Replogle_exp7_global,Replogle_exp6_global,Replogle_exp7_global -> Replogle_exp6_global,ok,scored,official_generalization/Replogle_exp7.h5ad,official_generalization/Replogle_exp6.h5ad,500,104,69,1,1,104,69
replogle_small_cross_experiment,Replogle_exp6_global,Replogle_exp8_global,Replogle_exp6_global -> Replogle_exp8_global,ok,scored,official_generalization/Replogle_exp6.h5ad,official_generalization/Replogle_exp8.h5ad,500,69,61,1,1,69,61
replogle_small_cross_experiment,Replogle_exp8_global,Replogle_exp6_global,Replogle_exp8_global -> Replogle_exp6_global,ok,scored,official_generalization/Replogle_exp8.h5ad,official_generalization/Replogle_exp6.h5ad,500,61,69,1,1,61,69
replogle_small_cross_experiment,Replogle_exp7_global,Replogle_exp8_global,Replogle_exp7_global -> Replogle_exp8_global,ok,scored,official_generalization/Replogle_exp7.h5ad,official_generalization/Replogle_exp8.h5ad,500,104,61,1,1,104,61
replogle_small_cross_experiment,Replogle_exp8_global,Replogle_exp7_global,Replogle_exp8_global -> Replogle_exp7_global,ok,scored,official_generalization/Replogle_exp8.h5ad,official_generalization/Replogle_exp7.h5ad,500,61,104,1,1,61,104
hard_genetic_cross_study,Adamson_global,Replogle_exp7_global,Adamson_global -> Replogle_exp7_global,ok,scored,official_generalization/Adamson.h5ad,official_generalization/Replogle_exp7.h5ad,500,76,104,1,1,76,104
hard_genetic_cross_study,Replogle_exp7_global,Adamson_global,Replogle_exp7_global -> Adamson_global,ok,scored,official_generalization/Replogle_exp7.h5ad,official_generalization/Adamson.h5ad,500,104,76,1,1,104,76
hard_genetic_cross_study,Adamson_global,TianInhibition_batch,Adamson_global -> TianInhibition_batch,ok,scored,official_generalization/Adamson.h5ad,official_generalization/TianInhibition.h5ad,500,76,705,1,4,76,180
hard_genetic_cross_study,TianInhibition_batch,Adamson_global,TianInhibition_batch -> Adamson_global,ok,scored,official_generalization/TianInhibition.h5ad,official_generalization/Adamson.h5ad,500,705,76,4,1,180,76
sciplex_series_cross_dataset,SciPlex2_cellline,SciPlex4_cellline,SciPlex2_cellline -> SciPlex4_cellline,ok,scored,official_scperturb/SrivatsanTrapnell2020_sciplex2.h5ad,official_scperturb/SrivatsanTrapnell2020_sciplex4.h5ad,500,4,14,1,2,4,7
