perturbation,n_seeds,all_three_seeds_present,in_frozen_test_manifest,n_cells_test,error_gears_ensemble_rmse,error_seed_mean_rmse,error_seed_std_rmse,risk_ensemble_disagreement,risk_predicted_magnitude,true_l2_diagnostic,true_max_abs_diff_across_seeds,training_support_for_heldout_gene
ATF4+ctrl,3,True,True,382,0.028447096612044254,0.029800552046541834,0.00019689553350145088,0.00888112373650074,1.2327581644058228,1.6769189834594727,0.0,0
COPZ1+ctrl,3,True,True,291,0.051717484571606374,0.052577238582050524,0.00033693541033447594,0.009475301019847393,1.8218883275985718,4.481683731079102,0.0,0
DAD1+ctrl,3,True,True,774,0.027185557719235722,0.028451012854359744,0.0018336591028645256,0.008588823489844799,1.4321374893188477,1.9621633291244507,0.0,0
DERL2+ctrl,3,True,True,676,0.025841821803362277,0.027277173019502634,0.0006178624473027126,0.008753636851906776,1.1086463928222656,2.0008840560913086,0.0,0
DNAJC19+ctrl,3,True,True,1588,0.05226355101611338,0.05273519081479535,0.004860076364361274,0.008552305400371552,2.009572744369507,5.22805118560791,0.0,0
EIF2S1+ctrl,3,True,True,534,0.12145063769138159,0.1217456607090953,0.0019882715993005326,0.008700673468410969,1.141170859336853,8.994333267211914,0.0,0
GBF1+ctrl,3,True,True,1012,0.017332845836683618,0.01902928699530861,0.003385322668851674,0.008552580140531063,1.146310806274414,1.3952864408493042,0.0,0
IARS2+ctrl,3,True,True,1142,0.08628316522707069,0.08669327446128572,0.0025374686627178855,0.00879647582769394,1.210171103477478,6.735291957855225,0.0,0
IDH3A+ctrl,3,True,True,690,0.027867375096606566,0.029191355525606116,0.0007463847481685762,0.00872363056987524,1.0925687551498413,2.0474836826324463,0.0,0
MRPL39+ctrl,3,True,True,712,0.032637386458002494,0.0336673623745975,0.002211121366428282,0.00855460949242115,1.2158584594726562,2.1914305686950684,0.0,0
NEDD8+ctrl,3,True,True,518,0.0718905643706206,0.07237426917324037,0.00017701788097427618,0.008355413563549519,1.2176456451416016,5.183831214904785,0.0,0
OST4+ctrl,3,True,True,669,0.02510919768639059,0.026574302104324005,0.002874326901714898,0.009164249524474144,1.2384635210037231,1.6887222528457642,0.0,0
PDIA6+ctrl,3,True,True,618,0.029104736949791387,0.030084226565483475,0.00197162289268488,0.007865257561206818,1.0717166662216187,1.84950852394104,0.0,0
PSMD4+ctrl,3,True,True,639,0.08569422385891586,0.08608702131378658,0.0025136247593418033,0.008590316399931908,1.315015435218811,6.37109899520874,0.0,0
PTDSS1+ctrl,3,True,True,557,0.020973244879774706,0.022622479300059426,0.00422725988020584,0.00947466678917408,1.186532974243164,1.0269883871078491,0.0,0
SEC61G+ctrl,3,True,True,674,0.0351592480182268,0.03660012447562672,0.0030079142534703445,0.010603958740830421,1.460684061050415,3.0770349502563477,0.0,0
SEL1L+ctrl,3,True,True,464,0.030384243259236495,0.03140155377989457,0.004374711455389532,0.009055023081600666,1.4083988666534424,2.0759191513061523,0.0,0
SLC35B1+ctrl,3,True,True,644,0.01975101734303171,0.021050621267971303,0.004482766397228832,0.008551090955734253,1.2864556312561035,1.106696605682373,0.0,0
SPCS3+ctrl,3,True,True,672,0.03825803245698376,0.03914202246466684,0.0023440853675813726,0.008597418665885925,1.1095701456069946,3.075010061264038,0.0,0
SRP68+ctrl,3,True,True,729,0.03705872199143715,0.037789127379475713,0.001866344486838293,0.00762577960267663,1.017472743988037,2.88417911529541,0.0,0
SYVN1+ctrl,3,True,True,676,0.02203448645153219,0.02325346283432157,0.004349036647388858,0.008609242737293243,1.1510425806045532,1.3780626058578491,0.0,0
TELO2+ctrl,3,True,True,711,0.02571674877364977,0.02689547032911292,0.0016919285569899304,0.008054674603044987,0.9918709397315979,1.7485672235488892,0.0,0
TIMM23+ctrl,3,True,True,789,0.026561236804103373,0.027871435148449374,0.002237150930770091,0.008736271411180496,2.520298957824707,2.606915235519409,0.0,0
TTI1+ctrl,3,True,True,542,0.0575556121914057,0.058047725056235726,0.000793446121314007,0.007584157399833202,1.1181803941726685,4.1821699142456055,0.0,0
