panel_index,gene,selection_role,train_expression_sum,in_scgpt_vocab,uses_test_expression_effect_or_error
0,BCL2L11,fixed_test_perturbation_gene,14582.8798828125,True,False
1,CKS1B,fixed_test_perturbation_gene,109046.8125,True,False
2,CLDN6,fixed_test_perturbation_gene,4809.8466796875,True,False
3,FEV,fixed_test_perturbation_gene,12551.77734375,True,False
4,FOSB,fixed_test_perturbation_gene,464.15643310546875,True,False
5,FOXA1,fixed_test_perturbation_gene,518.8683471679688,True,False
6,FOXA3,fixed_test_perturbation_gene,2863.0625,True,False
7,IER5L,fixed_test_perturbation_gene,2631.123291015625,True,False
8,IGDCC3,fixed_test_perturbation_gene,3515.583251953125,True,False
9,IKZF3,fixed_test_perturbation_gene,10893.87109375,True,False
10,JUN,fixed_test_perturbation_gene,7099.82666015625,True,False
11,MAPK1,fixed_test_perturbation_gene,77793.125,True,False
12,MEIS1,fixed_test_perturbation_gene,2145.300048828125,True,False
13,MIDN,fixed_test_perturbation_gene,29663.455078125,True,False
14,OSR2,fixed_test_perturbation_gene,4040.33642578125,True,False
15,POU3F2,fixed_test_perturbation_gene,3920.427978515625,True,False
16,PRDM1,fixed_test_perturbation_gene,1545.30078125,True,False
17,PTPN12,fixed_test_perturbation_gene,28359.619140625,True,False
18,PTPN13,fixed_test_perturbation_gene,3.1837897300720215,True,False
19,S1PR2,fixed_test_perturbation_gene,1844.152099609375,True,False
20,SNAI1,fixed_test_perturbation_gene,2485.1796875,True,False
21,SPI1,fixed_test_perturbation_gene,19257.27734375,True,False
22,STIL,fixed_test_perturbation_gene,7888.89453125,True,False
23,TSC22D1,fixed_test_perturbation_gene,25820.748046875,True,False
24,AHR,training_or_validation_perturbation_gene,291.88446044921875,True,False
25,ARID1A,training_or_validation_perturbation_gene,33946.109375,True,False
26,ARRDC3,training_or_validation_perturbation_gene,3253.15771484375,True,False
27,ATL1,training_or_validation_perturbation_gene,124.15412139892578,True,False
28,BAK1,training_or_validation_perturbation_gene,11994.552734375,True,False
29,BCORL1,training_or_validation_perturbation_gene,6363.49609375,True,False
30,BPGM,training_or_validation_perturbation_gene,11960.2685546875,True,False
31,CBFA2T3,training_or_validation_perturbation_gene,21466.33984375,True,False
32,CBL,training_or_validation_perturbation_gene,13983.537109375,True,False
33,CDKN1A,training_or_validation_perturbation_gene,1240.015625,True,False
34,CDKN1B,training_or_validation_perturbation_gene,7358.31591796875,True,False
35,CDKN1C,training_or_validation_perturbation_gene,14527.0595703125,True,False
36,CEBPA,training_or_validation_perturbation_gene,4885.056640625,True,False
37,CEBPB,training_or_validation_perturbation_gene,14582.41796875,True,False
38,CEBPE,training_or_validation_perturbation_gene,10412.88671875,True,False
39,CELF2,training_or_validation_perturbation_gene,57343.796875,True,False
40,CITED1,training_or_validation_perturbation_gene,2728.43115234375,True,False
41,CNN1,training_or_validation_perturbation_gene,7573.5146484375,True,False
42,CNNM4,training_or_validation_perturbation_gene,1318.7506103515625,True,False
43,COL1A1,training_or_validation_perturbation_gene,1031.3670654296875,True,False
44,COL2A1,training_or_validation_perturbation_gene,26554.138671875,True,False
45,CSRNP1,training_or_validation_perturbation_gene,3055.90869140625,True,False
46,DLX2,training_or_validation_perturbation_gene,864.0699462890625,True,False
47,DUSP9,training_or_validation_perturbation_gene,7135.73681640625,True,False
48,EGR1,training_or_validation_perturbation_gene,7802.03564453125,True,False
49,ETS2,training_or_validation_perturbation_gene,8115.951171875,True,False
50,FOXF1,training_or_validation_perturbation_gene,161.53269958496094,True,False
51,FOXL2,training_or_validation_perturbation_gene,14781.5810546875,True,False
52,FOXO4,training_or_validation_perturbation_gene,4222.28271484375,True,False
53,GLB1L2,training_or_validation_perturbation_gene,1874.4605712890625,True,False
54,HES7,training_or_validation_perturbation_gene,456.26531982421875,True,False
55,HK2,training_or_validation_perturbation_gene,7460.2783203125,True,False
56,HNF4A,training_or_validation_perturbation_gene,100.72277069091797,True,False
57,HOXA13,training_or_validation_perturbation_gene,99.04731750488281,True,False
58,HOXB9,training_or_validation_perturbation_gene,39308.1953125,True,False
59,HOXC13,training_or_validation_perturbation_gene,6170.1044921875,True,False
60,IRF1,training_or_validation_perturbation_gene,4605.421875,True,False
61,ISL2,training_or_validation_perturbation_gene,3578.8134765625,True,False
62,KIF18B,training_or_validation_perturbation_gene,5651.763671875,True,False
63,KIF2C,training_or_validation_perturbation_gene,23922.189453125,True,False
64,KLF1,training_or_validation_perturbation_gene,40586.26171875,True,False
65,KMT2A,training_or_validation_perturbation_gene,37494.8515625,True,False
66,LHX1,training_or_validation_perturbation_gene,5461.150390625,True,False
67,LYL1,training_or_validation_perturbation_gene,77145.3125,True,False
68,MAML2,training_or_validation_perturbation_gene,834.431396484375,True,False
69,MAP2K3,training_or_validation_perturbation_gene,4060.3427734375,True,False
70,MAP2K6,training_or_validation_perturbation_gene,126.91162872314453,True,False
71,MAP4K3,training_or_validation_perturbation_gene,6427.72021484375,True,False
72,MAP4K5,training_or_validation_perturbation_gene,7530.52783203125,True,False
73,MAP7D1,training_or_validation_perturbation_gene,35193.34375,True,False
74,NCL,training_or_validation_perturbation_gene,161395.71875,True,False
75,NIT1,training_or_validation_perturbation_gene,5977.923828125,True,False
76,PLK4,training_or_validation_perturbation_gene,7140.376953125,True,False
77,PRTG,training_or_validation_perturbation_gene,1095.5950927734375,True,False
78,PTPN1,training_or_validation_perturbation_gene,31310.267578125,True,False
79,PTPN9,training_or_validation_perturbation_gene,8404.9755859375,True,False
80,RHOXF2,training_or_validation_perturbation_gene,19125.05859375,True,False
81,RREB1,training_or_validation_perturbation_gene,18813.23046875,True,False
82,RUNX1T1,training_or_validation_perturbation_gene,764.8989868164062,True,False
83,SAMD1,training_or_validation_perturbation_gene,24176.341796875,True,False
84,SET,training_or_validation_perturbation_gene,183187.421875,True,False
85,SGK1,training_or_validation_perturbation_gene,5432.31982421875,True,False
86,SLC38A2,training_or_validation_perturbation_gene,21930.046875,True,False
87,SLC4A1,training_or_validation_perturbation_gene,1158.2091064453125,True,False
88,SLC6A9,training_or_validation_perturbation_gene,1496.676513671875,True,False
89,TBX2,training_or_validation_perturbation_gene,2143.051513671875,True,False
90,TBX3,training_or_validation_perturbation_gene,427.7939453125,True,False
91,TGFBR2,training_or_validation_perturbation_gene,1194.37548828125,True,False
92,TMSB4X,training_or_validation_perturbation_gene,249832.75,True,False
93,TP73,training_or_validation_perturbation_gene,1165.38037109375,True,False
94,UBASH3A,training_or_validation_perturbation_gene,2505.474853515625,True,False
95,UBASH3B,training_or_validation_perturbation_gene,5291.7236328125,True,False
96,ZBTB1,training_or_validation_perturbation_gene,2475.1767578125,True,False
97,ZBTB10,training_or_validation_perturbation_gene,4841.48486328125,True,False
98,ZBTB25,training_or_validation_perturbation_gene,2199.801513671875,True,False
99,ZC3HAV1,training_or_validation_perturbation_gene,46096.05078125,True,False
100,ZNF318,training_or_validation_perturbation_gene,7897.18310546875,True,False
101,RPS2,highest_train_expression,380058.84375,True,False
102,RPS18,highest_train_expression,370652.25,True,False
103,EEF1A1,highest_train_expression,355936.15625,True,False
104,FTL,highest_train_expression,346018.34375,True,False
105,RPL34,highest_train_expression,338070.78125,True,False
106,RPL32,highest_train_expression,337060.6875,True,False
107,FTH1,highest_train_expression,327828.4375,True,False
108,RPS3,highest_train_expression,324410.9375,True,False
109,RPS3A,highest_train_expression,313464.09375,True,False
110,RPL15,highest_train_expression,310498.625,True,False
111,RPS27A,highest_train_expression,309456.03125,True,False
112,RPSA,highest_train_expression,306827.46875,True,False
