split,condition
train,ctrl
train,CD151+ctrl
train,CD274+ctrl
train,CD44+ctrl
train,CD47+ctrl
train,CD58+ctrl
train,CD59+ctrl
train,CDC123+ctrl
train,CDH19+ctrl
train,CDK6+ctrl
train,CDKN1A+ctrl
train,CDKN2A+ctrl
train,CDKN2B+ctrl
train,CHCHD2+ctrl
train,CITED1+ctrl
train,CKS1B+ctrl
train,CMSS1+ctrl
train,CORO1A+ctrl
train,CSPG4+ctrl
train,CST3+ctrl
train,CTPS1+ctrl
train,CTSA+ctrl
train,CTSB+ctrl
train,CTSD+ctrl
train,CTSL+ctrl
train,CTSO+ctrl
train,CXCR4+ctrl
train,CYP27A1+ctrl
train,DAG1+ctrl
train,DDX17+ctrl
train,DLL3+ctrl
train,DNMT1+ctrl
train,E2F1+ctrl
train,EEF1G+ctrl
train,EIF3K+ctrl
train,EIF4A1+ctrl
train,EMP1+ctrl
train,EVA1A+ctrl
train,FBL+ctrl
train,FBXO32+ctrl
train,FGFR1+ctrl
train,FKBP4+ctrl
train,FMN1+ctrl
train,FOS+ctrl
train,FOXM1+ctrl
train,FRZB+ctrl
train,FSTL3+ctrl
train,FTH1+ctrl
train,GAA+ctrl
train,GPATCH4+ctrl
train,GPI+ctrl
train,GPNMB+ctrl
train,GRN+ctrl
train,GSN+ctrl
train,HLA-A+ctrl
train,HLA-C+ctrl
train,HLA-DRB5+ctrl
train,HLA-E+ctrl
train,HLA-F+ctrl
train,HNRNPA1+ctrl
train,HNRNPC+ctrl
train,HSPA1A+ctrl
train,IDH2+ctrl
train,IFNGR1+ctrl
train,IFNGR2+ctrl
train,ILF2+ctrl
train,IRF3+ctrl
train,ISYNA1+ctrl
train,ITGA3+ctrl
train,JMJD7+ctrl
train,KCNN4+ctrl
train,KDR+ctrl
train,LAMP2+ctrl
train,LCP1+ctrl
train,LGALS3+ctrl
train,LGALS3BP+ctrl
train,LY96+ctrl
train,MC1R+ctrl
train,MDH2+ctrl
train,MFGE8+ctrl
train,MIA+ctrl
train,MRPL47+ctrl
train,MT2A+ctrl
train,MYC+ctrl
train,NACA+ctrl
train,NCL+ctrl
train,NDUFA13+ctrl
train,NGFR+ctrl
train,NME1+ctrl
train,NMRK1+ctrl
train,NONO+ctrl
train,NPC1+ctrl
train,NPC2+ctrl
train,NT5E+ctrl
train,P2RX4+ctrl
train,PABPC1+ctrl
train,PAICS+ctrl
train,PET100+ctrl
train,PFDN4+ctrl
train,PFN1+ctrl
train,PIK3IP1+ctrl
train,POLD2+ctrl
train,PPA1+ctrl
train,PPIA+ctrl
train,PROS1+ctrl
train,PTMA+ctrl
train,PUF60+ctrl
train,PYGB+ctrl
train,RAB27A+ctrl
train,RB1+ctrl
train,RBP7+ctrl
train,RNASEH2A+ctrl
train,RNF213+ctrl
train,ROMO1+ctrl
train,RPSA+ctrl
train,RRS1+ctrl
train,RTP4+ctrl
train,RUVBL2+ctrl
train,S100B+ctrl
train,SAE1+ctrl
train,SCARB2+ctrl
train,SDC3+ctrl
train,SEC11C+ctrl
train,SERPINA3+ctrl
train,SERPINE2+ctrl
train,SERPINF1+ctrl
train,SGK1+ctrl
train,SLC19A1+ctrl
train,SLC22A18+ctrl
train,SLC25A13+ctrl
train,SLC26A2+ctrl
train,SLC5A3+ctrl
train,SLIRP+ctrl
train,SMAD3+ctrl
train,SMAD4+ctrl
train,SNRPG+ctrl
train,SOX4+ctrl
train,SP100+ctrl
train,SPESP1+ctrl
train,SPINT1+ctrl
train,SSR2+ctrl
train,ST6GALNAC2+ctrl
train,STAT1+ctrl
train,STAT3+ctrl
train,STX7+ctrl
train,TAPBP+ctrl
train,TAPBPL+ctrl
train,TFAP2A+ctrl
train,TGFB1+ctrl
train,TIMM50+ctrl
train,TIMP1+ctrl
train,TIMP2+ctrl
train,TIMP3+ctrl
train,TM4SF1+ctrl
train,TMED10+ctrl
train,TOP1MT+ctrl
train,TP53+ctrl
train,TPP1+ctrl
train,TPRKB+ctrl
train,TRIM22+ctrl
train,TSC22D3+ctrl
train,TTLL1+ctrl
train,TXNDC17+ctrl
train,UBC+ctrl
train,UCN2+ctrl
train,UQCRFS1+ctrl
train,UQCRH+ctrl
train,VAT1+ctrl
train,VDAC2+ctrl
train,WBP2+ctrl
val,A2M+ctrl
val,ACSL3+ctrl
val,ACTA2+ctrl
val,AEBP1+ctrl
val,AGA+ctrl
val,AHNAK+ctrl
val,APOE+ctrl
val,ARMC6+ctrl
val,ATP1B1+ctrl
val,BOLA2+ctrl
val,BZW2+ctrl
val,C19orf48+ctrl
val,C1QBP+ctrl
val,C6orf226+ctrl
val,CCND1+ctrl
val,CCND2+ctrl
val,CCR10+ctrl
val,CCT3+ctrl
test,APOD+ctrl
test,B2M+ctrl
test,BOLA2B+ctrl
test,CD63+ctrl
test,CDK4+ctrl
test,DDR1+ctrl
test,DDX39A+ctrl
test,EEA1+ctrl
test,ENPP1+ctrl
test,HLA-B+ctrl
test,IRF4+ctrl
test,JAK1+ctrl
test,JAK2+ctrl
test,KLF4+ctrl
test,LRPAP1+ctrl
test,NOLC1+ctrl
test,NSG1+ctrl
test,PSAP+ctrl
test,S100A6+ctrl
test,SAT1+ctrl
test,SDCBP+ctrl
test,SET+ctrl
test,SHMT2+ctrl
test,STOM+ctrl
